Gene name,Common canary gene name,Common carp gene name,Common wall lizard gene name,Common wombat gene name,Coquerel's sifaka gene name
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
U2,,,U2,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,frg1,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,slc6a8,,,
,,slc6a8,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
SYT15B,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
RNA5-8SN4,,5_8S_rRNA,,,
RNA5-8SN4,,5_8S_rRNA,,,
RNA5-8SN4,,5_8S_rRNA,,,
RNA5-8SN4,,5_8S_rRNA,,,
RNA5-8SN4,,5_8S_rRNA,,,
RNA5-8SN4,,5_8S_rRNA,,,
RNA5-8SN4,,5_8S_rRNA,,,
RNA5-8SN4,,5_8S_rRNA,,,
RNA5-8SN4,,5_8S_rRNA,,,
RNA5-8SN4,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
5_8S_rRNA,,5_8S_rRNA,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
NPY4R2,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
LINC03015,,,,,
,,,,,
,,,,,
FAM25C,,,,,
AGAP12P,,,,,
,,,,,
,,,,,
LINC03014,,,,,
AGAP12P,,,,,
RNA5SP315,,,,,
BMS1P7,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
FAM20C,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
LINC01784,,,,,
PRAMEF11,,,,,
,,,,,
RNU5B-4P,,,,,
ECSCR,,,,,
PRAMEF30P,,,,,
HNRNPCL1,,,,,
PRAMEF2,,,,,
SMIM33,,,,,
PRAMEF4,,,,,
STING1,,,,,
PRAMEF10,,,,,
PRAMEF7,,,,,
RNU6-1072P,,,,,
PRAMEF29P,,,,,
PRAMEF6,,,,,
PRAMEF28P,,,,,
PRAMEF27,,,,,
ARHGEF19,,,,,
HNRNPCL3,,,,,
,,,,,
PRAMEF25,,,,,
ANO7L1,,,,,
,,,,,
CPLANE2,,,,,
MT1XP1,,,,,
FBXO42,,,,,
PRAMEF34P,,,,,
SZRD1,,,,,
PRAMEF35P,,,,,
,,,,,
NCOA4P4,,,,,
HNRNPCL2,,,,,
PRAMEF36P,,,,,
RPL22P3,,,,,
,,,,,
SPATA21,,,,,
,,,,,
PRAMEF26,,,,,
HNRNPCL4,,,,,
NECAP2,,,,,
PRAMEF9,,,,,
PRAMEF13,,,,,
PRAMEF18,,,,,
PRAMEF31P,,,,,
LINC01772,,,,,
PRAMEF5,,,,,
CROCCP3,,,,,
RNU1-1,,,,,
,,,,,
,,,,,
LINC01783,,,,,
RNU1-6P,,,,,
PDE4DIPP8,,,,,
,,,,,
PRAMEF32P,,,,,
RNU6-771P,,,,,
RNU1-2,,,,,
PRAMEF8,,,,,
,,,,,
,,,,,
LINC03126,,,,,
PRAMEF33,,,,,
PRAMEF22,,,,,
RNU1-5P,,,,,
,,,,,
,,,,,
EIF1AXP1,,,,,
RNU1-3,,,,,
RNU1-4,,,,,
PADI2,,,,,
,,,,,
CROCCP4,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
NAA50P1,,,,,
,,,,,
OR8J2,,,,,
OR5T2,,,,,
OR5T3,,,,,
OR5T1,,,,,
NBPF1,,,,,
OR8H1,,,,,
OR8I1P,,,,,
OR8K3,,,,,
FAM8A2P,,,,,
OR8K2P,,,,,
OR8K1,,,,,
RPL5P29,,,,,
OR8J1,,,,,
OR8U8,,,,,
OR8U9,,,,,
OR8L1P,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
MIR4740,,,,,
MIR3186,,,,,
,,,,,
LINC01971,,,,,
,,,,,
ACTG1,,,,,
BAHCC1,,,,,
,,,,,
,,,,,
,,,,,
LINC03048,,,,,
,,,,,
U6,,,,,
ABCD1P4,,,,,
,,,,,
PABPC1P9,,,,,
SLC9B1P4,,,,,
ACTR3BP6,,,,,
BCL2L14,,,,,
PTMAP9,,,,,
MIR1244-4,,,,,
LRP6,,,,,
,,,,,
OR9G1,,,,,
OR9G9,,,,,
,,,,,
OR9G3P,,,,,
OR9G4,,,,,
OR9G2P,,,,,
OR5G1P,,,,,
OR5G4P,,,,,
OR5G5P,,,,,
OR5G3,,,,,
LINC02735,,,,,
RPL21P100,,,,,
RNU6-545P,,,,,
,,,,,
RNU6-318P,,,,,
MANSC1,,,,,
RPL23AP66,,,,,
LOH12CR2,,,,,
BORCS5,,,,,
,,,,,
DUSP16,,,,,
,,,,,
,,,,,
,,,,,
TOLLIP,,,,,
,,,,,
,,,,,
,,,,,
Y_RNA,,,,,
TOLLIP-DT,,,,,
,,,,,
LINC02689,,,,,
BRSK2,,,,,
,,,,,
DUSP8,,,,,
KRTAP5-AS1,,,,,
KRTAP5-1,,,,,
KRTAP5-2,,,,,
KRTAP5-3,,,,,
KRTAP5-4,,,,,
KRTAP5-5,,,,,
,,,,,
FAM99A,,,,,
FAM99B,,,,,
LINC02708,,,,,
MOB2,,,,,
PPP2R3B,,,,,
RPL14P5,,,,,
,,,,,
IL3RA,,,,,
P2RY8,,,,,
SLC25A6,,,,,
DHRSX-IT1,,,,,
DHRSX,,,,,
ASMTL,,,,,
LINC00685,,,,,
PLCXD1,,,,,
ZBED1,,,,,
MIR6089,,,,,
LINC00102,,,,,
CD99,,,,,
Metazoa_SRP,,,,,
FABP5P13,,,,,
KRT18P53,,,,,
SHOX,,,,,
MIR3690,,,,,
RNA5SP498,,,,,
CD99P1,,,,,
CRLF2,,,,,
AKAP17A,,,,,
ASMT,,,,,
,,,,,
ELOCP5,,,,,
CDY10P,,,,,
CSF2RA,,,,,
USP9YP3,,,,,
C1R,,,,,
USP9YP8,,,,,
CDY11P,,,,,
OFD1P16Y,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ASMTL-AS1,,,,,
,,,,,
,,,,,
,,,,,
LINC00106,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
LINC02968,,,,,
CD99P1,,,,,
GRK1,,,,,
LINC00552,,,,,
LINC03112,,,,,
,,,,,
C1RL,,,,,
GTPBP6,,,,,
AMD1P2,,,,,
DPH3P2,,,,,
VAMP7,,,,,
ELOCP24,,,,,
TRPC6P1,,,,,
,,,,,
DDX11L16,,,,,
WASH6P,,,,,
,,,,,
,,,,,
WASIR1,,,,,
C1RL-AS1,,,,,
IL9R,,,,,
,,,,,
RBP5,,,,,
TSPY24P,,,,,
ZNF92P1Y,,,,,
SERBP1P2,,,,,
TSPY12P,,,,,
DUX4L19,,,,,
,,,,,
OFD1P3Y,,,,,
RBMY2HP,,,,,
,,,,,
ELOCP35,,,,,
SLC9B1P1,,,,,
USP12PY,,,,,
KDM5DP1,,,,,
DUX4L17,,,,,
RNU6-485P,,,,,
,,,,,
PRY,,,,,
CLSTN3,,,,,
,,,,,
,,,,,
,,,,,
ZNF736P6Y,,,,,
TUSC2P1,,,,,
PUDPP1,,,,,
,,,,,
CDRT15P10,,,,,
USP9Y,,,,,
USP9Y,,usp9,,,
USP9Y,,usp9,,,
PRY2,,,,,
,,,,,
OFD1P8Y,,,,,
RNF19BPY,,,,,
,,,,,
TSPY23P,,,,,
TUBB1P2,,,,,
,,,,,
,,,,,
,,,,,
ACTR3BP1,,,,,
RPS24P1,,,,,
RCC2P2,,,,,
ZNF736P8Y,,,,,
EIF1AY,,eif1axa,,,
EIF1AY,,eif1axb,,,
EIF1AY,,eif1axb,,,
EIF1AY,,eif1axa,,,
EIF1AY,,eif1axb,,,
EIF1AY,,eif1axb,,,
PEX5,,,,,
RBMY3AP,,,,,
CDY3P,,,,,
TSPY25P,,,,,
USP9YP22,,,,,
TSPY16P,,,,,
USP9YP4,,,,,
ELOCP4,,,,,
RBMY1A3P,,,,,
,,,,,
TTTY20,,,,,
TSPY8,,,,,
BPY2,,,,,
FAM197Y7,,,,,
,,,,,
TSPY4,,,,,
MTND1P12,,,,,
CTBP2P1,,,,,
MTND6P1,,,,,
PABPC1P5,,,,,
TSPY9,,,,,
FAM197Y2,,,,,
FAM197Y4,,,,,
FAM197Y4,,,,,
TSPY22P,,,,,
RCC2P1,,,,,
FAM197Y8,,,,,
SHROOM2P1,,,,,
FAM197Y8,,,,,
,,,,,
,,,,,
DUX4L18,,,,,
ZNF736P11Y,,,,,
OFD1P9Y,,,,,
BPY2DP,,,,,
CHEK2P1,,,,,
RBMY2UP,,,,,
ZNF886P,,,,,
ELOCP8,,,,,
OFD1P16Y,,,,,
TTTY25P,,,,,
,,,,,
ASS1P6,,,,,
SNX18P1Y,,,,,
,,,,,
MED14P1,,,,,
ZNF885P,,,,,
ARSFP1,,,,,
,,,,,
ZNF736P7Y,,,,,
SURF6P1,,,,,
,,,,,
ANKRD20A6P,,,,,
,,,,,
RBMY2KP,,,,,
TSPY21P,,,,,
TTTY19,,,,,
TTTY4,,,,,
,,,,,
MXRA5Y,,,,,
DUX4L16,,,,,
MTCYBP1,,,,,
,,,,,
USP9YP17,,,,,
TTTY17A,,,,,
AGPAT5P1,,,,,
,,,,,
FAM41AY1,,,,,
ELOCP15,,,,,
,,,,,
TRIM60P3Y,,,,,
MTND1P1,,,,,
,,,,,
PRRC2CP1,,,,,
ZNF736P10Y,,,,,
,,,,,
CDY12P,,,,,
,,,,,
MTND2P3,,,,,
CDY13P,,,,,
RBMY1KP,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ARSDP1,,,,,
TTTY5,,,,,
CDY4P,,,,,
RBMY1D,,,,,
USP9YP24,,,,,
,,,,,
UBE2V1P3,,,,,
FAM8A4P,,,,,
,,,,,
TRIM60P8Y,,,,,
MED13P1,,,,,
CYCSP46,,,,,
RNU6-303P,,,,U6,
,,,,,
,,,,,
RN7SL702P,,,,,
RNA5SP520,,,,,
RNA5SP521,,,,,
,,,,,
RNU6-109P,,,,,
RNU6-184P,,,,,
HSFY2,,,,,
,,,,,
GPM6BP2,,,,,
USP9YP2,,,,,
ELOCP14,,,,,
PRYP6,,,,,
XKRYP2,,,,,
USP9YP10,,,,,
RNU1-41P,,,,,
OFD1P7Y,,,,,
MTCYBP2,,,,,
ZNF839P1,,,,,
CD24P4,,,,,
RNU6-255P,,,,,
,,,,,
GAPDHP19,,,,,
CLUHP1,,,,,
TAF9P1,,,,,
CDY5P,,,,,
ELOCP36,,,,,
ACTG1P2,,,,,
USP9YP23,,,,,
USP9YP27,,,,,
RNU1-128P,,,,,
TRAPPC2P3,,,,,
ELOCP6,,,,,
CDY6P,,,,,
USP9YP7,,,,,
USP9YP6,,,,,
CDY7P,,,,,
USP9YP34,,,,,
USP9YP32,,,,,
CDY8P,,,,,
ELOCP12,,,,,
TRAPPC2P8,,,,,
USP9YP15,,,,,
RNU1-95P,,,,,
USP9YP16,,,,,
ACTG1P11,,,,,
ELOCP26,,,,,
CDY9P,,,,,
TAF9P2,,,,,
CLUHP2,,,,,
,,,,,
RNA5SP522,,,,,
RNA5SP523,,,,,
TUBB1P1,,,,,
ELOCP13,,,,,
OFD1P4Y,,,,,
RNU1-48P,,,,,
USP9YP5,,,,,
XKRYP1,,,,,
PRYP5,,,,,
ELOCP7,,,,,
USP9YP1,,,,,
GPM6BP1,,,,,
RAB9AP4,,,,,
TRAPPC2P7,,,,,
,,,,,
,,,,,
KDM5D,,kdm4c,,,
KDM5D,,kdm4c,,,
OR4C12,,,,,
OR4C48P,,,,,
OR4C49P,,,,,
OR4C45,,,,,
HSFY1,,,,,
TGIF2LY,,pbx4,,,
TGIF2LY,,pbx4,,,
TGIF2LY,,pbx2,,,
TGIF2LY,,pbx2,,,
RBMY1F,,,,,
,,,,,
CDY2A,,cdyl,,,
CDY2A,,,,,
ZNF736P3Y,,,,,
TRIM60P9Y,,,,,
RN7SKP282,,,,,
Y_RNA,,,,,
RNU6-941P,,,,U6,
RNU6-521P,,,,U6,
SRIP3,,,,,
,,,,,
GOT2P5,,,,,
ATP5PFP1,,,,,
,,,,,
TRIM60P10Y,,,,,
ZNF736P2Y,,,,,
TRIM60P11Y,,,,,
,,,,,
ZNF736P1Y,,,,,
,,,,,
ZNF736P5Y,,,,,
BPY2C,,,,,
TTTY4C,,,,,
DAZ4,,dazl,,,
DAZ4,,dazl,,,
CDY2B,,cdyl,,,
CDY2B,,,,,
RNU6-1334P,,,,,
SRY,,sox19b,,,
SRY,,sox19a,,,
SRY,,sox19b,,,
SRY,,sox19a,,,
SRY,,,,,
TOMM22P2,,,,,
,,,,,
RPS4Y1,,rps4x,,,
RPS4Y1,,rps4x,,,
NAP1L1P2,,,,,
,,,,,
ZFY,,,,,
EEF1A1P41,,,,,
PSMA6P1,,,,,
SFPQP1,,,,,
DPPA2P1,,,,,
DDX3Y,,ddx3xa,,,
DDX3Y,,ddx3xa,,,
DDX3Y,,ddx3xb,,,
DDX3Y,,,,,
SERTAD4-AS1,,,,,
CASKP1,,,,,
SERTAD4,,,,,
UTY,,kdm6a,,,
UTY,,kdm6a,,,
ST13P19,,,,,
,,,,,
HHAT,,,,,
,,,,,
RNU5A-8P,,,,,
,,,,,
BPNT2P1,,,,,
TMSB4Y,,,,,
VCY,,,,,
DAZ3,,dazl,,,
DAZ3,,dazl,,,
DAZ1,,dazl,,,
DAZ1,,dazl,,,
SNORA70,SNORA70,SNORA70,SNORA70,,
SNORA70,SNORA70,SNORA70,SNORA70,,
,,,,,
,,,,,
AMELY,,,,,
TBL1Y,,tbl1x,,,
H3-4,,,,,
RPL23AP15,,,,,
H2AC25,,,,,
H2BC26,,,,,
MIR4666A,,,,,
H2BC27P,,,,,
,,,,,
RNF187,,,,,
DAZ2,,dazl,,,
DAZ2,,dazl,,,
RNA5S1,,,,,
RNA5S2,,,,,
RNA5S3,,,,,
RNA5S16,,,,,
RNA5S17,,,,,
RNA5SP18,,,,,
DUSP5P1,,,,,
,,,,,
FTH1P2,,,,,
RHOU,,,,,
BTNL10P,,,,,
,,,,,
AGKP1,,,,,
NLGN4Y-AS1,,,,,
RBMY1E,,,,,
NLGN4Y,,nlgn4xb,,,
NLGN4Y,,nlgn4xa,,,
NLGN4Y,,nlgn4xa,,,
NLGN4Y,,nlgn4xb,,,
CDY22P,,,,,
ELOCP17,,,,,
OFD1P18Y,,,,,
TRAPPC2P4,,,,,
RAB9AP3,,,,,
USP9YP20,,,,,
RNU1-40P,,,,,
USP9YP21,,,,,
XKRYP6,,,,,
PRYP4,,,,,
ELOCP11,,,,,
CDY23P,,,,,
USP9YP26,,,,,
HSFY8P,,,,,
,,,,,
,,,,,
SNORA70,SNORA70,SNORA70,SNORA70,,
SNORA70,SNORA70,SNORA70,SNORA70,,
RNU6-1314P,,,,,
CYCSP48,,,,,
VCY1B,,,,,
PNPLA4P1,,,,,
,,,,,
TBL1YP1,,,,,
RPS4Y2,,rps4x,,,
RPS4Y2,,rps4x,,,
HSFY4P,,,,,
,,,,,
GAPDHP17,,,,,
TMEM167AP1,,,,,
,,,,,
TOMM22P1,,,,,
NEFLP1,,,,,
,,,,,
PRORY,,,,,
,,,,,
TSPY14P,,,,,
RBMY1HP,,,,,
,,,,,
,,,,,
TTTY13,,,,,
ELOCP5,,,,,
CDY10P,,,,,
USP9YP3,,,,,
USP9YP8,,,,,
CDY11P,,,,,
HSFY6P,,,,,
USP9YP18,,,,,
CDY14P,,,,,
ELOCP16,,,,,
XKRYP3,,,,,
USP9YP25,,,,,
USP9YP29,,,,,
RNU1-97P,,,,,
RAB9AP1,,,,,
TRAPPC2P9,,,,,
OFD1P11Y,,,,,
PRYP3,,,,,
RNU2-57P,,,,U2,
VDAC1P6,,,,,
EIF4A1P2,,,,,
KRT18P10,,,,,
SNX3P1Y,,,,,
RPL26P37,,,,,
PCDH11Y,,,,,
PCDH11Y,,,,,
ELOCP9,,,,,
CDY15P,,,,,
XKRYP4,,,,,
USP9YP13,,,,,
USP9YP11,,,,,
TTTY3B,,,,,
USP9YP12,,,,,
RNU1-86P,,,,,
RAB9AP5,,,,,
TRAPPC2P10,,,,,
OFD1P12Y,,,,,
ELOCP10,,,,,
CDY1B,,cdyl,,,
CDY1B,,,,,
CDY17P,,,,,
USP9YP35,,,,,
USP9YP31,,,,,
CDY18P,,,,,
,,,,,
RN7SL818P,,,,,
UBE2Q2P4Y,,,,,
LINC00265-2P,,,,,
CICP2,,,,,
,,,,,
RBMY2XP,,,,,
TTTY17B,,,,,
TRIM60P5Y,,,,,
ZNF736P12Y,,,,,
TTTY4B,,,,,
BPY2B,,,,,
,,,,,
ZNF736P4Y,,,,,
,,,,,
RBMY2YP,,,,,
,,,,,
CICP1,,,,,
LINC00265-3P,,,,,
UBE2Q2P5Y,,,,,
GOLGA2P3Y,,,,,
RN7SL725P,,,,,
,,,,,
CDY19P,,,,,
USP9YP36,,,,,
USP9YP33,,,,,
CDY20P,,,,,
ELOCP34,,,,,
OFD1P13Y,,,,,
TRAPPC2P5,,,,,
RAB9AP2,,,,,
USP9YP30,,,,,
RNU1-107P,,,,,
TTTY3,,,,,
USP9YP9,,,,,
USP9YP19,,,,,
XKRYP5,,,,,
CYCSP49,,,,,
SLC25A15P1,,,,,
PARP4P1,,,,,
CCNQP2,,,,,
CDY1,,cdyl,,,
CDY1,,,,,
RBMY1J,,,,,
RBMY1B,,,,,
RBMY1A1,,,,,
RFTN1P1,,,,,
RBMY2FP,,,,,
,,,,,
,,,,,
RBMY2BP,,,,,
TTTY11,,,,,
ARSLP1,,,,,
OFD1P6Y,,,,,
TTTY9A,,,,,
XKRY,,,,,
XKRY,,,,,
XKRYP7,,,,,
,,,,,
,,,,,
HSFY3P,,,,,
,,,,,
TAB3P1,,,,,
,,,,,
ANOS2P,,,,,
RBMY2EP,,,,,
GOLGA2P2Y,,,,,
GOLGA2P2Y,,,,,
,,,,,
TXLNGY,,,,,
GYG2P1,,,,,
CDY3P,,,,,
USP9YP22,,,,,
USP9YP4,,,,,
ELOCP4,,,,,
,,,,,
TTTY20,,,,,
TSPY4,,nap1l4a,,,
TSPY4,,nap1l4a,,,
TSPY4,,tspy,,,
TSPY4,,tspy,,,
FAM197Y7,,,,,
,,,,,
FAM197Y6,,,,,
,,,,,
TSPY8,,nap1l4a,,,
TSPY8,,nap1l4a,,,
TSPY8,,tspy,,,
TSPY8,,tspy,,,
TSPY3,,nap1l4a,,,
TSPY3,,nap1l4a,,,
TSPY3,,tspy,,,
TSPY3,,tspy,,,
RBMY2CP,,,,,
RBMY2DP,,,,,
ZNF736P9Y,,,,,
FAM197Y8,,,,,
PRKY,,,,,
XKRYP7,,,,,
BCORP1,,,,,
FAM197Y8,,,,,
FAM197Y5,,,,,
FAM197Y5,,,,,
TSPY1,,nap1l4a,,,
TSPY1,,nap1l4a,,,
TSPY1,,tspy,,,
TSPY1,,tspy,,,
FAM197Y4,,,,,
FAM197Y4,,,,,
TSPY9,,nap1l4a,,,
TSPY9,,nap1l4a,,,
TSPY9,,tspy,,,
TSPY9,,tspy,,,
FAM197Y3,,,,,
FAM197Y3,,,,,
,,,,,
FAM197Y2,,,,,
TSPY10,,nap1l4a,,,
TSPY10,,nap1l4a,,,
TSPY10,,tspy,,,
TSPY10,,tspy,,,
FAM197Y1,,,,,
TSPY25P,,,,,
TSPY16P,,,,,
,,,,,
TTTY22,,,,,
,,,,,
,,,,,
TSPY18P,,,,,
RBMY2OP,,,,,
RBMY2QP,,,,,
TSPY20P,,,,,
,,,,,
TSPY5P,,,,,
,,,,,
RNA5SP518,,,,,
RNA5SP519,,,,,
DUX4L31,,,,,
PCMTD1P1,,,,,
CDC27P2,,,,,
,,,,,
RNA5-8SP6,,,,,
DLGAP5P1,,,,,
TTTY23B,,,,,
TSPY2,,nap1l4a,,,
TSPY2,,nap1l4a,,,
TSPY2,,tspy,,,
TSPY2,,tspy,,,
FAM197Y9,,,,,
FAM197Y9,,,,,
,,,,,
TSPY19P,,,,,
,,,,,
LINC00280,,,,,
,,,,,
TSPY17P,,,,,
,,,,,
,,,,,
,,,,,
RBMY2FP,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
TTTY23,,,,,
,,,,,
FAM224B,,,,,
LEUTX,,,,,
,,,,,
,,,,,
TTTY2B,,,,,
,,,,,
DYRK1B,,,,,
TTTY1B,,,,,
TTTY7,,,,,
TTTY8B,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
TTTY10,,,,,
TTTY16,,,,,
MIR6719,,,,,
TTTY12,,,,,
FBL,,,,,
,,,,,
TTTY2,,,,,
TTTY7B,,,,,
ZFY-AS1,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
TTTY6,,,,,
,,,,,
,,,,,
,,,,,
TTTY17C,,,,,
TTTY6B,,,,,
SEPTIN14P23,,,,,
,,,,,
FAM224A,,,,,
PRR13P5,,,,,
PSMC4,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
TXLNGY,,,,,
ZNF546,,,,,
,,,,,
ZNF780B,,,,,
,,,,,
,,,,,
,,,,,
FAM41AY2,,,,,
,,,,,
,,,,,
ZNF780A,,,,,
,,,,,
LINC00278,,,,,
,,,,,
TTTY1,,,,,
,,,,,
TTTY11,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
FCGBP,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
BCORP1,,,,,
,,,,,
LINC00279,,,,,
TTTY18,,,,,
,,,,,
,,,,,
TTTY8,,,,,
,,,,,
PRKY,,,,,
,,,,,
,,,,,
HSFY7P,,,,,
,,,,,
RBMY2AP,,,,,
,,,,,
STSP1,,,,,
,,,,,
RBMY2JP,,,,,
,,,,,
HSFY5P,,,,,
,,,,,
XGY1,,,,,
,,,,,
RBMY2WP,,,,,
,,,,,
USP9YP28,,,,,
TTTY14,,,,,
,,,,,
PRYP1,,,,,
,,,,,
OFD1P1Y,,,,,
,,,,,
PRYP2,,,,,
,,,,,
USP9YP14,,,,,
,,,,,
