Gene name,Barramundi perch gene name,Beluga whale gene name,Bicolor damselfish gene name,Black snub-nosed monkey gene name,Blue whale gene name
PRAMEF29P,,,,,
PRAMEF6,,,,,
PRAMEF28P,,,,,
PRAMEF27,,,,,
HNRNPCL3,,,,,
PRAMEF25,,,,,
PRAMEF34P,,,,,
PRAMEF35P,,,,,
HNRNPCL2,,,,,
PRAMEF36P,,,,,
,,,,,
,,,,,
PRAMEF26,,,,,
,,,,,
HNRNPCL4,,,,,
OR9G1,,,,,
PRAMEF9,,,,,
OR9G9,,,,,
,,,,,
PRAMEF13,,,,,
OR9G3P,,,,,
OR9G4,,,,,
PRAMEF18,,,,,
OR9G2P,,,,,
PRAMEF31P,,,,,
PRAMEF5,,,,,
OR5G1P,,,,,
OR5G4P,,,,,
PRAMEF32P,,,,,
RNU6-771P,,,,,
OR5G5P,,,,,
PRAMEF8,,,,,
OR5G3,,,,,
LINC02735,,,,,
PRAMEF33,,,,,
PRAMEF22,,,,,
ARHGEF19-AS1,,,,,
ARHGEF19,,,,,
,,,,,
GRK1,,,,,
ANO7L1,,,,,
,,,,,
CPLANE2,,,,,
LINC00552,,,,,
MT1XP1,,,,,
FBXO42,,,,,
SZRD1,,,,,
RPL22P3,,,,,
SPATA21,,,,,
NECAP2,,,,,
LINC01772,,,,,
CROCCP3,,,,,
RNU1-1,,,,,
,,,,,
,,,,,
LINC01783,,,,,
RNU1-6P,,,,,
PDE4DIPP8,,,,,
,,,,,
RNU1-2,,,,,
,,,,,
,,,,,
,,,,,
RNU1-5P,,,,,
,,,,,
,,,,,
EIF1AXP1,,,,,
RNU1-3,,,,,
RNU1-4,,,,,
PADI2,,,,,
,,,,,
CROCCP4,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
TOLLIP,,,,,
,,,,,
,,,,,
TOLLIP-DT,,,,,
,,,,,
LINC02689,,,,,
BRSK2,,,,,
,,,,,
NBPF1,,,,,
,,,,,
DUSP8,,,,,
KRTAP5-AS1,,,,,
KRTAP5-1,,,,,
KRTAP5-2,,,,,
KRTAP5-3,,,,,
KRTAP5-4,,,,,
KRTAP5-5,,,,,
,,,,,
FAM99A,,,,,
FAM99B,,,,,
LINC02708,,,,,
MOB2,,,,,
RBMY3AP,,,,,
CDY3P,,,,,
TSPY25P,,,,,
USP9YP22,,,,,
TSPY16P,,,,,
USP9YP4,,,,,
ELOCP4,,,,,
RBMY1A3P,,,,,
,,,,,
TTTY20,,,,,
TSPY8,,,,,
FAM197Y7,,,,,
,,,,,
TSPY4,,,,,
TSPY9,,,,,
FAM197Y2,,,,,
FAM197Y4,,,,,
FAM197Y4,,,,,
FAM197Y8,,,,,
FAM197Y8,,,,,
BCL2L14,,,,,
ELOCP5,,,,,
CDY10P,,,,,
USP9YP3,,,,,
PTMAP9,,,,,
MIR1244-4,,,,,
LRP6,,,,,
USP9YP8,,,,,
CDY11P,,,,,
OFD1P16Y,,,,,
RPL21P100,,,,,
RNU6-545P,,,,,
,,,,,
RNU6-318P,,,,,
MANSC1,,,,,
RPL23AP66,,,,,
LOH12CR2,,,,,
BORCS5,,,,,
,,,,,
DUSP16,,,,,
,,,,,
,,,,,
,,,,,
PPP2R3B,,,,,
RPL14P5,,,,,
,,,,,
,,,,,
ASMTL-AS1,,,,,
IL3RA,,,,,
P2RY8,,,,,
SLC25A6,,,,,
,,,,,
ASMT,,,,,
DHRSX-IT1,,,,,
,,,,,
DHRSX,,,,,
ASMTL,,,,,
LINC02968,,,,,
LINC00106,,,,,
LINC00685,,,,,
AKAP17A,,,,,
PLCXD1,,,,,
ZBED1,,,,,
MIR6089,,,,,
LINC00102,,,,,
CD99,,,,,
,,,,,
Metazoa_SRP,,,,,
,,,,,
FABP5P13,,,,,
KRT18P53,,,,,
SHOX,,,,,
MIR3690,,,,,
RNA5SP498,,,,,
CSF2RA,,,,,
GTPBP6,,,,,
,,,,,
LINC03112,,,,,
CD99P1,,,,,
CD99P1,,,,,
CRLF2,,,,,
AMD1P2,,,,,
DPH3P2,,,,,
VAMP7,,,,,
ELOCP24,,,,,
TRPC6P1,,,,,
,,,,,
WASIR1,,,,,
DDX11L16,,,,,
WASH6P,,,,,
IL9R,,,,,
TSPY24P,,,,,
ZNF92P1Y,,,,,
SERBP1P2,,,,,
TSPY12P,,,,,
DUX4L19,,,,,
TTTY12,,,,,
,,,,,
OFD1P3Y,,,,,
RBMY2HP,,,,,
,,,,,
TTTY6,,,,,
ELOCP35,,,,,
SLC9B1P1,,,,,
USP12PY,,,,,
KDM5DP1,,,,,
LINC00279,,,,,
DUX4L17,,,,,
PRY,,,,,
,,,,,
,,,,,
HSFY7P,,,,,
,,,,,
,,,,,
ZNF736P6Y,,,,,
TUSC2P1,,,,,
RNU5B-4P,,,,,
RBMY2AP,,,,,
ECSCR,,,,,
PUDPP1,,,,,
,,,,,
CDRT15P10,,,,,
USP9Y,usp9,,usp9,,USP9Y
SMIM33,,,,,
STING1,,,,,
,,,,,
NCOA4P4,,,,,
PRY2,,,,,
,,,,,
OFD1P8Y,,,,,
RNF19BPY,,,,,
,,,,,
TSPY23P,,,,,
TUBB1P2,,,,,
,,,,,
ACTR3BP1,,,,,
RPS24P1,,,,,
RCC2P2,,,,,
ZNF736P8Y,,,,,
EIF1AY,,,,,
BPY2,,,,,
MTND1P12,,,,,
STSP1,,,,,
CTBP2P1,,,,,
MTND6P1,,,,,
PABPC1P5,,,,,
TSPY22P,,,,,
RCC2P1,,,,,
SHROOM2P1,,,,,
,,,,,
TTTY18,,,,,
,,,,,
,,,,,
DUX4L18,,,,,
,,,,,
ZNF736P11Y,,,,,
OFD1P9Y,,,,,
BPY2DP,,,,,
RBMY2JP,,,,,
CHEK2P1,,,,,
RBMY2UP,,,,,
FAM224B,,,,,
ZNF886P,,,,,
ELOCP8,,,,,
OFD1P16Y,,,,,
TTTY25P,,,,,
,,,,,
,,,,,
ASS1P6,,,,,
SNX18P1Y,,,,,
,,,,,
MED14P1,,,,,
HSFY5P,,,,,
ZNF885P,,,,,
ARSFP1,,,,,
,,,,,
ZNF736P7Y,,,,,
SURF6P1,,,,,
XGY1,,,,,
,,,,,
,,,,,
ANKRD20A6P,,,,,
,,,,,
RBMY2KP,,,,,
TSPY21P,,,,,
TTTY19,,,,,
TTTY4,,,,,
,,,,,
MXRA5Y,,,,,
DUX4L16,,,,,
MTCYBP1,,,,,
,,,,,
USP9YP17,,,,,
TTTY17A,,,,,
AGPAT5P1,,,,,
,,,,,
FAM41AY1,,,,,
TTTY6B,,,,,
ELOCP15,,,,,
,,,,,
TRIM60P3Y,,,,,
MTND1P1,,,,,
,,,,,
PRRC2CP1,,,,,
ZNF736P10Y,,,,,
,,,,,
CDY12P,,,,,
,,,,,
MTND2P3,,,,,
CDY13P,,,,,
RBMY1KP,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ARSDP1,,,,,
TTTY5,,,,,
CDY4P,,,,,
,,,,,
RBMY1D,,,,,
RBMY2WP,,,,,
USP9YP24,,,,,
,,,,,
TTTY10,,,,,
UBE2V1P3,,,,,
FAM8A4P,,,,,
,,,,,
,,,,,
TRIM60P8Y,,,,,
MED13P1,,,,,
CYCSP46,,,,,
RNU6-303P,,,,,
,,,,,
RN7SL702P,,,,,
RNA5SP520,,,,,
RNA5SP521,,,,,
,,,,,
RNU6-109P,,,,,
RNU6-184P,,,,,
HSFY2,,,,,
GPM6BP2,,,,,
USP9YP2,,,,,
ELOCP14,,,,,
PRYP6,,,,,
XKRYP2,,,,,
USP9YP10,,,,,
USP9YP28,,,,,
RNU1-41P,,,,,
OFD1P7Y,,,,,
MTCYBP2,,,,,
ZNF839P1,,,,,
CD24P4,,,,,
RNU6-255P,,,,,
,,,,,
GAPDHP19,,,,,
CLUHP1,,,,,
TAF9P1,,,,,
,,,,,
CDY5P,,,,,
ELOCP36,,,,,
PRYP1,,,,,
ACTG1P2,,,,,
USP9YP23,,,,,
USP9YP27,,,,,
RNU1-128P,,,,,
TRAPPC2P3,,,,,
OFD1P1Y,,,,,
ELOCP6,,,,,
CDY6P,,,,,
USP9YP7,,,,,
USP9YP6,,,,,
CDY7P,,,,,
USP9YP34,,,,,
USP9YP32,,,,,
CDY8P,,,,,
ELOCP12,,,,,
TRAPPC2P8,,,,,
USP9YP15,,,,,
RNU1-95P,,,,,
USP9YP16,,,,,
ACTG1P11,,,,,
PRYP2,,,,,
ELOCP26,,,,,
CDY9P,,,,,
TAF9P2,,,,,
CLUHP2,,,,,
FAM224A,,,,,
,,,,,
RNA5SP522,,,,,
RNA5SP523,,,,,
TUBB1P1,,,,,
ELOCP13,,,,,
OFD1P4Y,,,,,
USP9YP14,,,,,
RNU1-48P,,,,,
USP9YP5,,,,,
,,,,,
XKRYP1,,,,,
PRYP5,,,,,
ELOCP7,,,,,
USP9YP1,,,,,
GPM6BP1,,,,,
TTTY9B,,,,,
RAB9AP4,,,,,
TRAPPC2P7,,,,,
TTTY14,,,,,
,,,,,
,,,,,
,,,,,
KDM5D,kdm4c,,,,KDM5D
KDM5D,kdm4c,,,,KDM5D
HSFY1,,,,,
TGIF2LY,pbx4,,pbx4,,
TGIF2LY,,,pbx4,,
TGIF2LY,pbx2,,pbx4,,
TGIF2LY,pbx4,,,,
TGIF2LY,,,,,
TGIF2LY,pbx2,,,,
TGIF2LY,pbx4,,pbx2,,
TGIF2LY,,,pbx2,,
TGIF2LY,pbx2,,pbx2,,
RBMY1F,,,,,
CDY2A,CDY1,,CDYL,,
CDY2A,CDY1,,CDYL,,
ZNF736P3Y,,,,,
TRIM60P9Y,,,,,
RN7SKP282,,,,,
Y_RNA,,,,,
RNU6-941P,,U6,,,U6
RNU6-521P,,,,,U6
SRIP3,,,,,
,,,,,
GOT2P5,,,,,
ATP5PFP1,,,,,
,,,,,
TRIM60P10Y,,,,,
ZNF736P2Y,,,,,
TRIM60P11Y,,,,,
,,,,,
ZNF736P1Y,,,,,
,,,,,
ZNF736P5Y,,,,,
BPY2C,,,,,
TTTY4C,,,,,
DAZ4,dazl,,dazl,,
CDY2B,CDY1,,CDYL,,
CDY2B,CDY1,,CDYL,,
RNU6-1334P,,,,,
SRY,sox19b,,sox19b,,
SRY,sox32,,sox19b,,
SRY,sox19b,,sox32,,
SRY,sox32,,sox32,,
RNASEH2CP1,,,,,
TOMM22P2,,,,,
,,,,,
RPS4Y1,rps4x,,,,
NAP1L1P2,,,,,
,,,,,
ZFY,,ZFX,,,
ZFY,,ZFX,,,
ZFY-AS1,,,,,
EEF1A1P41,,,,,
PSMA6P1,,,,,
SFPQP1,,,,,
DPPA2P1,,,,,
DDX3Y,,,ddx3xa,DDX3Y,
DDX3Y,ddx3xa,,ddx3xa,DDX3Y,
DDX3Y,,,,DDX3Y,
DDX3Y,ddx3xa,,,DDX3Y,
C1R,,,,,
CASKP1,,,,,
UTY,KDM6A,,KDM6A,,UTY
C1RL,,,,,
C1RL-AS1,,,,,
RBP5,,,,,
RNU6-485P,,,,,
,,,,,
CLSTN3,,,,,
,,,,,
,,,,,
PEX5,,,,,
TMSB4Y,,,,,
VCY,,,,,
VCY,,,,,
DAZ3,dazl,,dazl,,
DAZ1,dazl,,dazl,,
PPP1R12BP2,,,,,
SNORA70,,SNORA70,,,SNORA70
,,,,,
REREP1Y,,,,,
,,,,,
,,,,,
AMELY,,,,,
TBL1Y,tbl1x,TBL1X,tbl1x,,TBL1Y
,,,,,
GPR143YP,,,,,
DAZ2,dazl,,dazl,,
AGKP1,,,,,
NLGN4Y-AS1,,,,,
RBMY1E,,,,,
NLGN4Y,nlgn4xa,NLGN4X,nlgn4xa,,
NLGN4Y,nlgn4xa,NLGN4X,nlgn4xa,,
,,,,,
,,,,,
,,,,,
Y_RNA,,,,,
LINC00278,,,,,
CDY22P,,,,,
ELOCP17,,,,,
OFD1P18Y,,,,,
TRAPPC2P4,,,,,
RAB9AP3,,,,,
USP9YP20,,,,,
RNU1-40P,,,,,
USP9YP21,,,,,
XKRYP6,,,,,
PRYP4,,,,,
ELOCP11,,,,,
CDY23P,,,,,
USP9YP26,,,,,
HSFY8P,,,,,
OFD1P15Y,,,,,
REREP2Y,,,,,
,,,,,
,,,,,
SNORA70,,SNORA70,,,SNORA70
PPP1R12BP1,,,,,
RNU6-1314P,,,,,U6
CYCSP48,,,,,
ANKRD36P1,,,,,
,,,,,
VCY1B,,,,,
VCY1B,,,,,
PNPLA4P1,,,,,
,,,,,
OFD1P2Y,,,,,
OFD1P5Y,,,,,
,,,,,
TBL1YP1,,,,,
RPS4Y2,rps4x,,,,
HSFY4P,,,,,
,,,,,
GAPDHP17,,,,,
TMEM167AP1,,,,,
,,,,,
TOMM22P1,,,,,
,,,,,
NEFLP1,,,,,
,,,,,
PRORY,,,,,
,,,,,
,,,,,
RBMY2TP,,,,,
TSPY14P,,,,,
RBMY1HP,,,,,
,,,,,
,,,,,
TTTY13,,,,,
ELOCP5,,,,,
CDY10P,,,,,
USP9YP3,,,,,
USP9YP8,,,,,
CDY11P,,,,,
HSFY6P,,,,,
USP9YP18,,,,,
CDY14P,,,,,
ELOCP16,,,,,
XKRYP3,,,,,
USP9YP25,,,,,
USP9YP29,,,,,
RNU1-97P,,,,,
RAB9AP1,,,,,
TRAPPC2P9,,,,,
OFD1P11Y,,,,,
PRYP3,,,,,
,,,,,
RNU2-57P,,,,,
VDAC1P6,,,,,
EIF4A1P2,,,,,
KRT18P10,,,,,
SNX3P1Y,,,,,
RPL26P37,,,,,
PCDH11Y,PCDH11Y,PCDH11X,PCDH11Y,,
OFD1P10Y,,,,,
ELOCP9,,,,,
CDY15P,,,,,
XKRYP4,,,,,
USP9YP13,,,,,
USP9YP11,,,,,
TTTY3B,,,,,
USP9YP12,,,,,
RNU1-86P,,,,,
RAB9AP5,,,,,
TRAPPC2P10,,,,,
OFD1P12Y,,,,,
ELOCP10,,,,,
CDY1B,CDY1,,CDYL,,
CDY1B,CDY1,,CDYL,,
CDY17P,,,,,
USP9YP35,,,,,
USP9YP31,,,,,
CDY18P,,,,,
,,,,,
GOLGA6L11P,,,,,
DNM1P24,,,,,
,,,,,
CSPG4P2Y,,,,,
CSPG4P3Y,,,,,
,,,,,
RN7SL818P,,,,,
UBE2Q2P4Y,,,,,
LINC00265-2P,,,,,
CICP2,,,,,
SEPTIN14P22,,,,,
,,,,,
RBMY2XP,,,,,
TTTY17B,,,,,
TRIM60P5Y,,,,,
ZNF736P12Y,,,,,
TTTY4B,,,,,
BPY2B,,,,,
,,,,,
ZNF736P4Y,,,,,
,,,,,
TTTY17C,,,,,
RBMY2YP,,,,,
,,,,,
CICP1,,,,,
LINC00265-3P,,,,,
UBE2Q2P5Y,,,,,
GOLGA2P3Y,,,,,
RN7SL725P,,,,,
,,,,,
CSPG4P4Y,,,,,
CSPG4P1Y,,,,,
DNM1P48,,,,,
,,,,,
GOLGA6L16P,,,,,
,,,,,
CDY19P,,,,,
USP9YP36,,,,,
USP9YP33,,,,,
CDY20P,,,,,
ELOCP34,,,,,
OFD1P13Y,,,,,
TRAPPC2P5,,,,,
RAB9AP2,,,,,
USP9YP30,,,,,
RNU1-107P,,,,,
TTTY3,,,,,
USP9YP9,,,,,
USP9YP19,,,,,
XKRYP5,,,,,
TPTE2P4,,,,,
CYCSP49,,,,,
SLC25A15P1,,,,,
PARP4P1,,,,,
CCNQP2,,,,,
CDY1,CDY1,,CDYL,,
CDY1,CDY1,,CDYL,,
RBMY1J,,,,,
,,,,,
RBMY1B,,,,,
RBMY1A1,,,,,
RFTN1P1,,,,,
TTTY16,,,,,
RBMY2FP,,,,,
RBMY2FP,,,,,
,,,,,
,,,,,
RBMY2BP,,,,,
,,,,,
TTTY11,,,,,
TTTY11,,,,,
ARSLP1,,,,,
,,,,,
OFD1P6Y,,,,,
TTTY9A,,,,,
XKRY,,,,,
XKRY,,,,,
XKRYP7,,,,,
,,,,,
,,,,,
XGY2,,,,,
HSFY3P,,,,,
,,,,,
TAB3P1,,,,,
,,,,,
ANOS2P,,,,,
,,,,,
RBMY2EP,,,,,
,,,,,
GOLGA2P2Y,,,,,
GOLGA2P2Y,,,,,
,,,,,
,,,,,
TXLNGY,,,,,
TXLNGY,,,,,
GYG2P1,,,,,
,,,,,
CDY3P,,,,,
USP9YP22,,,,,
USP9YP4,,,,,
ELOCP4,,,,,
RBMY1A3P,,,,,
,,,,,
TTTY20,,,,,
TSPY4,tspy,,tspy,,
TSPY4,nap1l4a,,tspy,,
TSPY4,tspy,,nap1l4a,,
TSPY4,nap1l4a,,nap1l4a,,
FAM197Y7,,,,,
,,,,,
TSPY7P,,,,,
FAM197Y6,,,,,
,,,,,
TSPY8,tspy,,tspy,,
TSPY8,nap1l4a,,tspy,,
TSPY8,tspy,,nap1l4a,,
TSPY8,nap1l4a,,nap1l4a,,
TSPY3,tspy,,tspy,,
TSPY3,nap1l4a,,tspy,,
TSPY3,tspy,,nap1l4a,,
TSPY3,nap1l4a,,nap1l4a,,
OR4C12,,,,,
RBMY2CP,,,,,
OR4C48P,,,,,
OR4C49P,,,,,
OR4C45,,,,,
,,,,,
RBMY2DP,,,,,
,,,,,
ZNF736P9Y,,,,,
,,,,,
FAM197Y8,,,,,
PRKY,,,,,
PRKY,,,,,
SEPTIN14P23,,,,,
XKRYP7,,,,,
FAM41AY2,,,,,
BCORP1,,,,,
BCORP1,,,,,
FAM197Y8,,,,,
FAM197Y5,,,,,
FAM197Y5,,,,,
TSPY1,tspy,,tspy,,
TSPY1,nap1l4a,,tspy,,
TSPY1,tspy,,nap1l4a,,
TSPY1,nap1l4a,,nap1l4a,,
FAM197Y4,,,,,
FAM197Y4,,,,,
TSPY9,tspy,,tspy,,
TSPY9,nap1l4a,,tspy,,
TSPY9,tspy,,nap1l4a,,
TSPY9,nap1l4a,,nap1l4a,,
FAM197Y3,,,,,
FAM197Y3,,,,,
TSPY6P,,,,,
,,,,,
FAM197Y2,,,,,
TSPY10,tspy,,tspy,,
TSPY10,nap1l4a,,tspy,,
TSPY10,tspy,,nap1l4a,,
TSPY10,nap1l4a,,nap1l4a,,
FAM197Y1,,,,,
TSPY15P,,,,,
RBMY3AP,,,,,
TSPY25P,,,,,
TSPY16P,,,,,
,,,,,
TTTY8,,,,,
TTTY7B,,,,,
TTTY2,,,,,
TTTY1,,,,,
TTTY22,,,,,
,,,,,
RBMY2NP,,,,,
,,,,,
TSPY18P,,,,,
TSPY13P,,,,,
TTTY23,,,,,
RBMY2OP,,,,,
,,,,,
RBMY2QP,,,,,
TSPY20P,,,,,
,,,,,
TSPY5P,,,,,
,,,,,
RNA5SP518,,,,,
RNA5SP519,,,,,
DUX4L31,,,,,
PCMTD1P1,,,,,
CDC27P2,,,,,
,,,,,
RNA5-8SP6,,,,,
DLGAP5P1,,,,,
TTTY23B,,,,,
TTTY23B,,,,,
TSPY2,tspy,,tspy,,
TSPY2,nap1l4a,,tspy,,
TSPY2,tspy,,nap1l4a,,
TSPY2,nap1l4a,,nap1l4a,,
FAM197Y9,,,,,
FAM197Y9,,,,,
TSPY11P,,,,,
,,,,,
TSPY19P,,,,,
,,,,,
RBMY2GP,,,,,
LINC00280,,,,,
TTTY1B,,,,,
TTTY2B,,,,,
TTTY7,,,,,
TTTY8B,,,,,
,,,,,
TSPY17P,,,,,
SERTAD4-AS1,,,,,
SERTAD4,,,,,
ST13P19,,,,,
,,,,,
FRG2,,,,,
HHAT,,,,,
FRG1,,,,,
MLLT10P2,,,,,
,,,,,
TUBB7P,,,,,
RNA5SP174,,,,,
RNA5SP175,,,,,
DUX4L9,,,,,
RARRES2P4,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
RPL23AP84,,,,,
,,,,,
DUX4L8,,,,,
DUX4,,,,,
,,,,,
RNU5A-8P,,,,,
,,,,,
BPNT2P1,,,,,
OBP2B,,,,,
LCN1P1,,,,,
Y_RNA,,,,,
LCN1P2,,,,,
SURF6,,,,,
Y_RNA,,,,,
MED22,,,,,
RPL21P81,,,,,
RPL7A,,,,,
SNORD24,,,,,
SNORD36B,,,,,
SNORD36A,,,,,
,,,,,
SNORD36C,,,,,
SURF1,,,,,
,,,,,
,,,,,
CYCSP41,,,,,
,,,,,
SURF2,,,,,
,,,,,
OR4K11P,,,,,
,,,,,
,,,,,
,,,,,
SURF4,,,,,
SOWAHCP2,,,,,
,,,,,
,,,,,
LINC03104,,,,,
,,,,,
,,,,,
CTBP2P10,,,,,
C21orf91-OT1,,,,,
RBPMSLP,,,,,
SREK1IP1P1,,,,,
CDRT15P8,,,,,
MIR548XHG,,,,,
FDPSP6,,,,,
RPL39P40,,,,,
,,,,,
STKLD1,,,,,
,,,,,
NEK4P1,,,,,
,,,,,
,,,,,
,,,,,
PPIAP22,,,,,
SLC6A6P1,,,,,
CTBP2P9,,,,,
,,,,,
,,,,,
REXO4,,,,,
CHODL-AS1,,,,,
D21S2088E,,,,,
TUBAP1,,,,,
,,,,,
,,,,,
TMPRSS15,,TMPRSS15,,TMPRSS15,TMPRSS15
ADAMTS13,,,,,
VN1R7P,,,,,
ZNF299P,,,,,
,,,,,
,,,,,
SNX19P1,,,,,
,,,,,
,,,,,
LINC03105,,,,,
SLC25A15P4,,,,,
,,,,,
GPX1P2,,,,,
,,,,,
,,,,,
,,,,,
CXADR,cxadr,CXADR,cxadr,CXADR,CXADR
IGHV1OR21-1,,,,,
,,,,,
HSPD1P7,,,,,
,,,,,
LINC01687,,,,,
MSANTD2P1,,,,,
,,,,,
C1QBPP1,,,,,
,,,,,
,,,,,
RPL10P1,,,,,
LINC00317,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
LINC00161,,,,,
LINC01697,,,,,
LINC01689,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
KRT18P2,,,,,
,,,,,
,,,,,
,,,,,
URB1,urb1,URB1,urb1,URB1,URB1
CACFD1,,,,,
SLC2A6,,,,,
,,,,,
KRTAP25-1,,,,,
SNX18P10,,,,,
,,,,,
RPSAP68,,,,,
JAM2,jam2a,JAM2,jam2a,JAM2,
JAM2,jam2b,JAM2,jam2a,JAM2,
JAM2,jam2a,JAM2,jam2b,JAM2,
JAM2,jam2b,JAM2,jam2b,JAM2,
JAM2,jam2a,JAM2,jam2a,JAM2,
JAM2,jam2b,JAM2,jam2a,JAM2,
JAM2,jam2a,JAM2,jam2b,JAM2,
JAM2,jam2b,JAM2,jam2b,JAM2,
ABO,,,,,
,,,,,
,,,,,
EEF1A1P1,,,,,
LINC01683,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
RPL8P2,,,,,
,,,,,
LINC02573,,,,,
LINC01692,,,,,
,,,,,
CLDN17,,CLDN17,,CLDN17,CLDN17
CYYR1,,CYYR1,,,CYYR1
BTF3L4P1,,,,,
,,,,,
MRPS6,mrps6,MRPS6,mrps6,MRPS6,
