HGNC ID	UniProt ID(supplied by UniProt)
HGNC:28494	Q8TC94
HGNC:16127	Q5JWF8
HGNC:44626	
HGNC:24758	Q5BKX5
HGNC:163	P12814
HGNC:20131	
HGNC:164	P35609
HGNC:165	Q08043
HGNC:58248	
HGNC:166	O43707
HGNC:58572	
HGNC:44028	
HGNC:44032	
HGNC:51621	
HGNC:167	P61163
HGNC:54703	
HGNC:168	P42025
HGNC:169	P61160
HGNC:56978	
HGNC:57006	
HGNC:170	P61158
HGNC:53965	
HGNC:17256	Q9P1U1
HGNC:37724	
HGNC:38677	
HGNC:38678	
HGNC:38681	
HGNC:38682	
HGNC:38683	
HGNC:54971	
HGNC:37282	Q9C0K3
HGNC:31820	
HGNC:38676	
HGNC:38679	
HGNC:14671	Q9H9F9
HGNC:24025	Q9GZN1
HGNC:44210	
HGNC:14672	Q9H981
HGNC:17372	Q9NZ32
HGNC:24027	Q8TDG2
HGNC:55127	
HGNC:24026	Q8TDY3
HGNC:24022	Q9BYD9
HGNC:171	Q04771
HGNC:172	P36896
HGNC:18123	Q8NER5
HGNC:173	P27037
HGNC:174	Q13705
HGNC:44161	
HGNC:175	P37023
HGNC:177	Q03154
HGNC:24104	Q96HD9
HGNC:179	P07311
HGNC:180	P14621
HGNC:186	P00813
HGNC:1839	Q9NZK5
HGNC:30713	Q96M93
HGNC:44550	
HGNC:44552	
HGNC:30714	Q8NCV1
HGNC:58422	
HGNC:187	
HGNC:44366	
HGNC:198	Q99965
HGNC:209	
HGNC:210	
HGNC:212	Q6NVV9
HGNC:213	
HGNC:214	Q9H2U9
HGNC:56152	
HGNC:56153	
HGNC:215	P78325
HGNC:216	Q13443
HGNC:188	O14672
HGNC:189	O75078
HGNC:190	O43184
HGNC:193	Q13444
HGNC:195	P78536
HGNC:196	Q9Y3Q7
HGNC:197	Q9H013
HGNC:199	O43506
HGNC:20102	
HGNC:43901	
HGNC:43902	
HGNC:200	Q9UKJ8
HGNC:19822	
HGNC:201	Q9P0K1
HGNC:202	O75077
HGNC:203	
HGNC:206	Q9UKQ2
HGNC:207	Q9UKF5
HGNC:208	Q9UKF2
HGNC:15479	Q8TC27
HGNC:15478	Q9BZ11
HGNC:16299	O15204
HGNC:217	Q9UHI8
HGNC:218	O95450
HGNC:219	O15072
HGNC:220	O75173
HGNC:221	Q9UNA0
HGNC:222	Q9UKP5
HGNC:223	Q9UKP4
HGNC:49407	
HGNC:49409	
HGNC:49410	
HGNC:56992	
HGNC:224	Q9UP79
HGNC:13202	Q9P2N4
HGNC:40625	
HGNC:42435	
HGNC:13201	Q9H324
HGNC:58599	
HGNC:14605	P58397
HGNC:1366	Q76LX8
HGNC:14899	Q8WXS8
HGNC:16305	Q8TE58
HGNC:17108	Q8TE57
HGNC:58093	
HGNC:55548	
HGNC:17109	Q8TE56
HGNC:58617	
HGNC:17110	Q8TE60
HGNC:17111	Q8TE59
HGNC:40797	
HGNC:17178	P59510
HGNC:14632	Q8N6G6
HGNC:14631	Q86TH1
HGNC:14633	P82987
HGNC:19706	Q6UY14
HGNC:32041	Q5T5F5
HGNC:40895	
HGNC:27912	Q6ZMM2
HGNC:16486	O75689
HGNC:16487	Q9NPF8
HGNC:225	P55265
HGNC:226	P78563
HGNC:227	Q9NS39
HGNC:23299	A8MUL3
HGNC:228	Q9BUB4
HGNC:21172	Q7Z6V5
HGNC:25151	Q96EY9
HGNC:19038	Q86TW2
HGNC:19039	Q7Z695
HGNC:21738	Q3MIX3
HGNC:229	
HGNC:232	Q08828
HGNC:233	Q08462
HGNC:40064	
HGNC:234	O60266
HGNC:235	Q8NFM4
HGNC:236	O95622
HGNC:237	O43306
HGNC:53332	
HGNC:238	P51828
HGNC:239	P40145
HGNC:240	O60503
HGNC:21285	Q96PN6
HGNC:44143	
HGNC:241	P18509
HGNC:242	P41586
HGNC:243	P35611
HGNC:244	P35612
HGNC:40065	
HGNC:245	Q9UEY8
HGNC:48682	
HGNC:21212	Q8N7X0
HGNC:55654	
HGNC:13838	Q86SQ6
HGNC:49543	
HGNC:17849	Q96PE1
HGNC:13839	Q8IWK6
HGNC:55918	
HGNC:943	O14514
HGNC:944	O60241
HGNC:945	O60242
HGNC:55774	
HGNC:19893	Q6QNK2
HGNC:53314	
HGNC:58275	
HGNC:18651	Q7Z7M1
HGNC:3336	Q14246
HGNC:3337	Q9UHX3
HGNC:23647	Q9BY15
HGNC:19240	Q86SQ3
HGNC:1711	P48960
HGNC:18990	Q5T601
HGNC:18991	Q8IZF7
HGNC:18989	Q8IZF5
HGNC:19011	Q8IZF3
HGNC:19030	Q8IZF2
HGNC:40864	
HGNC:32922	
HGNC:32921	
HGNC:4512	Q9Y653
HGNC:4516	Q8IZP9
HGNC:13728	Q86Y34
HGNC:18992	Q8IZF6
HGNC:19010	Q8IZF4
HGNC:13841	Q86SQ4
HGNC:19241	Q96K78
HGNC:20973	O94910
HGNC:55309	
HGNC:18582	O95490
HGNC:20974	Q9HAR2
HGNC:50604	
HGNC:20822	Q9HBW9
HGNC:17416	Q8WXG9
HGNC:249	P07327
HGNC:250	P00325
HGNC:251	P00326
HGNC:252	P08319
HGNC:253	P11766
HGNC:22976	
HGNC:22991	
HGNC:21377	
HGNC:54523	
HGNC:255	P28332
HGNC:256	P40394
HGNC:16354	Q8IWW8
HGNC:30576	Q9BV57
HGNC:52339	
HGNC:52340	
HGNC:52341	
HGNC:28606	Q0VDE8
HGNC:56273	
HGNC:13633	Q15848
HGNC:40648	
HGNC:24040	Q96A54
HGNC:44910	
HGNC:44911	
HGNC:24041	Q86V24
HGNC:24043	Q15847
HGNC:45127	
HGNC:15873	Q9GZN8
HGNC:58498	
HGNC:58499	
HGNC:257	P55263
HGNC:58381	
HGNC:259	P35318
HGNC:55516	
HGNC:28898	Q7Z4H4
HGNC:27293	C9JUS6
HGNC:15766	Q9H2P0
HGNC:51227	
HGNC:23803	Q6IQ32
HGNC:23506	Q96SZ5
HGNC:262	P30542
HGNC:40067	
HGNC:40066	
HGNC:263	P29274
HGNC:37122	P86434
HGNC:264	P29275
HGNC:265	
HGNC:268	P0DMS8
HGNC:25250	Q9BRR6
HGNC:44144	
HGNC:269	P54922
HGNC:21303	Q8NDY3
HGNC:30925	Q3LIE5
HGNC:21304	Q9NX46
HGNC:277	P35348
HGNC:278	P35368
HGNC:280	P25100
HGNC:281	P08913
HGNC:282	P18089
HGNC:283	P18825
HGNC:285	P08588
HGNC:286	P07550
HGNC:288	P13945
HGNC:15759	Q16186
HGNC:291	P30566
HGNC:20093	Q8N142
HGNC:292	P30520
HGNC:21214	Q96IZ2
HGNC:303	Q8IUX7
HGNC:24051	Q6ZN18
HGNC:25722	Q8WTP8
HGNC:24017	Q8N556
HGNC:28141	
HGNC:26714	Q8TED9
HGNC:25901	Q8N4X5
HGNC:7137	P55196
HGNC:21236	Q9Y6Z5
HGNC:7135	P51825
HGNC:53447	
HGNC:3776	P51816
HGNC:41334	
HGNC:6473	P51826
HGNC:17869	Q9UHB7
HGNC:55235	
HGNC:56526	
HGNC:16411	Q8WV93
HGNC:18119	Q8NB90
HGNC:28762	Q9BVQ7
HGNC:314	
HGNC:315	Q9Y4W6
HGNC:24169	
HGNC:316	P43652
HGNC:20910	Q63HM1
HGNC:317	P02771
HGNC:25951	Q6ULP2
HGNC:52788	
HGNC:318	P20933
HGNC:27730	
HGNC:16922	Q9UPQ3
HGNC:41427	
HGNC:16921	Q99490
HGNC:48633	
HGNC:16923	Q96P47
HGNC:23459	Q96P64
HGNC:23467	A6NIR3
HGNC:23466	Q5VW22
HGNC:23465	Q5VUJ5
HGNC:23463	Q5VTM2
HGNC:23659	
HGNC:29421	Q8TF27
HGNC:23661	
HGNC:23499	
HGNC:23660	
HGNC:26504	Q96MI9
HGNC:48617	
HGNC:26296	Q5U5Z8
HGNC:27981	Q8NEM8
HGNC:25892	Q5VU57
HGNC:41123	
HGNC:41482	
HGNC:26147	Q8NDL9
HGNC:41133	
HGNC:41484	
HGNC:320	Q15109
HGNC:5175	P52594
HGNC:5177	O95081
HGNC:24684	Q8N302
HGNC:38051	
HGNC:38052	
HGNC:38053	
HGNC:38054	
HGNC:51741	
HGNC:51744	
HGNC:51740	
HGNC:51745	
HGNC:51746	
HGNC:51747	
HGNC:21869	Q53H12
HGNC:55356	
HGNC:37661	
HGNC:55132	
HGNC:321	P35573
HGNC:18407	Q9BSE5
HGNC:33784	Q6ZNB7
HGNC:3262	Q9UL18
HGNC:3263	Q9UKV8
HGNC:18421	Q9H9G7
HGNC:18424	Q9HCK5
HGNC:324	Q99943
HGNC:325	O15120
HGNC:326	Q9NRZ7
HGNC:20885	Q9NRZ5
HGNC:20988	Q9H0P7
HGNC:20886	Q9NUQ2
HGNC:37709	
HGNC:327	O00116
HGNC:328	O95994
HGNC:24167	Q8TD06
HGNC:329	O00468
HGNC:330	O00253
HGNC:333	P01019
HGNC:17258	Q9UPW5
HGNC:336	P30556
HGNC:338	P50052
HGNC:13539	Q6RW13
HGNC:341	P21549
HGNC:14412	Q9BYV1
HGNC:24618	Q8WYP5
HGNC:24620	
HGNC:343	P23526
HGNC:344	O43865
HGNC:22204	Q96HN2
HGNC:44993	
HGNC:44994	
HGNC:44995	
HGNC:44996	
HGNC:44997	
HGNC:44998	
HGNC:44999	
HGNC:45000	
HGNC:25230	Q5TGY3
HGNC:21575	Q8N157
HGNC:32526	P0C7V0
HGNC:347	Q09666
HGNC:20125	Q8IVF2
HGNC:348	P35869
HGNC:346	A9YTQ3
HGNC:1189	O95433
HGNC:20437	Q719I0
HGNC:349	P02765
HGNC:18075	Q9NZD4
HGNC:13203	Q9GZX7
HGNC:25761	Q96BJ3
HGNC:54663	
HGNC:54664	
HGNC:54665	
HGNC:352	P55008
HGNC:28904	Q9BQI0
HGNC:8768	O95831
HGNC:44884	
HGNC:21411	Q9BRQ8
HGNC:26398	Q96NN9
HGNC:21607	Q9NVV5
HGNC:43926	
HGNC:357	O14862
HGNC:10648	Q12904
HGNC:16543	
HGNC:43693	
HGNC:20609	Q13155
HGNC:358	O00170
HGNC:359	Q9NZN9
HGNC:360	O43918
HGNC:26039	Q9NX04
HGNC:34515	
HGNC:30801	Q9UKB5
HGNC:37284	C9J069
HGNC:20250	Q96IF1
HGNC:55449	
HGNC:361	P00568
HGNC:362	P54819
HGNC:58388	
HGNC:24037	
HGNC:33542	
HGNC:17376	Q9UIJ7
HGNC:31099	
HGNC:39062	
HGNC:39063	
HGNC:39064	
HGNC:39065	
HGNC:56418	
HGNC:363	P27144
HGNC:364	
HGNC:39066	
HGNC:21596	
HGNC:39067	
HGNC:39068	
HGNC:39069	
HGNC:365	Q9Y6K8
HGNC:40069	
HGNC:49151	Q9Y3D8
HGNC:51678	
HGNC:51679	
HGNC:20091	Q96M32
HGNC:26526	Q96MA6
HGNC:33814	Q5TCS8
HGNC:28285	P0CW23
HGNC:58563	
HGNC:367	Q92667
HGNC:55339	
HGNC:372	
HGNC:373	O75969
HGNC:374	Q5JQC9
HGNC:375	P24588
HGNC:376	Q13023
HGNC:377	O43687, Q9P0M2
HGNC:378	O43823
HGNC:29857	Q9ULX6
HGNC:49758	
HGNC:379	Q99996
HGNC:368	O43572
HGNC:369	Q9UKA4
HGNC:370	Q02952
HGNC:371	Q12802
HGNC:55975	
HGNC:24061	Q86UN6
HGNC:18783	Q02040
HGNC:38514	
HGNC:28191	Q9BSF0
HGNC:1170	Q9NQ31
HGNC:25744	Q9H9L7
HGNC:50794	
HGNC:50797	
HGNC:21407	Q53H80
HGNC:50796	
HGNC:24108	Q7Z591
HGNC:28398	Q5T1N1
HGNC:380	P14550
HGNC:381	P15121
HGNC:420	
HGNC:425	
HGNC:422	
HGNC:423	
HGNC:20002	
HGNC:33498	
HGNC:33497	
HGNC:33496	
HGNC:382	O60218
HGNC:45062	
HGNC:45063	
HGNC:37281	C9JRZ8
HGNC:384	Q04828
HGNC:385	P52895
HGNC:386	P42330
HGNC:387	P17516
HGNC:44679	
HGNC:44680	
HGNC:44681	
HGNC:23469	Q5T2L2
HGNC:388	P51857
HGNC:11288	
HGNC:23437	Q96JD6
HGNC:389	O43488
HGNC:24062	
HGNC:55059	
HGNC:390	O95154
HGNC:24056	Q8NHP1
HGNC:391	P31749
HGNC:28426	Q96B36
HGNC:392	P31751
HGNC:393	Q9Y243
HGNC:41304	
HGNC:16710	Q9H8T0
HGNC:56419	
HGNC:56420	
HGNC:56421	
HGNC:395	P13716
HGNC:396	P13196
HGNC:397	P22557
HGNC:399	P02768
HGNC:400	Q13740
HGNC:402	P00352
HGNC:15472	O94788
HGNC:27515	
HGNC:409	P47895
HGNC:55416	
HGNC:407	P30837
HGNC:3978	O75891
HGNC:40244	
HGNC:42446	
HGNC:26777	Q3SY69
HGNC:404	P05091
HGNC:405	P30838
HGNC:403	P51648
HGNC:410	P43353
HGNC:411	P48448
HGNC:406	P30038
HGNC:408	P51649
HGNC:7179	Q02252
HGNC:877	P49419
HGNC:878	
HGNC:879	
HGNC:880	
HGNC:881	
HGNC:15471	Q9H2A2
HGNC:412	P49189
HGNC:28114	Q8IZ83
HGNC:9722	P54886
HGNC:414	P04075
HGNC:415	
HGNC:416	
HGNC:417	P05062
HGNC:418	P09972
HGNC:56941	
HGNC:18294	Q9BT22
HGNC:33721	
HGNC:37258	C9J202
HGNC:44372	
HGNC:44374	
HGNC:44375	
HGNC:44376	
HGNC:44377	
HGNC:44378	
HGNC:44379	
HGNC:44380	
HGNC:44381	
HGNC:44382	
HGNC:44383	
HGNC:44384	
HGNC:23159	Q9H553
HGNC:23056	Q92685
HGNC:45159	
HGNC:20266	Q9Y673
HGNC:23157	Q9Y672
HGNC:23161	Q9BVK2
HGNC:15672	Q9H6U8
HGNC:41409	
HGNC:23162	Q5BKT4
HGNC:31088	Q5I7T1
HGNC:32456	Q2TAA5
HGNC:19358	Q9BV10
HGNC:30881	Q9NP73
HGNC:41277	
HGNC:28287	Q96F25
HGNC:427	Q9UM73
HGNC:33775	Q6UXT8
HGNC:27683	Q6UX46
HGNC:17911	Q13686
HGNC:32487	Q6NS38
HGNC:30141	Q96Q83
HGNC:48670	
HGNC:21900	Q9NXW9
HGNC:25996	Q6P6C2
HGNC:28243	Q3KRA9
HGNC:21306	Q9BT30
HGNC:25189	Q96BT7
HGNC:17377	Q8N6M5
HGNC:428	Q8TCU4
HGNC:41305	
HGNC:29586	
HGNC:435	P09917
HGNC:436	P20292
HGNC:429	P18054
HGNC:430	O75342
HGNC:431	
HGNC:432	
HGNC:433	P16050
HGNC:434	O15296
HGNC:13742	
HGNC:39027	
HGNC:13743	Q9BYJ1
HGNC:44238	
HGNC:441	P10696
HGNC:437	P09923
HGNC:20917	Q96QP1
HGNC:20565	Q86TB3
HGNC:58575	
HGNC:17574	Q96L96
HGNC:438	P05186
HGNC:439	P05187
HGNC:14016	
HGNC:443	Q96Q42
HGNC:20605	Q60I27
HGNC:1494	Q15699
HGNC:449	O95076
HGNC:450	Q9H161
HGNC:19071	Q86V81
HGNC:451	Q9UHK6
HGNC:55634	
HGNC:452	Q9NP70
HGNC:453	P02760
HGNC:25990	Q9C0C7
HGNC:457	P17707
HGNC:44898	
HGNC:460	
HGNC:51608	
HGNC:51609	
HGNC:28577	Q96NU7
HGNC:24262	Q9Y303
HGNC:461	Q99217
HGNC:462	Q99218
HGNC:26837	Q5JTC6
HGNC:26360	Q8N7J2
HGNC:26771	Q8N944
HGNC:463	Q9UKV5
HGNC:464	P03971
HGNC:465	Q16671
HGNC:20824	Q86WK6
HGNC:24073	Q86SJ2
HGNC:24075	Q86WK7
HGNC:466	
HGNC:467	Q9Y4X0
HGNC:41306	
HGNC:28658	Q6DCA0
HGNC:39809	
HGNC:14604	Q9BXJ7
HGNC:27281	Q8IY45
HGNC:58137	
HGNC:17810	Q4VCS5
HGNC:17811	Q8IY63
HGNC:17812	Q9Y2J4
HGNC:468	P23109
HGNC:469	Q01433
HGNC:40074	
HGNC:470	Q01432
HGNC:471	P49418
HGNC:473	P48728
HGNC:33188	Q6UX39
HGNC:474	P0DUB6
HGNC:475	P0DTE7
HGNC:476	P0DTE8
HGNC:477	P04746
HGNC:478	P19961
HGNC:479	
HGNC:22231	Q400G9
HGNC:28041	Q86W34
HGNC:26491	
HGNC:38072	
HGNC:54911	
HGNC:19988	Q9H1A4
HGNC:44150	
HGNC:54708	
HGNC:54709	
HGNC:54710	
HGNC:54711	
HGNC:54712	
HGNC:19989	Q9UJX6
HGNC:19990	Q9UJX5
HGNC:15713	Q9UJX4
HGNC:17380	Q9UJX3
HGNC:24077	Q9UM13
HGNC:33976	
HGNC:14452	Q9NYG5
HGNC:24540	Q9BS18
HGNC:56948	
HGNC:24531	P60006
HGNC:54888	
HGNC:54889	
HGNC:26976	Q96DE5
HGNC:482	
HGNC:483	P03950
HGNC:19961	Q9UNK9
HGNC:30534	Q5VTE6
HGNC:484	Q15389
HGNC:485	O15123
HGNC:487	Q9Y264
HGNC:489	O95841
HGNC:490	Q9UKU9
HGNC:491	Q9Y5C1
HGNC:16039	Q9BY76
HGNC:19705	Q86XS5
HGNC:23140	Q8NI99
HGNC:24078	O43827
HGNC:24933	Q6UXH0
HGNC:40024	E9PGG2
HGNC:492	P16157
HGNC:493	Q01484
HGNC:40076	
HGNC:494	Q12955
HGNC:54102	
HGNC:26350	Q7Z5J8
HGNC:28002	Q495B1
HGNC:32525	A6NHY2
HGNC:15803	Q9NU02
HGNC:26766	Q8N957
HGNC:20763	Q9P2R3
HGNC:15492	Q9HCJ1
HGNC:55234	
HGNC:24714	Q8IWZ3
HGNC:55564	
HGNC:33530	
HGNC:22215	Q9P2G1
HGNC:21027	Q8NFD2
HGNC:26812	Q8NAG6
HGNC:29101	Q86XL3
HGNC:20987	Q9P2S6
HGNC:25370	Q8IV38
HGNC:13208	Q9H9E1
HGNC:15819	Q15327
HGNC:495	Q9GZV1
HGNC:17280	Q9Y2G4
HGNC:40804	
HGNC:18588	Q92527
HGNC:20096	Q96BM1
HGNC:20265	Q9NXR5
HGNC:39891	
HGNC:21316	Q6UB99
HGNC:54737	
HGNC:54738	
HGNC:29135	Q6UB98
HGNC:21268	Q8IZ07
HGNC:26363	Q86YJ7
HGNC:25374	Q8N6S4
HGNC:4906	Q9XRX5
HGNC:27880	Q6ZTN6
HGNC:23471	Q6P6B7
HGNC:23575	O75179
HGNC:55556	
HGNC:23643	Q8IVF6
HGNC:23644	A2A2Z9
HGNC:43601	
HGNC:28016	
HGNC:43609	
HGNC:56404	
HGNC:22567	Q9H560
HGNC:23665	Q5TYW2
HGNC:31979	Q5SQ80
HGNC:31981	Q5VUR7
HGNC:31982	Q4UJ75
HGNC:33833	A0PJZ0
HGNC:37714	
HGNC:31980	
HGNC:23666	Q5CZ79
HGNC:42023	
HGNC:39707	
HGNC:42024	
HGNC:43603	Q8NF67
HGNC:43604	
HGNC:43605	
HGNC:43606	
HGNC:43607	
HGNC:43608	
HGNC:23756	
HGNC:42737	
HGNC:32319	
HGNC:52329	
HGNC:28321	Q5VYY1
HGNC:24470	Q86SG2
HGNC:29424	Q8TF21
HGNC:29186	Q9UPS8
HGNC:32955	Q6NSI1
HGNC:39687	
HGNC:39689	
HGNC:39690	
HGNC:25310	Q96NW4
HGNC:58574	
HGNC:29024	O15084
HGNC:27110	Q8N6D5
HGNC:17234	Q9BXX3
HGNC:24165	Q9BXX2
HGNC:35167	A7E2S9
HGNC:19722	
HGNC:16620	
HGNC:27873	
HGNC:26853	Q8N7Z5
HGNC:13788	Q7Z3H0
HGNC:35240	A6NCL7
HGNC:41298	
HGNC:56293	
HGNC:56294	
HGNC:56295	
HGNC:56296	
HGNC:56297	
HGNC:56298	
HGNC:56299	
HGNC:56300	
HGNC:56301	
HGNC:56302	
