"Type","Ancestral taxonomy","Ensembl identifier & gene name","Compare","Location","Target %id","Query %id"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000252210 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","8:68,223,318-68,223,402:-1","75.29 %","56.64 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252202 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","5:179,847,035-179,847,130:-1","51.04 %","43.36 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252198 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","14:58,441,844-58,441,992:1","46.31 %","61.06 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000252171 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","15:45,047,103-45,047,215:-1","87.61 %","87.61 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252147 RNY3P16 RNY3 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:50891]","Region Comparison Alignment","X:119,456,558-119,456,658:1","64.36 %","57.52 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252115 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:116,909,877-116,909,964:-1","64.77 %","50.44 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252106 RNY3P15 RNY3 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:50890]","Region Comparison Alignment","6:34,873,831-34,873,927:1","56.70 %","48.67 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000252098 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:27,255,464-27,255,567:-1","86.54 %","79.65 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000252069 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","X:109,744,643-109,744,749:-1","88.78 %","84.07 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252064 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","20:57,311,854-57,311,958:1","63.81 %","59.29 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252047 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:103,434,994-103,435,092:-1","62.63 %","54.87 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000252042 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","17:75,145,670-75,145,762:1","87.10 %","71.68 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252034 RNY4P37 RNY4 pseudogene 37 [Source:HGNC Symbol;Acc:HGNC:50885]","Region Comparison Alignment","18:46,077,004-46,077,099:-1","54.17 %","46.02 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000252021 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","20:45,004,348-45,004,454:1","47.66 %","45.13 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000251996 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","Y:7,341,531-7,341,642:1","80.36 %","79.65 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000251986 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:41,868,998-41,869,095:-1","62.24 %","53.98 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000251864 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","6:36,672,838-36,672,944:1","44.86 %","42.48 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000251852 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:103,433,461-103,433,561:-1","62.38 %","55.75 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000251837 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:93,027,410-93,027,506:-1","60.82 %","52.21 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000251812 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","17:4,186,326-4,186,424:1","58.59 %","51.33 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000251811 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:43,472,477-43,472,596:1","71.67 %","76.11 %"
"Paralogues","Placentals (Eutheria)","ENSG00000251803 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","10:17,403,508-17,403,620:1","88.50 %","88.50 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000251799 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","4:56,818,218-56,818,314:-1","58.76 %","50.44 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000251792 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","14:50,086,982-50,087,083:1","65.69 %","59.29 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000251779 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","17:76,319,376-76,319,473:1","53.06 %","46.02 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000251728 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:140,094,697-140,094,792:-1","65.62 %","55.75 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000239823 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","17:64,390,158-64,390,263:-1","76.42 %","71.68 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000239180 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","9:70,311,607-70,311,701:-1","58.95 %","49.56 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000239143 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","2:85,332,895-85,332,996:-1","53.92 %","48.67 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000239106 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","1:24,625,411-24,625,513:-1","73.79 %","67.26 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000239069 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:74,895,816-74,895,917:1","62.75 %","56.64 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000239040 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","4:55,412,636-55,412,738:1","57.28 %","52.21 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000238943 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","12:8,592,476-8,592,585:1","86.36 %","84.07 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000238933 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","9:61,642,383-61,642,494:1","83.04 %","82.30 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000238926 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","X:72,284,945-72,285,045:-1","67.33 %","60.18 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000238912 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","3:27,547,757-27,547,858:-1","65.69 %","59.29 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000238845 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","15:44,843,612-44,843,724:1","88.50 %","88.50 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000238813 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","2:166,123,494-166,123,597:-1","90.38 %","83.19 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000238797 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","4:39,441,665-39,441,764:1","59.00 %","52.21 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000238783 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","15:30,355,436-30,355,540:1","60.00 %","55.75 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000238749 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","9:61,883,640-61,883,751:-1","83.04 %","82.30 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000238723 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","17:46,215,070-46,215,171:-1","68.63 %","61.95 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000238713 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","4:145,149,537-145,149,649:-1","90.27 %","90.27 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000238711 RNY4P25 RNY4 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:42475]","Region Comparison Alignment","1:151,439,000-151,439,095:1","54.17 %","46.02 %"
"Ancient paralogues","Placentals (Eutheria)","ENSG00000238585 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","4:55,501,595-55,501,708:-1","83.33 %","84.07 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000238560 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","7:76,523,605-76,523,706:1","63.73 %","57.52 %"
"Ancient paralogues","Jawed vertebrates (Gnathostomata)","ENSG00000238516 Y_RNA Y RNA [Source: RFAM (RF00019)]","Region Comparison Alignment","17:28,834,722-28,834,822:1","63.37 %","56.64 %"
