"id","abbreviation","name","external_note","pubmed_ids","desc_comment","desc_label","desc_source","desc_go","typical_gene"
"75","ZDBF","Zinc fingers DBF-type","","32521228,35614055","DBF4 contains an N-terminal BRCT domain and a C-terminal conserved region that could potentially coordinate one zinc atom, the DBF4-type zinc finger... which is important for the interaction with Cdc7 (<a href='https://pubmed.ncbi.nlm.nih.gov/8943332/'>PMID: 8943332</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/8066465/'>PMID: 8066465</a>).","DBF-type zinc finger","InterPro|https://www.ebi.ac.uk/interpro/entry/profile/PS51265/","NULL","ZDBF2"
"76","ZDHHC","Zinc fingers DHHC-type","","10395086,28485685,33878949","NULL","NULL","NULL","NULL","ZDHHC1"
"81","ZFYVE","Zinc fingers FYVE-type","","","The FYVE zinc finger is named after four proteins that it has been found in: Fab1, YOTB/ZK632.12, Vac1, and EEA1. The FYVE finger has been shown to bind two zinc ions (<a href='https://pubmed.ncbi.nlm.nih.gov/8798641/'>PMID: 8798641</a>). The FYVE finger has eight potential zinc coordinating cysteine positions. Many members of this family also include two histidines in a motif R+HHC+XCG, where + represents a charged residue and X any residue. FYVE-type domains are divided into two known classes: FYVE domains that specifically bind to phosphatidylinositol 3-phosphate in lipid bilayers and FYVE-related domains of undetermined function (<a href='https://pubmed.ncbi.nlm.nih.gov/15576038/'>PMID: 15576038</a>).","FYVE zinc finger","InterPro|https://www.ebi.ac.uk/interpro/entry/InterPro/IPR000306/","NULL","ZFYVE1"
"82","GATAD","GATA zinc finger domain containing","","NULL","In molecular biology, GATA zinc fingers are zinc-containing domains found in a number of transcription factors (including erythroid-specific transcription factor and nitrogen regulatory proteins). Some members of this class of zinc fingers specifically bind the DNA sequence (A/T)GATA(A/G) in the regulatory regions of genes., giving rise to the name of the domain. In these domains, a single zinc ion is coordinated by 4 cysteine residues. NMR studies have shown the core of the Znf to comprise 2 irregular anti-parallel beta-sheets and an alpha-helix, followed by a long loop to the C-terminal end of the finger. The N-terminal part, which includes the helix, is similar in structure, but not sequence, to the N-terminal zinc module of the glucocorticoid receptor DNA-binding domain. The helix and the loop connecting the 2 beta-sheets interact with the major groove of the DNA, while the C-terminal tail wraps around into the minor groove. Interactions between the Znf and DNA are mainly hydrophobic, explaining the preponderance of thymines in the binding site; a large number of interactions with the phosphate backbone have also been observed. Two GATA zinc fingers are found in GATA-family transcription factors. However, there are several proteins that only contain a single copy of the domain.  It is also worth noting that many GATA-type Znfs (such as those found in the proteins GATAD2B and MTA1) have not been experimentally demonstrated to be DNA-binding domains. Furthermore, several GATA-type Znfs have been demonstrated to act as protein-recognition domains. For example, the N-terminal Znf of GATA1 binds specifically to a zinc finger from the transcriptional coregulator FOG1 (ZFPM1).","GATA zinc finger","Wikipedia|https://en.wikipedia.org/wiki/GATA zinc finger","NULL","GATAD1"
"83","ZNHIT","Zinc fingers HIT-type","","NULL","This group contains genes that encode proteins with a HIT-type zinc finger, which contains 7 conserved cysteines and one histidine that can potentially coordinate two zinc atoms. It has been named after the first protein that originally defined the domain: the yeast HIT1 protein (<a href='https://pubmed.ncbi.nlm.nih.gov/8943332/'>PMID: 8943332</a> ). The HIT-type zinc finger displays some sequence similarities to the MYND-type zinc finger. The function of this domain is unknown but it is mainly found in nuclear proteins involved in gene regulation and chromatin remodeling.","Zinc finger, HIT-type","InterPro|https://www.ebi.ac.uk/interpro/entry/InterPro/IPR007529/","NULL","ZNHIT1"
"84","ZMAT","Zinc fingers matrin-type","","","Genes encoding proteins that contain U1-type zinc finger domains, a family of C2H2-type zinc fingers present in matrin, U1 small nuclear ribonucleoprotein C and other RNA-binding proteins (<a href='https://pubmed.ncbi.nlm.nih.gov/15312772/'>PMID: 15312772</a>), (<a href='https://pubmed.ncbi.nlm.nih.gov/9826776/'>PMID: 9826776</a>).","Matrin/U1-C-like zinc finger","InterPro|https://www.ebi.ac.uk/interpro/entry/InterPro/IPR003604/","NULL","ZMAT5"
"85","ZMIZ","Zinc fingers MIZ-type","","NULL","In molecular biology the MIZ-type zinc finger domain is a zinc finger-containing protein with homology to the yeast protein, Nfi-1. Miz1 is a sequence specific DNA binding protein that can function as a positive-acting transcription factor. Miz1 binds to the homeobox protein Msx2, enhancing the specific DNA-binding ability of Msx2. Other proteins containing this domain include the human pias family (protein inhibitor of activated STAT protein). The name MIZ is derived from M sx- i nteracting- z inc finger. The crystal structure of S. cerevisiae sumo e3 ligase siz1 containing this domain has been solved.","MIZ zinc finger","Wikipedia|https://en.wikipedia.org/wiki/MIZ zinc finger","NULL","ZMIZ1"
"86","ZMYM","Zinc fingers MYM-type","","","MYM-type zinc fingers were identified in MYM family proteins <a href='https://pubmed.ncbi.nlm.nih.gov/9716603/'>PMID: 9716603</a>. Human protein ZMYM3 is involved in a chromosomal translocation and may be responsible for X-linked retardation in XQ13.1 (<a href='https://pubmed.ncbi.nlm.nih.gov/8817323/'>PMID: 8817323</a>). ZMYM2 is also involved in disease. In myeloproliferative disorders it is fused to FGF receptor 1 (<a href='https://pubmed.ncbi.nlm.nih.gov/9576949/'>PMID: 9576949</a>); in atypical myeloproliferative disorders it is rearranged (<a href='https://pubmed.ncbi.nlm.nih.gov/9694738/'>PMID: 9694738</a>.) Members of the family generally are involved in development.","Zinc finger, MYM-type","InterPro|https://www.ebi.ac.uk/interpro/entry/InterPro/IPR010507/","NULL","ZMYM1"
"87","ZMYND","Zinc fingers MYND-type","","","In molecular biology the MYND-type zinc finger domain is a conserved protein domain. The MYND domain (myeloid, Nervy, and DEAF-1) is present in a large group of proteins that includes RP-8 (PDCD2), Nervy, and predicted proteins from Drosophila, mammals, Caenorhabditis elegans, yeast, and plants. The MYND domain consists of a cluster of cysteine and histidine residues, arranged with an invariant spacing to form a potential zinc-binding motif. Mutating conserved cysteine residues in the DEAF-1 MYND domain does not abolish DNA binding, which suggests that the MYND domain might be involved in protein-protein interactions.","MYND zinc finger","Wikipedia|https://en.wikipedia.org/wiki/MYND zinc finger","NULL","DEAF1"
"88","PHF","PHD finger proteins","","NULL","The PHD finger was discovered in 1993 as a Cys 4 -His-Cys 3 motif in the plant homeodomain (hence PHD) proteins HAT3.1 in Arabidopsis thaliana and maize ZmHox1a. The PHD finger motif resembles the metal binding RING domain (Cys 3 -His-Cys 4 ) and FYVE domain. It occurs as a single finger, but often in clusters of two or three, and it also occurs together with other domains, such as the chromodomain and the bromodomain.","PHD finger","Wikipedia|https://en.wikipedia.org/wiki/PHD finger","NULL","PHF1"
"89","ZRANB","Zinc fingers RANBP2-type","","21256132","This group represents genes encoding proteins with the zinc finger domain found in RanBP2 proteins. Ran is an evolutionary conserved member of the Ras superfamily that regulates all receptor-mediated transport between the nucleus and the cytoplasm. Ran binding protein 2 (RanBP2) is a 358kDa nucleoporin located on the cytoplasmic side of the nuclear pore complex which plays a role in nuclear protein import (<a href='https://pubmed.ncbi.nlm.nih.gov/12019565/'>PMID: 12019565</a>). RanBP2 contains multiple zinc fingers which mediate binding to RanGDP (<a href='https://pubmed.ncbi.nlm.nih.gov/10318915/'>PMID: 10318915</a>).","Zinc fingers, RanBP2-type","InterPro|https://www.ebi.ac.uk/interpro/entry/InterPro/IPR001876/","NULL","ZRANB1"
"90","ZSWIM","Zinc fingers SWIM-type","","12151216,37161653","This entry represents the SWIM (SWI2/SNF2 and MuDR) zinc-binding domain, which is found in a variety of prokaryotic and eukaryotic proteins, such as mitogen-activated protein kinase kinase kinase 1 (or MEKK1). It is also found in the related protein MEX (MEKK1-related protein X), a testis-expressed protein that acts as an E3 ubiquitin ligase through the action of E2 ubiquitin-conjugating enzymes in the proteasome degradation pathway; the SWIM domain is critical for MEX ubiquitination (<a href='https://pubmed.ncbi.nlm.nih.gov/16522193/'>PMID: 16522193</a>). SWIM domains are also found in the homologous recombination protein Sws1 (<a href='https://pubmed.ncbi.nlm.nih.gov/16710300/'>PMID: 16710300</a>), as well as in several hypothetical proteins.","Zinc fingers, SWIM-type","InterPro|https://www.ebi.ac.uk/interpro/entry/InterPro/IPR007527/","NULL","ZSWIM1"
"91","ZZZ","Zinc fingers ZZ-type","","NULL","In molecular biology the ZZ-type zinc finger domain is a type of protein domain that was named because of its ability to bind two z inc ions. These domains contain 4-6 Cys residues that participate in zinc binding (plus additional Ser/His residues), including a Cys-X2-Cys motif found in other zinc finger domains. These zinc fingers are thought to be involved in protein-protein interactions. The structure of the ZZ domain shows that it belongs to the family of cross-brace zinc finger motifs that include the PHD, RING, and FYVE domains.","ZZ zinc finger","Wikipedia|https://en.wikipedia.org/wiki/ZZ zinc finger","NULL","ZZZ3"
"94","","Zinc fingers PARP-type","","NULL","The PARP-type zinc finger domains seem to bind specifically to single-stranded DNA and to act as a DNA nick sensor. DNA ligase III (<a href='https://pubmed.ncbi.nlm.nih.gov/7760816/'>PMID: 7760816</a>) contains, in its N-terminal section, a single copy of a zinc finger highly similar to those of PARP.","Zinc finger, PARP-type","InterPro|https://www.ebi.ac.uk/interpro/entry/InterPro/IPR001510/","NULL","PARP1"
"96","ZCW","Zinc fingers CW-type","","14607086","These genes encode proteins with a CW-type zinc finger motif, named for its conserved cysteine and tryptophan residues. It is predicted to be a highly specialised mononuclear four-cysteine (C4) zinc finger that plays a role in DNA binding and/or promoting protein-protein interactions in complicated eukaryotic processes including chromatin methylation status and early embryonic development. The domain is found exclusively in vertebrates, vertebrate-infecting parasites and higher plants.","CW-type zinc finger","InterPro|https://www.ebi.ac.uk/interpro/entry/InterPro/IPR011124/","NULL","ZCWPW1"
"100","UBA","Ubiquitin like modifier activating enzymes","","","Ubiquitin-activating enzymes, also known as E1 enzymes, catalyze the first step in the ubiquitination reaction, which (among other things) can target a protein for degradation via a proteasome. This covalent attachment of ubiquitin or ubiquitin-like proteins to targeted proteins is a major mechanism for regulating protein function in eukaryotic organisms.","Ubiquitin-activating enzymes","Wikipedia|http://en.wikipedia.org/wiki/Ubiquitin-activating_enzyme","NULL","UBA1"
"102","UBE2","Ubiquitin conjugating enzymes E2","","19940261","Ubiquitin-conjugating enzymes, also known as E2 enzymes and more rarely as ubiquitin-carrier enzymes, perform the second step in the ubiquitination reaction that targets a protein for degradation via the proteasome.The ubiquitination process covalently attaches ubiquitin, a short protein of 76 amino acids, to a lysine residue on the target protein.","Ubiquitin-conjugating enzymes","Wikipedia|http://en.wikipedia.org/wiki/Ubiquitin-conjugating_enzyme","NULL","UBE2A"
"104","","Aminopeptidases","Note that XPNPEP3 and NPEPL1 are putative aminopeptidases based on sequence.","NULL","Aminopeptidases catalyze the cleavage of amino acids from the amino terminus of protein (N-terminus) or peptide substrates. They are widely distributed throughout the animal and plant kingdoms and are found in many subcellular organelles, in cytoplasm, and as membrane components. Aminopeptidases are used in essential cellular functions. Many, but not all, of these peptidases are zinc metalloenzymes.","Aminopeptidase","Wikipedia|https://en.wikipedia.org/wiki/Aminopeptidase","NULL","XPNPEP1"
"105","YIPF","Yip1 domain containing","","27999994","NULL","NULL","NULL","NULL","YIPF1"
"106","YBX","Y-box binding proteins","","32290447","NULL","NULL","NULL","NULL","YBX1"
"130","","Aminoacyl tRNA synthetases","","18767960","An aminoacyl tRNA synthetase ( aaRS ) is an enzyme that catalyzes the esterification of a specific amino acid or its precursor to one of all its compatible cognate tRNAs to form an aminoacyl-tRNA. In other words, aminoacyl tRNA synthetase simply attaches the appropriate, or 'cognate,' amino acid onto the corresponding tRNA. This is sometimes called 'charging' or 'loading' the tRNA with the amino acid. Once the tRNA is charged, a ribosome can transfer the amino acid from the tRNA onto a growing peptide, according to the genetic code.","Aminoacyl tRNA synthetase","Wikipedia|https://en.wikipedia.org/wiki/Aminoacyl tRNA synthetase","NULL","NULL"
"131","","Aminoacyl tRNA synthetases, Class I","NULL","NULL","NULL","NULL","NULL","NULL","CARS"
"132","","Aminoacyl tRNA synthetases, Class II","NULL","NULL","NULL","NULL","NULL","NULL","AARS"
"135","ZGRF","Zinc fingers GRF-type","","32878989","These genes encode proteins that contain Glycine-arginine-phenylalanine (GRF)-type zinc fingers (GRF-ZFs), 45- to 50-residue domains with a conserved GRxF motif. GRF-ZFs are widely distributed throughout eukaryotes in proteins that are involved in DNA damage response (DDR), transcriptional regulation, and RNA metabolism. GRF-ZFs are nucleic acid interaction modules and in several cases these motifs have been shown to enhance enzymatic activity.   This domain comprises a three-stranded anti-parallel β-sheet that folds into a crescent-shaped claw-like structure (5U6Z). A single bound Zn(2+) ion plays a central structural role in this domain, and is coordinated with tetrahedral geometry by a 'CHCC' sequence motif.","Zinc finger, GRF-type","InterPro|https://www.ebi.ac.uk/interpro/entry/InterPro/IPR010666/","NULL","APEX2"
"136","CXXC","Zinc fingers CXXC-type","","23697932","This domain contains eight conserved cysteine residues that bind to two zinc ions. The CXXC domain is found in a variety of chromatin-associated proteins. This domain binds to non-methylated CpG dinucleotides. The domain is characterised by two CGXCXXC repeats. The RecQ helicase has a single repeat that also binds to zinc, but this has not been included in this family. The DNA binding interface has been identified by NMR (<a href='https://pubmed.ncbi.nlm.nih.gov/9207790/'>PMID: 9207790</a>).","Zinc fingers, CXXC-type","InterPro|https://www.ebi.ac.uk/interpro/entry/InterPro/IPR002857/","NULL","CXXC4"
"137","Z3CXXC","Zinc fingers 3CxxC-type","","","These genes encode proteins containing a domain with several pairs of CxxC motifs, referred to as 3CxxC-type zinc finger which is found in 3CxxC-type zinc finger proteins, such as zygote arrest protein 1 (ZAR1) and its homologues, ZAR1-like proteins, and receptor-transporting proteins 1-5 (RTP1-5). Only one pair of cysteines is associated with a highly conserved histidine residue.","3CxxC-type zinc fingers","InterPro|https://www.ebi.ac.uk/interpro/entry/InterPro/IPR027377/","NULL","RTP1"
"139","","G protein-coupled receptors","","","Receptors which transduce extracellular signals across the cell membrane. At the external side they receive a ligand (a photon in the case of opsins), and at the cytosolic side they activate a guanine nucleotide-binding (G) protein. These receptors are hydrophobic proteins that cross the membrane seven times.","G-protein coupled receptor","UniProt|http://purl.uniprot.org/keywords/297","http://purl.uniprot.org/go/0004930","NULL"
"140","","G protein-coupled receptors, Class A rhodopsin-like","","NULL","Rhodopsin-like receptors are a family of proteins that comprise the largest group of G protein-coupled receptors.","Class A Rhodopsin-like receptors","Wikipedia|https://en.wikipedia.org/wiki/Rhodopsin-like receptors","NULL","NULL"
"141","OR","Olfactory receptors","","NULL","Olfactory receptors expressed in the cell membranes of olfactory receptor neurons are responsible for the detection of odor molecules. Activated olfactory receptors are the initial player in a signal transduction cascade which ultimately produces a nerve impulse which is transmitted to the brain. These receptors are members of the class A rhodopsin-like family of G protein-coupled receptors (GPCRs). The olfactory receptors form a multigene family consisting of around 800 genes in humans and 1400 genes in mice.","Olfactory receptor","Wikipedia|https://en.wikipedia.org/wiki/Olfactory receptor","NULL","OR1A1"
"147","OR1","Olfactory receptors, family 1","","NULL","NULL","NULL","NULL","NULL","NULL"
"149","OR2","Olfactory receptors, family 2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"150","OR3","Olfactory receptors, family 3","","NULL","NULL","NULL","NULL","NULL","NULL"
"151","OR4","Olfactory receptors, family 4","","","NULL","NULL","NULL","NULL","NULL"
"152","OR5","Olfactory receptors, family 5","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"153","OR6","Olfactory receptors, family 6","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"154","OR7","Olfactory receptors, family 7","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"155","OR8","Olfactory receptors, family 8","","","NULL","NULL","NULL","NULL","NULL"
