,HGNC_ID,gene_symbol,alias_symbol,NCBI_ID,ENSG_ID,collision,source
11113,24219,POLR1G,CAST,10849,ENSG00000117877,CAST,HGNC
17452,31922,ERC2,CAST,26059,ENSG00000187672,CAST,HGNC
7841,19331,MMAB,cblB,326625,ENSG00000139428,CBLB,HGNC
11379,24525,MMACHC,cblC,25974,ENSG00000132763,CBLC,HGNC
4678,1565,ACKR2,CCR10,1238,ENSG00000144648,CCR10,HGNC
3382,14099,CNOT6,CCR4,57472,ENSG00000113300,CCR4,HGNC
4678,1565,ACKR2,CCR9,1238,ENSG00000144648,CCR9,HGNC
11631,24824,FZR1,CDH1,51343,ENSG00000105325,CDH1,HGNC
43109,8711,PCDHGB4,CDH20,8641,,CDH20,HGNC
6372,1760,CDH20,Cdh7,28316,ENSG00000101542,CDH7,HGNC
6359,1758,CDH19,CDH7,28513,ENSG00000071991,CDH7,HGNC
19036,33710,CDPF1,CDKN1A,150383,ENSG00000205643,CDKN1A,HGNC
5551,16627,CHEK2,CDS1,11200,ENSG00000183765,CDS1,HGNC
2740,1320,C3CER1,CER1,23739,,CER1,HGNC
7246,1863,CES1,CES2,1066,ENSG00000198848,CES2,HGNC
2439,12790,GET1,CHD5,7485,ENSG00000182093,CHD5,HGNC
7612,19057,CHD6,CHD5,84181,ENSG00000124177,CHD5,HGNC
13784,2736,DDX11,CHL1,1663,ENSG00000013573,CHL1,HGNC
3701,14525,CHORDC1,CHP1,26973,ENSG00000110172,CHP1,HGNC
842,10979,SLC25A1,CIC,6576,ENSG00000100075,CIC,HGNC
41271,6349,KLF5,CKLF,688,ENSG00000102554,CKLF,HGNC
6276,17412,CLCF1,CLC,23529,ENSG00000175505,CLC,HGNC
11467,24627,DCBLD2,CLCP1,131566,ENSG00000057019,CLCP1,HGNC
8879,2065,CLIC6,CLIC5,54102,ENSG00000159212,CLIC5,HGNC
2158,12462,UBASH3A,CLIP4,53347,ENSG00000160185,CLIP4,HGNC
42504,7941,NPPC,CNP,4880,ENSG00000163273,CNP,HGNC
43063,8670,PCDHA4,CNR1,56144,ENSG00000204967,CNR1,HGNC
43055,8662,PCDHA@,CNR1,56117,,CNR1,HGNC
43065,8672,PCDHA6,CNR2,56142,ENSG00000081842,CNR2,HGNC
19028,33701,CARD16,COP1,114769,ENSG00000204397,COP1,HGNC
4740,15740,CPA4,CPA3,51200,ENSG00000128510,CPA3,HGNC
12764,2610,CYP2A6,CPA6,1548,ENSG00000255974,CPA6,HGNC
6332,17513,HOMER2,CPD,9455,ENSG00000103942,CPD,HGNC
10159,2314,CPNE1,CPN1,8904,ENSG00000214078,CPN1,HGNC
12598,2591,CYP11B1,CPN1,1584,ENSG00000160882,CPN1,HGNC
10170,2315,CPNE2,CPN2,221184,ENSG00000140848,CPN2,HGNC
12606,2592,CYP11B2,CPN2,1585,ENSG00000179142,CPN2,HGNC
12675,2600,CYP21A2,CPS1,1589,ENSG00000231852,CPS1,HGNC
13131,26518,PM20D1,Cps1,148811,ENSG00000162877,CPS1,HGNC
7435,18854,CREB3L4,CREB3,148327,ENSG00000143578,CREB3,HGNC
11398,24546,CNRIP1,CRIP1,25927,ENSG00000119865,CRIP1,HGNC
43596,9264,PPIAP10,CRP,140913,ENSG00000224530,CRP,HGNC
16510,30747,COPS2,CSN2,9318,ENSG00000166200,CSN2,HGNC
9874,2239,COPS3,CSN3,8533,ENSG00000141030,CSN3,HGNC
11436,2459,CSNK2A2,CSNK2A1,1459,ENSG00000070770,CSNK2A1,HGNC
11626,2482,CSTB,CST6,1476,ENSG00000160213,CST6,HGNC
12355,25632,CPPED1,CSTP1,55313,ENSG00000103381,CSTP1,HGNC
19160,33846,ARHGEF35,CTAGE4,445328,ENSG00000213214,CTAGE4,HGNC
6054,17149,VSIG2,CTH,23584,ENSG00000019102,CTH,HGNC
42555,80,AOC1,DAO,26,ENSG00000002726,DAO,HGNC
15726,2981,DNPEP,DAP,23549,ENSG00000123992,DAP,HGNC
36702,5329,IAPP,DAP,3375,ENSG00000121351,DAP,HGNC
16188,30368,DLGAP3,DAP3,58512,ENSG00000116544,DAP3,HGNC
1368,1158,TSPO,DBI,706,ENSG00000100300,DBI,HGNC
26401,4187,GC,DBP,2638,ENSG00000145321,DBP,HGNC
35546,5213,HSD17B4,DBP,3295,ENSG00000133835,DBP,HGNC
7548,18985,DCXR,DCR,51181,ENSG00000169738,DCR,HGNC
13960,2765,DEFA6,DEF6,1671,ENSG00000164822,DEF6,HGNC
17736,32231,DEFA1A3,DEFA1,0,,DEFA1,HGNC
17736,32231,DEFA1A3,DEFA3,0,,DEFA3,HGNC
17736,32231,DEFA1A3,DEFT1P,0,,DEFT1P,HGNC
13372,2680,DIDO1,DIO1,11083,ENSG00000101191,DIO1,HGNC
14972,2899,DLEC1,DLC1,9940,ENSG00000008226,DLC1,HGNC
4541,15476,DYNLL1,DLC1,8655,ENSG00000088986,DLC1,HGNC
5773,16864,DLGAP5,DLG1,9787,ENSG00000126787,DLG1,HGNC
4738,15736,HID1,DMC1,283987,ENSG00000167861,DMC1,HGNC
3760,14603,DMTF1,DMP1,9988,ENSG00000135164,DMP1,HGNC
15458,2953,DNAH9,DNAL1,1770,ENSG00000007174,DNAL1,HGNC
41989,726,ART4,DOK1,420,ENSG00000111339,DOK1,HGNC
9357,21295,EPS8L1,DRC3,54869,ENSG00000131037,DRC3,HGNC
42284,7679,NDRG1,DRG1,10397,ENSG00000104419,DRG1,HGNC
15988,3014,DPYSL2,DRP2,1808,ENSG00000092964,DRP2,HGNC
16190,3037,DSC3,DSC1,1825,ENSG00000134762,DSC1,HGNC
16190,3037,DSC3,DSC2,1825,ENSG00000134762,DSC2,HGNC
16443,3067,DUSP12,DUSP1,11266,ENSG00000081721,DUSP1,HGNC
13522,26965,PTPMT1,DUSP23,114971,ENSG00000110536,DUSP23,HGNC
18643,33237,DUSP28,DUSP26,285193,ENSG00000188542,DUSP26,HGNC
6950,18291,DMAP1,EAF2,55929,ENSG00000178028,EAF2,HGNC
27385,4298,GLB1,EBP,2720,ENSG00000170266,EBP,HGNC
16233,30418,SH3D19,EBP,152503,ENSG00000109686,EBP,HGNC
716,10845,SEM1,ECD,7979,ENSG00000127922,ECD,HGNC
18080,3265,EIF2S1,EIF2A,1965,ENSG00000134001,EIF2A,HGNC
14727,28691,ELOF1,ELF1,84337,ENSG00000130165,ELF1,HGNC
41179,6253,KCNH4,elk1,23415,ENSG00000089558,ELK1,HGNC
7446,18864,KCNH8,elk3,131096,ENSG00000183960,ELK3,HGNC
25032,40032,ERLN,ELN,100130933,ENSG00000259120,ELN,HGNC
2459,12825,XPO1,emb,7514,ENSG00000082898,EMB,HGNC
19498,3423,EPX,EPO,8288,ENSG00000121053,EPO,HGNC
1566,11820,TIMP1,EPO,7076,ENSG00000102265,EPO,HGNC
20475,3527,EZH2,EZH1,2146,ENSG00000106462,EZH1,HGNC
2547,12948,ZNF160,F11,90338,ENSG00000170949,F11,HGNC
9645,2171,CNTN1,F3,1272,ENSG00000018236,F3,HGNC
9284,21197,FA2H,FAAH,79152,ENSG00000103089,FAAH,HGNC
16763,31059,FABP5P1,FABP5,387934,ENSG00000236972,FABP5,HGNC
20943,3574,FADS1,FADS6,3992,ENSG00000149485,FADS6,HGNC
21030,3582,FANCA,FAH,2175,ENSG00000187741,FAH,HGNC
21161,3594,FASN,FAS,2194,ENSG00000169710,FAS,HGNC
41237,6316,KHSRP,FBP2,8570,ENSG00000088247,FBP2,HGNC
3000,13584,FBXO5,Fbxo31,26271,ENSG00000112029,FBXO31,HGNC
13051,26431,FCRLB,FCRL2,127943,ENSG00000162746,FCRL2,HGNC
7132,18504,FCRLA,FCRLb,84824,ENSG00000132185,FCRLB,HGNC
5842,16933,FEM1C,FEM1A,56929,ENSG00000145780,FEM1A,HGNC
3196,13861,LZTS1,FEZ1,11178,ENSG00000061337,FEZ1,HGNC
21982,3670,FGF13,FGF2,2258,ENSG00000129682,FGF2,HGNC
32673,4883,CFH,FHL1,3075,ENSG00000000971,FHL1,HGNC
6842,18169,FKBP10,FKBP6,60681,ENSG00000141756,FKBP6,HGNC
22410,3712,FKBP1B,FKBP9,2281,ENSG00000119782,FKBP9,HGNC
22181,3688,FGFR1,FLG,2260,ENSG00000077782,FLG,HGNC
22747,3750,FLII,Fli1,2314,ENSG00000177731,FLI1,HGNC
22324,3701,FHIT,FRA3B,2272,ENSG00000189283,FRA3B,HGNC
22978,3775,FMR1,FRAXA,2332,ENSG00000102081,FRAXA,HGNC
22986,3776,AFF2,FRAXE,2334,ENSG00000155966,FRAXE,HGNC
25339,4047,FZD9,FZD3,8326,ENSG00000188763,FZD3,HGNC
4782,15791,PIGU,GAB1,128869,ENSG00000101464,GAB1,HGNC
17477,31959,GAGE2D,GAGE8,729408,,GAGE8,HGNC
17479,31960,GAGE2E,GAGE8,26749,ENSG00000275113,GAGE8,HGNC
11645,24840,GALP,GAL,85569,ENSG00000197487,GAL,HGNC
11052,24144,GAL3ST3,GAL3ST2,89792,ENSG00000175229,GAL3ST2,HGNC
16288,30488,GALNT18,GALNT15,374378,ENSG00000110328,GALNT15,HGNC
19158,33844,GALNTL6,GALNT17,442117,ENSG00000174473,GALNT17,HGNC
9503,21531,GALNT15,GALNT7,117248,ENSG00000131386,GALNT7,HGNC
9495,2151,CNGB1,GAR1,1258,ENSG00000070729,GAR1,HGNC
41701,6864,MAP4K2,GCK,5871,ENSG00000168067,GCK,HGNC
41704,6867,MAP4K5,GCKR,11183,ENSG00000012983,GCKR,HGNC
27873,43444,MYZAP,GCOM1,100820829,ENSG00000263155,GCOM1,HGNC
849,10986,SLC25A16,GDA,8034,ENSG00000122912,GDA,HGNC
42983,8573,PAEP,GdA,5047,ENSG00000122133,GDA,HGNC
6319,17493,GMNN,Gem,51053,ENSG00000112312,GEM,HGNC
3536,14324,C1QTNF1,GIP,114897,ENSG00000173918,GIP,HGNC
28255,4385,GNAI2,GIP,2771,ENSG00000114353,GIP,HGNC
25820,4119,GALK2,GK2,2585,ENSG00000156958,GK2,HGNC
6746,18069,NAT8,GLA,9027,ENSG00000144035,GLA,HGNC
15498,29570,GLS2,GLS,27165,ENSG00000135423,GLS,HGNC
29641,4575,GRID1,GluD1,2894,ENSG00000182771,GLUD1,HGNC
29652,4576,GRID2,GluD2,2895,ENSG00000152208,GLUD2,HGNC
11584,24766,GOLT1A,GOT1,127845,ENSG00000174567,GOT1,HGNC
8498,20175,GOLT1B,GOT1,51026,ENSG00000111711,GOT1,HGNC
28567,4417,GNPDA1,GPI,10007,ENSG00000113552,GPI,HGNC
15844,2995,DPAGT1,GPT,1798,ENSG00000172269,GPT,HGNC
29530,4559,GPX7,GPX6,2882,ENSG00000116157,GPX6,HGNC
11639,24835,GPRIN1,GRIN1,114787,ENSG00000169258,GRIN1,HGNC
4779,15788,LGALS12,GRIP1,85329,ENSG00000133317,GRIP1,HGNC
42275,7669,NCOA2,GRIP1,10499,ENSG00000140396,GRIP1,HGNC
11789,25012,LGALSL,GRP,29094,ENSG00000119862,GRP,HGNC
11969,25205,UCMA,GRP,221044,ENSG00000165623,GRP,HGNC
15139,29169,TRAPPC8,GSG1,22878,ENSG00000153339,GSG1,HGNC
40823,587,APEX1,HAP1,328,ENSG00000100823,HAP1,HGNC
13359,26785,HNF1A-AS1,HAS1,283460,ENSG00000241388,HAS1,HGNC
13824,2741,DDX18,Has1,8886,ENSG00000088205,HAS1,HGNC
15494,29567,ACSBG1,hBG1,23205,ENSG00000103740,HBG1,HGNC
41555,6697,LRP5,HBM,4041,ENSG00000162337,HBM,HGNC
11291,24416,CYCSP5,HCP5,360158,ENSG00000227735,HCP5,HGNC
11126,24235,CD200R1,HCRTR2,131450,ENSG00000163606,HCRTR2,HGNC
888,11021,SLC35A1,hCST,10559,ENSG00000164414,HCST,HGNC
9167,21041,HECA,HDC,51696,ENSG00000112406,HDC,HGNC
2390,1273,GATD3,HES1,8209,ENSG00000160221,HES1,HGNC
40973,6018,IL6,HGF,3569,ENSG00000136244,HGF,HGNC
1040,11187,SOS1,HGF,6654,ENSG00000115904,HGF,HGNC
41152,6222,KCNA4,HK1,3739,ENSG00000182255,HK1,HGNC
8233,19884,HOOK1,HK1,51361,ENSG00000134709,HK1,HGNC
41153,6224,KCNA5,HK2,3741,ENSG00000130037,HK2,HGNC
41239,6318,KIF2A,HK2,3796,ENSG00000068796,HK2,HGNC
8234,19885,HOOK2,HK2,29911,ENSG00000095066,HK2,HGNC
10550,23576,HOOK3,HK3,84376,ENSG00000168172,HK3,HGNC
32701,4886,HFE,HLA-H,3077,ENSG00000010704,HLA-H,HGNC
19065,3374,EPAS1,HLF,2034,ENSG00000116016,HLF,HGNC
14951,2897,DLC1,HP,10395,ENSG00000164741,HP,HGNC
3206,1388,CACNA1A,HPCA,773,ENSG00000141837,HPCA,HGNC
2710,13158,ZNF83,HPF1,55769,ENSG00000167766,HPF1,HGNC
42065,7438,MT-HPR,HPR,0,,HPR,HGNC
42551,7997,NRG1,HRG,3084,ENSG00000157168,HRG,HGNC
13871,2749,DHX8,HRH1,1659,ENSG00000067596,HRH1,HGNC
13800,2738,DHX15,HRH2,1665,ENSG00000109606,HRH2,HGNC
14226,28120,HSD17B7P2,HSD17B7,158160,ENSG00000099251,HSD17B7,HGNC
3960,1482,CAPN5,HTRA3,726,ENSG00000149260,HTRA3,HGNC
37523,5417,IFNA1,IFNA13,3439,ENSG00000197919,IFNA13,HGNC
41217,6293,KCNN4,IK,3783,ENSG00000104783,IK,HGNC
5858,16948,MYDGF,IL25,56005,ENSG00000074842,IL25,HGNC
40938,5984,IL17D,IL27,53342,ENSG00000172458,IL27,HGNC
14870,28868,IGF2BP3,IMP3,10643,ENSG00000136231,IMP3,HGNC
16062,30227,SPPL2A,IMP3,84888,ENSG00000138600,IMP3,HGNC
16404,30627,SPPL2B,IMP4,56928,ENSG00000005206,IMP4,HGNC
7922,19426,IPO4,Imp4,79711,ENSG00000196497,IMP4,HGNC
11945,25184,SPATA17,IQCH,128153,ENSG00000162814,IQCH,HGNC
8325,19983,RAB43,ISY1,339122,ENSG00000172780,ISY1,HGNC
3704,14530,SP6,KLF14,80320,ENSG00000189120,KLF14,HGNC
4677,15646,KLHL7,KLHL6,55975,ENSG00000122550,KLHL6,HGNC
41279,6357,KLK1,Klk6,3816,ENSG00000167748,KLK6,HGNC
41290,6367,KLK6,Klk7,5653,ENSG00000167755,KLK7,HGNC
41320,6399,KPNA6,KPNA7,23633,ENSG00000025800,KPNA7,HGNC
10576,23604,KRTAP5-9,KRTAP5-1,3846,ENSG00000254997,KRTAP5-1,HGNC
10573,23601,KRTAP5-5,KRTAP5-11,439915,ENSG00000185940,KRTAP5-11,HGNC
10575,23603,KRTAP5-8,KRTAP5-2,57830,ENSG00000241233,KRTAP5-2,HGNC
10574,23602,KRTAP5-7,KRTAP5-3,440050,ENSG00000244411,KRTAP5-3,HGNC
10578,23606,KRTAP5-11,KRTAP5-6,440051,ENSG00000204571,KRTAP5-6,HGNC
10567,23597,KRTAP5-2,KRTAP5-8,440021,ENSG00000205867,KRTAP5-8,HGNC
10568,23598,KRTAP5-3,KRTAP5-9,387266,ENSG00000196224,KRTAP5-9,HGNC
8057,19701,CNKSR2,KSR2,22866,ENSG00000149970,KSR2,HGNC
41393,6484,LAMA4,LAMA3,3910,ENSG00000112769,LAMA3,HGNC
16400,30621,SPNS1,LAT,83985,ENSG00000169682,LAT,HGNC
935,11066,SLC7A8,LAT2,23428,ENSG00000092068,LAT2,HGNC
2875,1340,SMIM29,LBH,221491,ENSG00000186577,LBH,HGNC
8487,20161,TOX4,LCP1,9878,ENSG00000092203,LCP1,HGNC
41433,6533,LDB2,LDB1,9079,ENSG00000169744,LDB1,HGNC
41470,6583,EIF2D,LGTN,1939,ENSG00000143486,LGTN,HGNC
6241,17360,LRIG1,LIG1,26018,ENSG00000144749,LIG1,HGNC
7037,18395,SCGB1D1,LIPA,10648,ENSG00000168515,LIPA,HGNC
7038,18396,SCGB1D2,LIPB,10647,ENSG00000124935,LIPB,HGNC
9565,21610,LNPK,LNP1,80856,ENSG00000144320,LNP1,HGNC
15809,29911,C1D,LRP1,10438,ENSG00000197223,LRP1,HGNC
15521,29593,ANKRD37,Lrp2bp,353322,ENSG00000186352,LRP2BP,HGNC
7574,19012,CORIN,Lrp4,10699,ENSG00000145244,LRP4,HGNC
20039,3481,ETFA,MADD,2108,ENSG00000140374,MADD,HGNC
41304,6380,KLRG1,MAFA,10219,ENSG00000139187,MAFA,HGNC
19607,3434,ERCC2,MAG,2068,ENSG00000104884,MAG,HGNC
7849,19340,MAGEA2B,MAGEA2,266740,ENSG00000183305,MAGEA2,HGNC
6356,17574,ALPK3,MAK,57538,ENSG00000136383,MAK,HGNC
3544,14334,MRTFA,MAL,57591,ENSG00000196588,MAL,HGNC
6094,17192,TIRAP,Mal,114609,ENSG00000150455,MAL,HGNC
4780,15789,METAP1,MAP1A,23173,ENSG00000164024,MAP1A,HGNC
5596,16672,METAP2,MAP2,10988,ENSG00000111142,MAP2,HGNC
43464,9119,PMPCB,MAS1,9512,ENSG00000105819,MAS1,HGNC
6002,17088,CLASP1,MAST1,23332,ENSG00000074054,MAST1,HGNC
41761,6922,MBL2,MBP,4153,ENSG00000165471,MBP,HGNC
43692,9362,PRG2,MBP,5553,ENSG00000186652,MBP,HGNC
3716,14546,PCDHB16,ME1,57717,ENSG00000272674,ME1,HGNC
7127,1850,CELSR1,ME2,9620,ENSG00000075275,ME2,HGNC
43076,8682,PCDHB11,ME2,56125,ENSG00000197479,ME2,HGNC
43100,8703,PCDHGA5,ME3,56110,,ME3,HGNC
41758,6919,MBD4,MED1,8930,ENSG00000129071,MED1,HGNC
1286,11477,MED22,Med24,6837,ENSG00000148297,MED24,HGNC
12207,25487,MED9,MED25,55090,ENSG00000141026,MED25,HGNC
8921,20709,SLTM,Met,79811,ENSG00000137776,MET,HGNC
41841,7043,MGAM,MGA,8972,ENSG00000257335,MGA,HGNC
6876,18210,MOGAT1,MGAT1,116255,ENSG00000124003,MGAT1,HGNC
10263,23248,MOGAT2,MGAT2,80168,ENSG00000166391,MGAT2,HGNC
10264,23249,MOGAT3,MGAT3,346606,ENSG00000106384,MGAT3,HGNC
22390,37100,CFAP73,MIA2,387885,ENSG00000186710,MIA2,HGNC
4156,1502,CASP14,MICE,23581,ENSG00000105141,MICE,HGNC
422,10499,S100A9,MIF,6280,ENSG00000163220,MIF,HGNC
30264,464,AMH,MIF,268,ENSG00000104899,MIF,HGNC
41324,6401,TNPO1,MIP,3842,ENSG00000083312,MIP,HGNC
41877,7104,MIPEP,MIP,4285,ENSG00000027001,MIP,HGNC
16798,31102,MAFIP,MIP,727764,ENSG00000274847,MIP,HGNC
42198,7582,MYL1,MLC1,4632,ENSG00000168530,MLC1,HGNC
32490,48649,MRLN,MLN,100507027,ENSG00000227877,MLN,HGNC
6894,18234,MOCOS,MOS,55034,ENSG00000075643,MOS,HGNC
41531,6657,LNX1,MPDZ,84708,ENSG00000072201,MPDZ,HGNC
41965,7212,KIF20B,MPP1,9585,ENSG00000138182,MPP1,HGNC
23339,3818,FOXM1,MPP2,2305,ENSG00000111206,MPP2,HGNC
40994,6038,ILF3,MPP4,3609,ENSG00000129351,MPP4,HGNC
7658,1911,CHAF1B,MPP7,8208,ENSG00000159259,MPP7,HGNC
3676,14492,MRPL41,MRPL27,64975,ENSG00000182154,MRPL27,HGNC
5559,16635,MRPS35,MRPS28,60488,ENSG00000061794,MRPS28,HGNC
3691,14513,MRPS28,MRPS35,28957,ENSG00000147586,MRPS35,HGNC
2854,13370,MS4A12,Ms4a10,54860,ENSG00000071203,MS4A10,HGNC
2855,13371,MS4A4A,MS4A7,51338,ENSG00000110079,MS4A7,HGNC
2858,13378,MS4A7,MS4A8,58475,ENSG00000166927,MS4A8,HGNC
1010,11155,SNRPB2,Msl1,6629,ENSG00000125870,MSL1,HGNC
1237,11408,STK4,MST1,6789,ENSG00000101109,MST1,HGNC
693,10820,SH2D1A,MTCP1,4068,ENSG00000183918,MTCP1,HGNC
42237,7622,MYT1,MTF1,4661,ENSG00000196132,MTF1,HGNC
41838,7037,MELTF,MTF1,4241,ENSG00000163975,MTF1,HGNC
4882,15906,MYH7B,MYH14,57644,ENSG00000078814,MYH14,HGNC
5671,16763,ZBTB32,mynn,27033,ENSG00000011590,MYNN,HGNC
42215,7599,MYO1E,MYO1C,4643,ENSG00000157483,MYO1C,HGNC
15572,29650,PKMYT1,MYT1,9088,ENSG00000127564,MYT1,HGNC
5811,16903,TNIP1,NAF1,10318,ENSG00000145901,NAF1,HGNC
10128,23102,NANOGP4,NANOGP2,414132,ENSG00000237065,NANOGP2,HGNC
10131,23105,NANOGP7,NANOGP3,414130,ENSG00000258774,NANOGP3,HGNC
10126,23100,NANOGP2,NANOGP4,414131,ENSG00000228670,NANOGP4,HGNC
2869,13395,NAPSA,NAPA,9476,ENSG00000131400,NAPA,HGNC
2870,13396,NAPSB,NAPB,256236,ENSG00000131401,NAPB,HGNC
6478,17765,RNF138,NARF,51444,ENSG00000134758,NARF,HGNC
18390,3297,EIF4G2,NAT1,1982,ENSG00000110321,NAT1,HGNC
2903,13447,SLC38A1,NAT2,81539,ENSG00000111371,NAT2,HGNC
41990,727,ARTN,NBN,9048,ENSG00000117407,NBN,HGNC
7209,18591,NEK9,Nek8,91754,ENSG00000119638,NEK8,HGNC
12232,25512,PRPF38B,NET1,55119,ENSG00000134186,NET1,HGNC
42582,8029,NTN1,NET1,9423,ENSG00000065320,NET1,HGNC
9506,21535,GTPBP4,NGB,23560,ENSG00000107937,NGB,HGNC
28955,4458,GPI,NLK,2821,ENSG00000105220,NLK,HGNC
28991,4462,GPNMB,NMB,10457,ENSG00000136235,NMB,HGNC
26,10031,RMRP,NME1,6023,ENSG00000277027,NME1,HGNC
42213,7597,MYO1C,NMI,4641,ENSG00000197879,NMI,HGNC
7778,19260,LTB4R2,NOP9,56413,ENSG00000213906,NOP9,HGNC
10081,23044,NANOS1,NOS1,340719,ENSG00000188613,NOS1,HGNC
10295,23292,NANOS2,NOS2,339345,ENSG00000188425,NOS2,HGNC
9777,22048,NANOS3,NOS3,342977,ENSG00000187556,NOS3,HGNC
11750,24969,NPRL2,NPR2,10641,ENSG00000114388,NPR2,HGNC
3398,14124,NPRL3,NPR3,8131,ENSG00000103148,NPR3,HGNC
8258,19910,NOL6,Nrap,65083,ENSG00000165271,NRAP,HGNC
42374,7781,NFE2L1,NRF1,4779,ENSG00000082641,NRF1,HGNC
42349,7751,NELL2,NRP2,4753,ENSG00000184613,NRP2,HGNC
11415,24565,KANSL1,NSL1,284058,ENSG00000120071,NSL1,HGNC
41899,7126,MLF2,NTN4,8079,ENSG00000089693,NTN4,HGNC
