ENSG_ID,primary_gene_symbol,collision,source,NCBI_ID,HGNC_ID,alias_symbol
ENSG00000197121,PGAP1,BST1,ENSG,GENE ID:80055,HGNC:25712,"BST1,FLJ12377,SPG67"
ENSG00000111801,BTN3A3,BTF3,ENSG,GENE ID:10384,HGNC:1140,"BTF3,BTN3.3"
ENSG00000235718,MFRP,C1QTNF5,ENSG,GENE ID:83552,HGNC:18121,"C1QTNF5,FLJ30570,NNO2,RD6"
ENSG00000244731,C4A,C4B,ENSG,"GENE ID:110384692,GENE ID:720",HGNC:1323,"C4,C4A2,C4A3,C4A4,C4A6,C4B,C4S,CO4,CPAMD2,RG"
ENSG00000244207,C4A,C4B,ENSG,"GENE ID:110384692,GENE ID:720",HGNC:1323,"C4,C4A2,C4A3,C4A4,C4A6,C4B,C4S,CO4,CPAMD2,RG"
ENSG00000227746,C4A,C4B,ENSG,"GENE ID:110384692,GENE ID:720",HGNC:1323,"C4,C4A2,C4A3,C4A4,C4A6,C4B,C4S,CO4,CPAMD2,RG"
ENSG00000206340,C4A,C4B,ENSG,"GENE ID:110384692,GENE ID:720",HGNC:1323,"C4,C4A2,C4A3,C4A4,C4A6,C4B,C4S,CO4,CPAMD2,RG"
ENSG00000101182,PSMA7,C6,ENSG,GENE ID:5688,HGNC:9536,"C6,HSPC,RC6-1,XAPC7"
ENSG00000169245,CXCL10,C7,ENSG,GENE ID:3627,HGNC:10637,"C7,CRG-2,GIP-10,IFI10,INP10,IP-10,MOB-1,SCYB10"
ENSG00000169605,GKN1,CA11,ENSG,GENE ID:56287,HGNC:23217,"AMP18,BRICD1,CA11"
ENSG00000169906,S100G,CABP1,ENSG,GENE ID:795,HGNC:1436,"CABP1,CABP9K,CALB3"
ENSG00000167080,B4GALNT2,CAD,ENSG,GENE ID:124872,HGNC:24136,"CAD,GALGT2,SDA"
ENSG00000102794,ACOD1,CAD,ENSG,GENE ID:730249,HGNC:33904,"CAD,IRG1"
ENSG00000169598,DFFB,CAD,ENSG,GENE ID:1677,HGNC:2773,"CAD,CPAN,DFF-40,DFF40"
ENSG00000198824,CHAMP1,CAMP,ENSG,GENE ID:283489,HGNC:20311,"C13ORF8,CAMP,CHAMP,ZNF828"
ENSG00000052344,PRSS8,CAP1,ENSG,GENE ID:5652,HGNC:9491,CAP1
ENSG00000137648,TMPRSS4,CAP2,ENSG,GENE ID:56649,HGNC:11878,"CAP2,MT-SP2,TMPRSS3"
ENSG00000166401,SERPINB8,CAP2,ENSG,GENE ID:5271,HGNC:8952,"CAP2,PI8"
ENSG00000163618,CADPS,CAPS,ENSG,GENE ID:8618,HGNC:1426,"CADPS1,CAPS,CAPS1,KIAA1121,UNC-31"
ENSG00000081803,CADPS2,CAPS2,ENSG,GENE ID:93664,HGNC:16018,CAPS2
ENSG00000168564,CDKN2AIP,CARF,ENSG,GENE ID:55602,HGNC:24325,"CARF,FLJ20036"
ENSG00000240849,PEDS1,CARF,ENSG,GENE ID:387521,HGNC:16735,"CARF,KUA,TMEM189"
ENSG00000187672,ERC2,CAST,ENSG,GENE ID:26059,HGNC:31922,"CAST,CAST1,ELKSL,KIAA0378,SPBC110,SPC110"
ENSG00000117877,POLR1G,CAST,ENSG,GENE ID:10849,HGNC:24219,"A34.5,ASE-1,CAST,CD3EAP,PAF49,RPA34"
ENSG00000139428,MMAB,CBLB,ENSG,GENE ID:326625,HGNC:19331,"CBLB,CFAP23"
ENSG00000132763,MMACHC,CBLC,ENSG,GENE ID:25974,HGNC:24525,"CBLC,DKFZP564I122"
ENSG00000145386,CCNA2,CCN1,ENSG,GENE ID:890,HGNC:1578,"CCN1,CCNA"
ENSG00000073111,MCM2,CCNL1,ENSG,GENE ID:4171,HGNC:6944,"BM28,CCNL1,CDC19,CDCL1,D3S3194,DFNA70,KIAA0030"
ENSG00000144648,ACKR2,CCR10,ENSG,GENE ID:1238,HGNC:1565,"CCBP2,CCR10,CCR9,CMKBR9,D6"
ENSG00000113300,CNOT6,CCR4,ENSG,GENE ID:57472,HGNC:14099,"CCR4,CCR4A,KIAA1194"
ENSG00000211689,TRGC1,CD3G,ENSG,GENE ID:445347,HGNC:12275,"C1,CD3G,TCRGC1"
ENSG00000289746,TARP,CD3G,ENSG,GENE ID:445347,,CD3G
ENSG00000105325,FZR1,CDH1,ENSG,GENE ID:51343,HGNC:24824,"CDC20C,CDH1,FZR,FZR2,HCDH,HCDH1,KIAA1242"
ENSG00000253953,PCDHGB4,CDH20,ENSG,GENE ID:8641,HGNC:8711,"CDH20,FIB2,PCDH-GAMMA-B4"
ENSG00000129910,CDH15,CDH3,ENSG,GENE ID:1013,HGNC:1754,"CDH14,CDH3"
ENSG00000071991,CDH19,CDH7,ENSG,GENE ID:28513,HGNC:1758,CDH7
ENSG00000101542,CDH20,CDH7,ENSG,GENE ID:28316,HGNC:1760,"CDH7,CDH7L3"
ENSG00000205643,CDPF1,CDKN1A,ENSG,GENE ID:150383,HGNC:33710,"C22ORF40,CDKN1A"
ENSG00000183765,CHEK2,CDS1,ENSG,GENE ID:11200,HGNC:16627,"BA444G7,CDS1,CHK2,HUCDS1,PP1425,RAD53"
ENSG00000226982,CENPCP1,CENPC,ENSG,,HGNC:1855,"CENPC,CENPC1P1,CENPC2"
ENSG00000198848,CES1,CES2,ENSG,GENE ID:1066,HGNC:1863,"CEH,CES1A1,CES1A2,CES2,HMSE,HMSE1,SES1"
ENSG00000262243,CES1,CES2,ENSG,GENE ID:1066,HGNC:1863,"CEH,CES1A1,CES1A2,CES2,HMSE,HMSE1,SES1"
ENSG00000124177,CHD6,CHD5,ENSG,GENE ID:84181,HGNC:19057,"CHD5,DJ620E11.1,FLJ22369,KIAA1335,RIGB"
ENSG00000182093,GET1,CHD5,ENSG,GENE ID:7485,HGNC:12790,"CHD5,WRB"
ENSG00000013573,DDX11,CHL1,ENSG,GENE ID:1663,HGNC:2736,"CHL1,CHLR1,KRG-2,WABS"
ENSG00000285023,CHORDC1,CHP1,ENSG,GENE ID:26973,HGNC:14525,"CHP-1,CHP1"
ENSG00000110172,CHORDC1,CHP1,ENSG,GENE ID:26973,HGNC:14525,"CHP-1,CHP1"
ENSG00000100075,SLC25A1,CIC,ENSG,GENE ID:6576,HGNC:10979,"CIC,CTP,SLC20A3"
ENSG00000102554,KLF5,CKLF,ENSG,GENE ID:688,HGNC:6349,"BTEB2,CKLF,IKLF"
ENSG00000175505,CLCF1,CLC,ENSG,GENE ID:23529,HGNC:17412,"BSF-3,BSF3,CISS2,CLC,NNT-1,NNT1,NR6"
ENSG00000057019,DCBLD2,CLCP1,ENSG,GENE ID:131566,HGNC:24627,"CLCP1,ESDN"
ENSG00000159212,CLIC6,CLIC5,ENSG,GENE ID:54102,HGNC:2065,"CLIC1L,CLIC5"
ENSG00000160185,UBASH3A,CLIP4,ENSG,GENE ID:53347,HGNC:12462,"CLIP4,STS-2,TULA"
ENSG00000163273,NPPC,CNP,ENSG,GENE ID:4880,HGNC:7941,CNP
ENSG00000291652,PCDHA4,CNR1,ENSG,GENE ID:56144,HGNC:8670,"CNR1,CNRN1,CRNR1,PCDH-ALPHA4"
ENSG00000204967,PCDHA4,CNR1,ENSG,GENE ID:56144,HGNC:8670,"CNR1,CNRN1,CRNR1,PCDH-ALPHA4"
ENSG00000291654,PCDHA6,CNR2,ENSG,GENE ID:56142,HGNC:8672,"CNR2,CNRS2,CRNR2,PCDH-ALPHA6"
ENSG00000081842,PCDHA6,CNR2,ENSG,GENE ID:56142,HGNC:8672,"CNR2,CNRS2,CRNR2,PCDH-ALPHA6"
ENSG00000204397,CARD16,COP1,ENSG,GENE ID:114769,HGNC:33701,"COP,COP1,LLID-114769,PSEUDO-ICE"
ENSG00000128510,CPA4,CPA3,ENSG,GENE ID:51200,HGNC:15740,CPA3
ENSG00000255974,CYP2A6,CPA6,ENSG,GENE ID:1548,HGNC:2610,"CPA6,CYP2A,CYP2A3"
ENSG00000103942,HOMER2,CPD,ENSG,GENE ID:9455,HGNC:17513,"CPD,CUPIDIN,DFNA68,HOMER-2,HOMER-2A,HOMER-2B,VESL-2"
ENSG00000214078,CPNE1,CPN1,ENSG,GENE ID:8904,HGNC:2314,CPN1
ENSG00000160882,CYP11B1,CPN1,ENSG,GENE ID:1584,HGNC:2591,"CPN1,CYP11B,FHI,P450C11"
ENSG00000179142,CYP11B2,CPN2,ENSG,GENE ID:1585,HGNC:2592,"ALDOS,CPN2,CYP11B,CYP11BL,P-450C18,P450ALDO"
ENSG00000140848,CPNE2,CPN2,ENSG,GENE ID:221184,HGNC:2315,CPN2
ENSG00000080819,CPOX,CPO,ENSG,GENE ID:1371,HGNC:2321,"CPO,CPX,HCP"
ENSG00000231852,CYP21A2,CPS1,ENSG,GENE ID:1589,HGNC:2600,"CA21H,CAH1,CPS1,CYP21,CYP21B,P450C21B"
ENSG00000233151,CYP21A2,CPS1,ENSG,GENE ID:1589,HGNC:2600,"CA21H,CAH1,CPS1,CYP21,CYP21B,P450C21B"
ENSG00000206338,CYP21A2,CPS1,ENSG,GENE ID:1589,HGNC:2600,"CA21H,CAH1,CPS1,CYP21,CYP21B,P450C21B"
ENSG00000162877,PM20D1,CPS1,ENSG,GENE ID:148811,HGNC:26518,"CPS1,FLJ32569"
ENSG00000235134,CYP21A2,CPS1,ENSG,GENE ID:1589,HGNC:2600,"CA21H,CAH1,CPS1,CYP21,CYP21B,P450C21B"
ENSG00000198457,CYP21A2,CPS1,ENSG,GENE ID:1589,HGNC:2600,"CA21H,CAH1,CPS1,CYP21,CYP21B,P450C21B"
ENSG00000232414,CYP21A2,CPS1,ENSG,GENE ID:1589,HGNC:2600,"CA21H,CAH1,CPS1,CYP21,CYP21B,P450C21B"
ENSG00000143578,CREB3L4,CREB3,ENSG,GENE ID:148327,HGNC:18854,"AIBZIP,ATCE1,CREB3,CREB4,HJAL"
ENSG00000119865,CNRIP1,CRIP1,ENSG,GENE ID:25927,HGNC:24546,"C2ORF32,CRIP1,CRIP1A,CRIP1B,DKFZP566K1924"
ENSG00000224530,PPIAP10,CRP,ENSG,,HGNC:9264,"CRP,PPIAL2,PPIP10"
ENSG00000166200,COPS2,CSN2,ENSG,GENE ID:9318,HGNC:30747,"ALIEN,CSN2,TRIP15"
ENSG00000141030,COPS3,CSN3,ENSG,GENE ID:8533,HGNC:2239,"CSN3,SGN3"
ENSG00000070770,CSNK2A2,CSNK2A1,ENSG,GENE ID:1459,HGNC:2459,"CK2ALPHA',CSNK2A1"
ENSG00000160213,CSTB,CST6,ENSG,GENE ID:1476,HGNC:2482,"CST6,EPM1,PME,STFB"
ENSG00000103381,CPPED1,CSTP1,ENSG,GENE ID:55313,HGNC:25632,"CSTP1,FLJ11151"
ENSG00000288422,ARHGEF35,CTAGE4,ENSG,GENE ID:445328,HGNC:33846,"ARHGEF5L,CTAGE4,FLJ43692"
ENSG00000213214,ARHGEF35,CTAGE4,ENSG,GENE ID:445328,HGNC:33846,"ARHGEF5L,CTAGE4,FLJ43692"
ENSG00000019102,VSIG2,CTH,ENSG,GENE ID:23584,HGNC:17149,"CTH,CTXL"
ENSG00000143387,CTSK,CTSO,ENSG,GENE ID:1513,HGNC:2536,"CTSO,CTSO2,PKND,PYCD"
ENSG00000290611,CYP2G1P,CYP2G2P,ENSG,GENE ID:22952,,"CYP2G1,CYP2G2P,CYP2GP1"
ENSG00000002726,AOC1,DAO,ENSG,GENE ID:26,HGNC:80,"ABP,ABP1,DAO"
ENSG00000121351,IAPP,DAP,ENSG,GENE ID:3375,HGNC:5329,"AMYLIN,DAP,IAP"
ENSG00000123992,DNPEP,DAP,ENSG,GENE ID:23549,HGNC:2981,"ASPEP,DAP"
ENSG00000116544,DLGAP3,DAP3,ENSG,GENE ID:58512,HGNC:30368,"DAP3,SAPAP3"
ENSG00000100300,TSPO,DBI,ENSG,GENE ID:706,HGNC:1158,"BZRP,DBI,IBP,MBR,MDRC,PBR,PK18,PKBS,TSPO1"
ENSG00000133835,HSD17B4,DBP,ENSG,GENE ID:3295,HGNC:5213,"DBP,MFE-2,SDR8C1"
ENSG00000145321,GC,DBP,ENSG,GENE ID:2638,HGNC:4187,"DBP,HDBP,VDBP"
ENSG00000233614,DDX11L10,DDX11L1,ENSG,,HGNC:14125,"DDX11L1,DDX11P"
ENSG00000164822,DEFA6,DEF6,ENSG,GENE ID:1671,HGNC:2765,"DEF6,HD-6"
ENSG00000285136,DEFA6,DEF6,ENSG,GENE ID:1671,HGNC:2765,"DEF6,HD-6"
ENSG00000101191,DIDO1,DIO1,ENSG,GENE ID:11083,HGNC:2680,"BYE1,C20ORF158,DATF1,DIO-1,DIO1,DJ885L7.8,FLJ11265,KIAA0333"
ENSG00000088986,DYNLL1,DLC1,ENSG,GENE ID:8655,HGNC:15476,"DLC1,DLC8,DNCL1,HDLC1,LC8,PIN"
ENSG00000008226,DLEC1,DLC1,ENSG,GENE ID:9940,HGNC:2899,"CFAP81,DLC1,FAP81"
ENSG00000126787,DLGAP5,DLG1,ENSG,GENE ID:9787,HGNC:16864,"DLG1,DLG7,HURP,KIAA0008"
ENSG00000108852,MPP2,DLG2,ENSG,GENE ID:4355,HGNC:7220,"DKFZP761D0712,DLG2"
ENSG00000161647,MPP3,DLG3,ENSG,GENE ID:4356,HGNC:7221,DLG3
ENSG00000131899,LLGL1,DLG4,ENSG,GENE ID:3996,HGNC:6628,"DLG4,HUGL,HUGL-1,LGL1,LLGL,MGL1"
ENSG00000167861,HID1,DMC1,ENSG,GENE ID:283987,HGNC:15736,"C17ORF28,DMC1,HID-1"
ENSG00000135164,DMTF1,DMP1,ENSG,GENE ID:9988,HGNC:14603,"DMP1,DMTF,HDMP1,MRUL"
ENSG00000007174,DNAH9,DNAL1,ENSG,GENE ID:1770,HGNC:2953,"DNAH17L,DNAHC9,DNAL1,DYH9,HL-20,HL20,KIAA0357"
ENSG00000111339,ART4,DOK1,ENSG,GENE ID:420,HGNC:726,"ARTC4,CD297,DO,DOK1"
ENSG00000131037,EPS8L1,DRC3,ENSG,GENE ID:54869,HGNC:21295,"DRC3,FLJ20258,MGC23164,MGC4642"
ENSG00000104419,NDRG1,DRG1,ENSG,GENE ID:10397,HGNC:7679,"CAP43,DRG1,NDR1,RTP,TDD5"
ENSG00000092964,DPYSL2,DRP2,ENSG,GENE ID:1808,HGNC:3014,"CRMP2,DHPRP2,DRP-2,DRP2"
ENSG00000134762,DSC3,DSC1,ENSG,GENE ID:1825,HGNC:3037,"CDHF3,DSC,DSC1,DSC2,DSC4"
ENSG00000134755,DSC2,DSC3,ENSG,GENE ID:1824,HGNC:3036,"CDHF2,DSC3"
ENSG00000081721,DUSP12,DUSP1,ENSG,GENE ID:11266,HGNC:3067,"DUSP1,YVH1"
ENSG00000110536,PTPMT1,DUSP23,ENSG,GENE ID:114971,HGNC:26965,"DUSP23,MOSP,PLIP"
ENSG00000188542,DUSP28,DUSP26,ENSG,GENE ID:285193,HGNC:33237,"DUSP26,VHP"
ENSG00000280757,DUX4L1,DUX4,ENSG,,HGNC:3082,DUX4
ENSG00000178028,DMAP1,EAF2,ENSG,GENE ID:55929,HGNC:18291,"DNMAP1,DNMTAP1,EAF2,FLJ11543,KIAA1425,MEAF2,SWC4"
ENSG00000292165,SH3D19,EBP,ENSG,GENE ID:152503,HGNC:30418,"DKFZP434D0215,EBP,EVE-1,EVE1,KRYN,SH3P19"
ENSG00000170266,GLB1,EBP,ENSG,GENE ID:2720,HGNC:4298,"EBP,ELNR1"
ENSG00000109686,SH3D19,EBP,ENSG,GENE ID:152503,HGNC:30418,"DKFZP434D0215,EBP,EVE-1,EVE1,KRYN,SH3P19"
ENSG00000127922,SEM1,ECD,ENSG,GENE ID:7979,HGNC:10845,"C7ORF76,DSS1,ECD,FLJ42280,PSMD15,SHFD1,SHFDG1,SHFM1,SHSF1"
ENSG00000134001,EIF2S1,EIF2A,ENSG,GENE ID:1965,HGNC:3265,"EIF-2ALPHA,EIF2,EIF2A"
ENSG00000242372,EIF6,EIF3A,ENSG,GENE ID:3692,HGNC:6159,"B(2)GCN,EIF3A,ITGB4BP,P27BBP"
ENSG00000130165,ELOF1,ELF1,ENSG,GENE ID:84337,HGNC:28691,"ELF1,MGC4549"
ENSG00000089558,KCNH4,ELK1,ENSG,GENE ID:23415,HGNC:6253,"ELK1,KV12.3"
ENSG00000183960,KCNH8,ELK3,ENSG,GENE ID:131096,HGNC:18864,"ELK3,KV12.1"
ENSG00000259120,SMIM6,ELN,ENSG,GENE ID:100130933,HGNC:40032,"C17ORF110,ELN"
ENSG00000082898,XPO1,EMB,ENSG,GENE ID:7514,HGNC:12825,"CRM-1,CRM1,EMB"
ENSG00000173269,MMRN2,EMILIN3,ENSG,GENE ID:79812,HGNC:19888,"EMILIN3,ENDOGLYX-1,FLJ13465"
ENSG00000121053,EPX,EPO,ENSG,GENE ID:8288,HGNC:3423,"EPO,EPP,EPX-PEN"
ENSG00000102265,TIMP1,EPO,ENSG,GENE ID:7076,HGNC:11820,"CLGI,EPO,TIMP"
ENSG00000120705,ETF1,ERF,ENSG,GENE ID:2107,HGNC:3477,"ERF,ERF1,RF1,SUP45L1,TB3-1"
ENSG00000106462,EZH2,EZH1,ENSG,GENE ID:2146,HGNC:3527,"ENX-1,EZH1,KMT6,KMT6A"
ENSG00000170949,ZNF160,F11,ENSG,GENE ID:90338,HGNC:12948,"F11,FLJ00032,HKR18,HZF5,KIAA1611,KR18"
ENSG00000018236,CNTN1,F3,ENSG,GENE ID:1272,HGNC:2171,"F3,GP135"
ENSG00000103089,FA2H,FAAH,ENSG,GENE ID:79152,HGNC:21197,"FAAH,FAXDC1,FLJ25287,SPG35"
ENSG00000236972,FABP5P1,FABP5,ENSG,,HGNC:31059,"FABP5,FABP5L1"
ENSG00000240122,FABP5P11,FABP5P1,ENSG,,HGNC:19328,"FABP5L11,FABP5P1"
ENSG00000149485,FADS1,FADS6,ENSG,GENE ID:3992,HGNC:3574,"D5D,FADS6,FADSD5,LLCDL1,TU12"
ENSG00000187741,FANCA,FAH,ENSG,GENE ID:2175,HGNC:3582,"FA-H,FAA,FACA,FAH,FANCH"
ENSG00000169710,FASN,FAS,ENSG,GENE ID:2194,HGNC:3594,"FAS,SDR27X1"
ENSG00000088247,KHSRP,FBP2,ENSG,GENE ID:8570,HGNC:6316,"FBP2,FUBP2,KSRP"
ENSG00000112029,FBXO5,FBXO31,ENSG,GENE ID:26271,HGNC:13584,"EMI1,FBX5,FBXO31"
ENSG00000162746,FCRLB,FCRL2,ENSG,GENE ID:127943,HGNC:26431,"FCRL2,FCRLM2,FCRLY,FLJ31052,FREB-2"
ENSG00000132185,FCRLA,FCRLB,ENSG,GENE ID:84824,HGNC:18504,"FCRL,FCRLB,FCRLC1,FCRLC2,FCRLD,FCRLE,FCRLM1,FCRLX,FREB,MGC4595"
ENSG00000145780,FEM1C,FEM1A,ENSG,GENE ID:56929,HGNC:16933,"EUROIMAGE686608,EUROIMAGE783647,FEM1A,KIAA1785"
ENSG00000061337,LZTS1,FEZ1,ENSG,GENE ID:11178,HGNC:13861,FEZ1
ENSG00000129682,FGF13,FGF2,ENSG,GENE ID:2258,HGNC:3670,"FGF2,FHF2,FLJ30672,LINC00889"
ENSG00000000971,CFH,FHL1,ENSG,GENE ID:3075,HGNC:4883,"ARMD4,ARMS1,FHL1,HF,HF1,HF2,HUS"
ENSG00000141756,FKBP10,FKBP6,ENSG,GENE ID:60681,HGNC:18169,"FKBP6,FKBP65,FLJ20683,FLJ22041,FLJ23833,HFKBP65"
ENSG00000119782,FKBP1B,FKBP9,ENSG,GENE ID:2281,HGNC:3712,"FKBP12.6,FKBP1L,FKBP9,OTK4,PPIASE"
ENSG00000077782,FGFR1,FLG,ENSG,GENE ID:2260,HGNC:3688,"BFGFR,CD331,CEK,FLG,FLT2,H2,H3,H4,H5,KAL2,N-SAM"
ENSG00000284571,FLII,FLI1,ENSG,GENE ID:2314,HGNC:3750,"FLI,FLI1,FLIL,MGC39265"
ENSG00000177731,FLII,FLI1,ENSG,GENE ID:2314,HGNC:3750,"FLI,FLI1,FLIL,MGC39265"
ENSG00000076258,FMO4,FMO2,ENSG,GENE ID:2329,HGNC:3772,FMO2
ENSG00000188763,FZD9,FZD3,ENSG,GENE ID:8326,HGNC:4047,"CD349,FZD3"
ENSG00000101464,PIGU,GAB1,ENSG,GENE ID:128869,HGNC:15791,"BA346K17.2,CDC91L1,GAB1,PIG-U"
ENSG00000235720,GABPAP,GABPB1,ENSG,,HGNC:4072,"E4TF1,E4TF1B,GABPB1"
