gene_symbol,alias_symbol,collision,source
GDNF,"ATF1,ATF2,HFB1-GDNF",ATF2,HGNC
SERPINA2,"ATR,ARGS",ATR,HGNC
ANTXR1,"TEM8,FLJ21776,FLJ10601,ATR",ATR,HGNC
NLRP3,"AGTAVPRL,AII,AVP,FCAS,FCU,NALP3,PYPAF1,MWS,CLR1.1",AVP,HGNC
B3GNTL1,B3GNT8,B3GNT8,HGNC
BRIP1,"OF,BACH1,FANCJ",BACH1,HGNC
MAGI1,"BAP1,MAGI-1,TNRC19,AIP3,WWP3",BAP1,HGNC
RNF2,"BAP-1,BAP1,DING,HIPI3,RING1B,RING2",BAP1,HGNC
BCAT2,"BCAM,BCATm",BCAM,HGNC
IL4,"BSF1,IL-4,BCGF1,BCGF-1,MGC79402",BCGF1,HGNC
BCL6,"ZBTB27,LAZ3,BCL5,BCL6A",BCL5,HGNC
BANF1P1,"BCRP1,D14S1460,D14S1460E,BCRG1",BCRP1,HGNC
DCAF5,"BCRP2,D14S1461E,BCRG2,KIAA1824",BCRP2,HGNC
PTPN18,BDP1,BDP1,HGNC
ASIC2,"ASIC2a,BNC1,BNaC1,hBNaC1,MDEG",BNC1,HGNC
C6ORF89,,BRAP,HGNC
DEPDC1B,"XTP1,BRCC3",BRCC3,HGNC
ITM2C,"BRI3,E25,hRPC.1050_D_4,ITM3,BRICD2C",BRI3,HGNC
PGAP1,"FLJ12377,Bst1,SPG67",BST1,HGNC
BTN3A3,"BTF3,BTN3.3",BTF3,HGNC
BTRC,"bTrCP,betaTrCP,FBXW1A,Fwd1,beta-TrCP1,bTrCP1",BTRCP1,HGNC
MFRP,"FLJ30570,rd6,NNO2,C1QTNF5",C1QTNF5,HGNC
C4A,"CPAMD2,C4S,CO4,C4,C4A3,C4A2,C4A4,C4A6,C4B,RG",C4B,HGNC
PSMA7,"XAPC7,C6,HSPC,RC6-1",C6,HGNC
CXCL10,"IFI10,IP-10,crg-2,mob-1,C7,gIP-10",C7,HGNC
GKN1,"AMP18,CA11,BRICD1",CA11,HGNC
S100G,"CABP9K,CABP1",CABP1,HGNC
B4GALNT2,"Sda,Cad",CAD,HGNC
DFFB,"CAD,CPAN,DFF-40,DFF40",CAD,HGNC
ACOD1,CAD,CAD,HGNC
CHAMP1,"CAMP,CHAMP",CAMP,HGNC
PRSS8,CAP1,CAP1,HGNC
SERPINB8,CAP2,CAP2,HGNC
TMPRSS4,"TMPRSS3,MT-SP2,CAP2",CAP2,HGNC
CADPS,"CAPS,KIAA1121,CAPS1,UNC-31,CADPS1",CAPS,HGNC
CADPS2,CAPS2,CAPS2,HGNC
PEDS1,"Kua,CarF",CARF,HGNC
CDKN2AIP,"FLJ20036,CARF",CARF,HGNC
POLR1G,"ASE-1,CAST,PAF49,RPA34,A34.5",CAST,HGNC
ERC2,"CAST,CAST1,KIAA0378,SPBC110,Spc110,ELKSL",CAST,HGNC
MMAB,"cblB,CFAP23",CBLB,HGNC
MMACHC,"DKFZP564I122,cblC",CBLC,HGNC
TRNT1,"MtCCA,CGI-47,CCA1",CCA1,HGNC
ACKR2,"CCR10,D6,CCR9",CCR10,HGNC
CNOT6,"CCR4,KIAA1194,Ccr4a",CCR4,HGNC
ACKR2,"CCR10,D6,CCR9",CCR9,HGNC
FLVCR2,"FLJ20371,MFSD7C,SLC49A2,CCT",CCT,HGNC
FZR1,"HCDH1,CDH1,HCDH,FZR,FZR2,KIAA1242,CDC20C",CDH1,HGNC
PCDHGB4,"FIB2,CDH20,PCDH-GAMMA-B4",CDH20,HGNC
CDH19,CDH7,CDH7,HGNC
CDH20,"CDH7L3,Cdh7",CDH7,HGNC
CDPF1,CDKN1A,CDKN1A,HGNC
CHEK2,"CDS1,CHK2,HuCds1,PP1425,bA444G7",CDS1,HGNC
C3CER1,CER1,CER1,HGNC
CES1,"HMSE,CES2,HMSE1,SES1,CEH,CES1A1,CES1A2",CES2,HGNC
RFLNB,"MGC45871,RefilinB,Cfm1",CFM1,HGNC
RFLNA,"FLJ44614,Cfm2,RefilinA",CFM2,HGNC
GET1,CHD5,CHD5,HGNC
CHD6,"KIAA1335,FLJ22369,dJ620E11.1,CHD5,RIGB",CHD5,HGNC
DDX11,"ChlR1,KRG-2,CHL1,WABS",CHL1,HGNC
CHORDC1,"CHP1,CHP-1",CHP1,HGNC
SLC25A1,"CTP,CIC",CIC,HGNC
KLF5,"IKLF,CKLF",CKLF,HGNC
SCAR6,"CLA4,CLA3",CLA3,HGNC
CLCF1,"NNT1,BSF3,CLC,NR6,CISS2,BSF-3,NNT-1",CLC,HGNC
DCBLD2,"CLCP1,ESDN",CLCP1,HGNC
CLIC6,CLIC5,CLIC5,HGNC
UBASH3A,"STS-2,TULA,CLIP4",CLIP4,HGNC
PPP3CA,"CNA1,PPP2B",CNA1,HGNC
NPPC,CNP,CNP,HGNC
PCDHA4,"CNR1,CRNR1,PCDH-ALPHA4,CNRN1",CNR1,HGNC
PCDHA@,CNR1,CNR1,HGNC
PCDHA6,"CNR2,CRNR2,PCDH-ALPHA6",CNR2,HGNC
COG6,"COD2,KIAA1134",COD2,HGNC
CARD16,"COP1,COP,PSEUDO-ICE,LLID-114769",COP,HGNC
CARD16,"COP1,COP,PSEUDO-ICE,LLID-114769",COP1,HGNC
CPA4,CPA3,CPA3,HGNC
CYP2A6,"CPA6,CYP2A",CPA6,HGNC
HOMER2,"CPD,Cupidin,Vesl-2,HOMER-2B,HOMER-2,HOMER-2A,DFNA68",CPD,HGNC
CYP11B1,"P450C11,FHI,CPN1",CPN1,HGNC
CPNE1,CPN1,CPN1,HGNC
CYP11B2,"CYP11BL,CPN2,P-450C18,P450aldo,ALDOS",CPN2,HGNC
CPNE2,CPN2,CPN2,HGNC
PM20D1,"FLJ32569,Cps1",CPS1,HGNC
CYP21A2,"P450c21B,CA21H,CPS1,CAH1",CPS1,HGNC
CREB3L4,"AIbZIP,CREB4,CREB3,hJAL,ATCE1",CREB3,HGNC
CNRIP1,"DKFZP566K1924,CRIP1,CRIP1a,CRIP1b",CRIP1,HGNC
PPIAP10,CRP,CRP,HGNC
COPS2,"TRIP15,ALIEN,CSN2",CSN2,HGNC
COPS3,"SGN3,CSN3",CSN3,HGNC
CSNK2A2,"CSNK2A1,CK2alpha'",CSNK2A1,HGNC
CSTB,"CST6,PME",CST6,HGNC
CPPED1,"CSTP1,FLJ11151",CSTP1,HGNC
ARHGEF35,"FLJ43692,CTAGE4",CTAGE4,HGNC
VSIG2,"CTXL,CTH",CTH,HGNC
CYP2A7,CYP2A,CYP2A,HGNC
CYP2A6,"CPA6,CYP2A",CYP2A,HGNC
CYP2A13,"CPAD,CYP2A",CYP2A,HGNC
AOC1,DAO,DAO,HGNC
IAPP,"AMYLIN,DAP,IAP",DAP,HGNC
DNPEP,"DAP,ASPEP",DAP,HGNC
DLGAP3,"SAPAP3,DAP3",DAP3,HGNC
TSPO,"PBR,MBR,PKBS,mDRC,DBI,IBP,pk18,TSPO1",DBI,HGNC
GC,"DBP,VDBP,hDBP",DBP,HGNC
HSD17B4,"MFE-2,DBP,SDR8C1",DBP,HGNC
DCXR,"KIDCR,DCR,SDR20C1,HCR2,P34H",DCR,HGNC
DEFA6,"HD-6,DEF6",DEF6,HGNC
DEFA1A3,"DEFA1,DEFA3,DEFT1P",DEFA1,HGNC
DEFA1A3,"DEFA1,DEFA3,DEFT1P",DEFA3,HGNC
DEFB110,"DEFB-10,DEFB-11,DEFB111",DEFB111,HGNC
DEFA1A3,"DEFA1,DEFA3,DEFT1P",DEFT1P,HGNC
CRYM,DFNA40,DFNA40,HGNC
DIDO1,"DIO1,dJ885L7.8,FLJ11265,KIAA0333,DIO-1,BYE1",DIO1,HGNC
DYNLL1,"hdlc1,DLC1,PIN,LC8,DLC8",DLC1,HGNC
DLEC1,"DLC1,CFAP81,FAP81",DLC1,HGNC
DLGAP5,"KIAA0008,DLG1,HURP",DLG1,HGNC
HID1,"DMC1,HID-1",DMC1,HGNC
DMTF1,"DMP1,DMTF,hDMP1,MRUL",DMP1,HGNC
DNAH9,"Dnahc9,KIAA0357,HL20,HL-20,DNAL1,DYH9",DNAL1,HGNC
ART4,"DOK1,CD297,ARTC4",DOK1,HGNC
EPS8L1,"FLJ20258,DRC3,MGC23164,MGC4642",DRC3,HGNC
NDRG1,"DRG1,RTP,TDD5,NDR1",DRG1,HGNC
DPYSL2,"DRP-2,DHPRP2,CRMP2,DRP2",DRP2,HGNC
DSC3,"CDHF3,DSC,DSC1,DSC2",DSC1,HGNC
DSC3,"CDHF3,DSC,DSC1,DSC2",DSC2,HGNC
DUSP12,"YVH1,DUSP1",DUSP1,HGNC
PTPMT1,"PLIP,DUSP23,MOSP",DUSP23,HGNC
DUSP28,"VHP,DUSP26",DUSP26,HGNC
DMAP1,"DNMAP1,FLJ11543,KIAA1425,DNMTAP1,EAF2,MEAF2,SWC4",EAF2,HGNC
SH3D19,"DKFZp434D0215,EVE1,EBP,Kryn,SH3P19,Eve-1",EBP,HGNC
GLB1,EBP,EBP,HGNC
SEM1,"DSS1,Shfdg1,ECD,SHSF1,FLJ42280,PSMD15",ECD,HGNC
EIF2S1,"EIF-2alpha,EIF2A",EIF2A,HGNC
ELOF1,"MGC4549,ELF1",ELF1,HGNC
KCNH4,"Kv12.3,elk1",ELK1,HGNC
KCNH8,"Kv12.1,elk3",ELK3,HGNC
SMIM6,ELN,ELN,HGNC
XPO1,"CRM1,CRM-1,emb",EMB,HGNC
EPX,"EPO,EPP,EPX-PEN",EPO,HGNC
TIMP1,EPO,EPO,HGNC
CMKLR1,"RVER1,ERV1,ChemR23",ERV1,HGNC
GFER,"HSS,ERV1,ALR,HERV1,HPO1,HPO2",ERV1,HGNC
EXT3,EXT2,EXT2,HGNC
EZH2,"EZH1,ENX-1,KMT6,KMT6A",EZH1,HGNC
ZNF159,F11,F11,HGNC
ZNF160,"HZF5,F11,KR18,HKr18,FLJ00032,KIAA1611",F11,HGNC
CNTN1,"F3,GP135",F3,HGNC
DLK1,"FA1,pG2,Pref-1,ZOG,Delta1",FA1,HGNC
FA2H,"FAAH,FLJ25287",FAAH,HGNC
FABP5P1,FABP5,FABP5,HGNC
ACSL1,"LACS2,LACS,ACS1,LACS1,FACL1",FACL1,HGNC
FADS1,"D5D,FADSD5,TU12,FADS6",FADS6,HGNC
FANCA,"FAA,FA-H,FAH",FAH,HGNC
FASN,"FAS,SDR27X1",FAS,HGNC
KHSRP,"KSRP,FBP2,FUBP2",FBP2,HGNC
FBXO5,"FBX5,Fbxo31,EMI1",FBXO31,HGNC
CTDP1,FCP1,FCP1,HGNC
FCRLB,"FLJ31052,FCRL2,FREB-2,FCRLY",FCRL2,HGNC
FCRLA,"MGC4595,FCRLc2,FCRLb,FCRLc1,FCRLd,FCRLe,FCRL,FREB,FCRLX",FCRLB,HGNC
ADGRV1,"DKFZp761P0710,KIAA0686,FEB4,VLGR1",FEB4,HGNC
FEM1C,"KIAA1785,EUROIMAGE686608,EUROIMAGE783647,FEM1A",FEM1A,HGNC
LZTS1,FEZ1,FEZ1,HGNC
FGF13,"FHF2,FGF2,FLJ30672",FGF2,HGNC
CFH,"HUS,FHL1,ARMS1,ARMD4",FHL1,HGNC
HPLH1,FHL1,FHL1,HGNC
FKBP10,"hFKBP65,FKBP65,FLJ22041,FKBP6,FLJ20683,FLJ23833",FKBP6,HGNC
FKBP1B,"OTK4,FKBP12.6,PPIase,FKBP9",FKBP9,HGNC
FGFR1,"H2,H3,H4,H5,CEK,FLG,BFGFR,N-SAM,CD331",FLG,HGNC
FLII,"FLI,FLIL,Fli1,MGC39265",FLI1,HGNC
FHIT,"FRA3B,AP3Aase",FRA3B,HGNC
FMR1,"FMRP,FRAXA,MGC87458",FRAXA,HGNC
AFF2,FRAXE,FRAXE,HGNC
FZD9,"FZD3,CD349",FZD3,HGNC
PIGU,"bA346K17.2,GAB1,PIG-U",GAB1,HGNC
GAGE2D,GAGE8,GAGE8,HGNC
GAGE2E,GAGE8,GAGE8,HGNC
GALP,GAL,GAL,HGNC
GAL3ST3,GAL3ST2,GAL3ST2,HGNC
GALNT18,"MGC71806,GALNT15,GalNAc-T18",GALNT15,HGNC
GALNTL6,"GALNT17,GalNAc-T6L",GALNT17,HGNC
GALNT15,"GALNT7,pp-GalNAc-T15",GALNT7,HGNC
CNGB1,"RCNC2,RCNCb,GARP,GAR1,CNGB1B,RP45",GAR1,HGNC
MAP4K2,"GCK,BL44",GCK,HGNC
MAP4K5,"KHS1,GCKR,KHS",GCKR,HGNC
MYZAP,"MYOZAP,Gup,Gup1,GCOM1",GCOM1,HGNC
SLC25A16,"GDA,D10S105E,HGT.1,ML7",GDA,HGNC
PAEP,"PEP,PP14,GdA,GdS,GdF,PAEG,GD,MGC138509,MGC142288",GDA,HGNC
GMNN,Gem,GEM,HGNC
GNAI2,GIP,GIP,HGNC
C1QTNF1,"CTRP1,ZSIG37,GIP,FLJ90694",GIP,HGNC
GJD3,"CX31.9,GJA11,Cx30.2",GJA11,HGNC
GALK2,GK2,GK2,HGNC
NAT8,"Hcml1,TSC501,GLA,ATase2",GLA,HGNC
GLS2,"GA,GLS,LGA,hLGA",GLS,HGNC
GRID1,"GluD1,KIAA1220",GLUD1,HGNC
GRID2,"GluD2,GluR-delta-2",GLUD2,HGNC
GRIK3,"GluK3,GLUR7",GLUR7,HGNC
GRM7,"GLUR7,GPRC1G,mGlu7,MGLUR7,PPP1R87",GLUR7,HGNC
GOLT1B,"CGI-141,YMR292W,GOT1",GOT1,HGNC
GOLT1A,"FLJ42654,CGI-141,YMR292W,GOT1,MGC62027",GOT1,HGNC
GYPB,"GPB,SS,CD235b,PAS-3",GPB,HGNC
GNPDA1,"GNPDA,HLN,GPI,KIAA0060",GPI,HGNC
DPAGT1,"GPT,D11S366,DGPT,ALG7,CDG-Ij",GPT,HGNC
GPX7,"FLJ14777,GPX6,NPGPx",GPX6,HGNC
GPRIN1,"GRIN1,KIAA1893",GRIN1,HGNC
NCOA2,"TIF2,GRIP1,NCoA-2,KAT13C,bHLHe75",GRIP1,HGNC
LGALS12,GRIP1,GRIP1,HGNC
UCMA,GRP,GRP,HGNC
LGALSL,"HSPC159,GRP",GRP,HGNC
TRAPPC8,"HsT2706,TRS85,GSG1",GSG1,HGNC
APEX1,"APE,REF1,HAP1,APX,APEN,REF-1,APE-1",HAP1,HGNC
DDX18,"MrDb,Has1",HAS1,HGNC
HNF1A-AS1,"FLJ38690,HAS1,HASTER",HAS1,HGNC
ACSBG1,"BGM,FLJ30320,MGC14352,BG1,KIAA0631,hBG1,hsBG",HBG1,HGNC
LRP5,"LR3,BMND1,HBM,OPS,OPTA1,VBCH2,EVR4",HBM,HGNC
CYCSP5,HCP5,HCP5,HGNC
CD200R1,"OX2R,HCRTR2,CD200R",HCRTR2,HGNC
SLC35A1,"CMPST,hCST,CMP-Sia-Tr",HCST,HGNC
HECA,"HDCL,hHDC,HDC,dJ225E12.1",HDC,HGNC
GATD3,"KNP-Ia,GT335,ES1,HES1,D21S2048E,KNPI,KNPH,KNP-I",HES1,HGNC
IL6,"IL-6,BSF2,HGF,HSF",HGF,HGNC
SOS1,"HGF,GF1",HGF,HGNC
KCNA4,"Kv1.4,HK1,HPCN2,PCN2",HK1,HGNC
HOOK1,HK1,HK1,HGNC
KCNA5,"Kv1.5,HK2,HPCN1",HK2,HGNC
KIF2A,HK2,HK2,HGNC
HOOK2,HK2,HK2,HGNC
HOOK3,HK3,HK3,HGNC
HFE,"HLA-H,HFE1",HLA-H,HGNC
EPAS1,"MOP2,PASD2,HIF2A,HLF,bHLHe73",HLF,HGNC
DLC1,"HP,ARHGAP7,STARD12,DLC-1,p122-RhoGAP",HP,HGNC
CACNA1A,"Cav2.1,EA2,APCA,HPCA,FHM",HPCA,HGNC
ZNF83,"FLJ11015,HPF1",HPF1,HGNC
TMEFF2,"TENB2,HPP1,TR,TPEF,CT120.2",HPP1,HGNC
MT-HPR,HPR,HPR,HGNC
NRG1,"HRG,NDF,GGF",HRG,HGNC
DHX8,"HRH1,Prp22,PRPF22,Dhr2",HRH1,HGNC
DHX15,"HRH2,DBP1,Prp43,PrPp43p,PRPF43",HRH2,HGNC
HSD17B7P2,"HSD17B7,bA291L22.1",HSD17B7,HGNC
GNL1,HSR1,HSR1,HGNC
CAPN5,"nCL-3,HTRA3,ADNIV",HTRA3,HGNC
SEL1L,"IBD2,SEL1L1,Hrd3",IBD2,HGNC
IFNA1,"IFNA@,IFL,IFN,IFN-ALPHA,IFNA13,IFN-alphaD",IFNA13,HGNC
FOXC1,"FREAC3,ARA,IGDA,IHG1",IHG1,HGNC
KCNN4,"KCa3.1,hSK4,hKCa4,hIKCa1,IK",IK,HGNC
TXLNA,"DKFZp451J0118,IL-14,IL14",IL14,HGNC
MYDGF,"R33729_1,IL25,SF20,IL-25,IL-27",IL25,HGNC
IL17D,"IL-27,IL-17D,IL27,FLJ30846",IL27,HGNC
SPPL2A,"IMP3,PSL2",IMP3,HGNC
IGF2BP3,"IMP-3,CT98,IMP3",IMP3,HGNC
IPO4,"Imp4,FLJ23338",IMP4,HGNC
SPPL2B,"IMP4,PSL1,KIAA1532",IMP4,HGNC
SPATA17,"IQCH,MOT17,FAP305,CFAP305",IQCH,HGNC
RAB43,"RAB41,RAB11B,ISY1",ISY1,HGNC
SP6,"KLF14,Epfn",KLF14,HGNC
KLHL7,"KLHL6,SBBI26,RP42",KLHL6,HGNC
KLK1,Klk6,KLK6,HGNC
KLK6,"Bssp,Klk7,neurosin",KLK7,HGNC
KPNA6,"IPOA7,KPNA7,MGC17918,FLJ11249",KPNA7,HGNC
KRTAP5-9,"KRTAP5.9,KRTAP5-1",KRTAP5-1,HGNC
KRTAP5-5,"KRTAP5.5,KRTAP5-11",KRTAP5-11,HGNC
KRTAP5-8,"KRTAP5.8,UHSKerB,KRTAP5-2",KRTAP5-2,HGNC
KRTAP5-7,"KRTAP5.7,KRTAP5-3",KRTAP5-3,HGNC
KRTAP5-11,"KRTAP5.11,KRTAP5-6",KRTAP5-6,HGNC
KRTAP5-2,"KRTAP5.2,KRTAP5-8",KRTAP5-8,HGNC
KRTAP5-3,"KRTAP5.3,KRTAP5-9",KRTAP5-9,HGNC
CNKSR2,"KIAA0902,CNK2,KSR2",KSR2,HGNC
LAMA4,LAMA3,LAMA3,HGNC
SPNS1,"HSpin1,nrs,SPINL,PP2030,SPIN1,LAT,SLC63A1",LAT,HGNC
SLC7A8,"LPI-PC1,LAT2",LAT2,HGNC
SMIM29,"LBH,MGC57858",LBH,HGNC
TOX4,LCP1,LCP1,HGNC
LDB2,"CLIM1,LDB1",LDB1,HGNC
EIF2D,LGTN,LGTN,HGNC
LRIG1,"LIG-1,DKFZP586O1624,LIG1",LIG1,HGNC
SCGB1D1,"LPHA,LIPA,MGC71958",LIPA,HGNC
SCGB1D2,"LPHB,LIPB",LIPB,HGNC
LNPK,"Ul,LNP1,LNP",LNP1,HGNC
L1RE3,LRE3,LRE3,HGNC
C1D,"SUNCOR,SUN-CoR,LRP1,Rrp47",LRP1,HGNC
ANKRD37,Lrp2bp,LRP2BP,HGNC
CORIN,"PRSC,CRN,ATC2,Lrp4,TMPRSS10",LRP4,HGNC
NBEA,"KIAA1544,BCL8B,FLJ10197,LYST2",LYST2,HGNC
CD163,"M130,MM130,SCARI1",M130,HGNC
PPP1R12A,"MBS,M130",M130,HGNC
ETFA,"GA2,EMA,MADD",MADD,HGNC
KLRG1,"MAFA,2F1,MAFA-L,CLEC15A",MAFA,HGNC
ERCC2,"MAG,EM9,MGC102762,MGC126218,MGC126219",MAG,HGNC
MAGEA2B,"MAGE2,MGC16973,MAGEA2",MAGEA2,HGNC
ALPK3,"MAK,KIAA1330,Midori",MAK,HGNC
MRTFA,"KIAA1438,MAL,MRTF-A,BSAC,MKL",MAL,HGNC
TIRAP,"Mal,wyatt",MAL,HGNC
METAP1,"KIAA0094,MetAP1A,MAP1A",MAP1A,HGNC
METAP2,"MNPEP,p67,MAP2",MAP2,HGNC
PMPCB,"MPPB,MPPP52,MAS1,beta-MPP",MAS1,HGNC
CLASP1,"KIAA0622,MAST1",MAST1,HGNC
PRG2,"MBP,BMPG,proMBP",MBP,HGNC
MBL2,"COLEC1,MBP-C,MBP1,MBP",MBP,HGNC
PCDHB16,"PCDHB8a,PCDH3X,KIAA1621,PCDH-BETA16,ME1",ME1,HGNC
CELSR1,"ME2,HFMI2,FMI2,CDHF9,ADGRC1",ME2,HGNC
PCDHB11,"PCDH-BETA11,ME2",ME2,HGNC
PCDHGA5,"CDH-GAMMA-A5,ME3,PCDH-GAMMA-A5",ME3,HGNC
MBD4,MED1,MED1,HGNC
MED22,"Med24,SRB6",MED24,HGNC
MED9,"FLJ10193,MED25",MED25,HGNC
PRDX3,"MER5,AOP-1,SP-22",MER5,HGNC
SLTM,"Met,FLJ13213",MET,HGNC
MGAM,MGA,MGA,HGNC
MOGAT1,"DGAT2L,MGAT1",MGAT1,HGNC
MOGAT2,"MGAT2,DGAT2L5,FLJ22644",MGAT2,HGNC
MOGAT3,"DC7,MGAT3,DGAT2L2",MGAT3,HGNC
CFAP73,MIA2,MIA2,HGNC
MICOS13,"QIL1,P117,MIC13,MIC12",MIC12,HGNC
CASP14,"MICE,MGC119078,MGC119079,caspase-14",MICE,HGNC
S100A9,"P14,MIF,NIF,LIAG,MRP14,MAC387,60B8AG,CGLB,MRP-14,S100-A9",MIF,HGNC
AMH,"MIF,MIS",MIF,HGNC
MAFIP,"FLJ35473,FLJ00219,FLJ39633,MIP,pp5644,TEKT4P4",MIP,HGNC
MIPEP,MIP,MIP,HGNC
TNPO1,"MIP,TRN,IPO2,MIP1",MIP,HGNC
MYL1,"MLC1,MLC1F,MLC3F,MLC-1,MLC1/3",MLC1,HGNC
MRLN,"M1,MUSER1,MLN,Linc-RAM",MLN,HGNC
MOCOS,"HMCS,FLJ20733,MOS,MCS",MOS,HGNC
LNX1,"MPDZ,PDZRN2",MPDZ,HGNC
KIF20B,"MPP1,KRMP1,CT90",MPP1,HGNC
FOXM1,"HFH-11,trident,HNF-3,INS-1,MPP2,MPHOSPH2,TGT3",MPP2,HGNC
ILF3,"NF90,MPHOSPH4,MPP4,NFAR-1,NFAR110,NFAR-2,TCP110,NF110,DRBP76,NFAR90,NF110b,NF90a,NF90c,NF90ctv,MPP4110",MPP4,HGNC
CHAF1B,"CAF1P60,CAF-1,CAF1,CAF1A,MPP7,MPHOSPH7",MPP7,HGNC
MRPL41,"MRP-L27,RPML27,BMRP,PIG3,MRPL27,mL41",MRPL27,HGNC
MRPS35,"MRPS28,MDS023,mS35",MRPS28,HGNC
MRPS28,"MRP-S28,HSPC007,MRPS35",MRPS35,HGNC
MRTO4,"dJ657E11.4,MRT4",MRT4,HGNC
TMEM223,"MGC3196,Mrx15",MRX15,HGNC
UPF3B,"RENT3B,UPF3X,HUPF3B,MRX82",MRX82,HGNC
MS4A12,"Ms4a10,FLJ20217",MS4A10,HGNC
MS4A4A,"CD20L1,MS4A7",MS4A7,HGNC
MS4A7,"CD20L4,CFFM4,MS4A8",MS4A8,HGNC
RPS6KA5,"MSK1,RLPK",MSK1,HGNC
RPS6KA4,"RSK-B,MSK2",MSK2,HGNC
SNRPB2,"Msl1,U2B''",MSL1,HGNC
STK4,"MST1,KRS2,YSK3",MST1,HGNC
SH2D1A,"XLP,MTCP1,DSHP,XLPD,EBVS,SAP",MTCP1,HGNC
MELTF,"CD228,FLJ38863,MAP97,MGC4856,MTF1,MTf",MTF1,HGNC
MYT1,"MTF1,MYTI,ZC2HC4A,NZF2,ZC2H2C1",MTF1,HGNC
MYH7B,"KIAA1512,dJ756N5.1,MYH14,MHC14,lncMYH7b",MYH14,HGNC
ZBTB32,"TZFP,FAZF,FAXF,Rog,ZNF538,mynn",MYNN,HGNC
MYO1E,"MYO1C,HuncM-IC,MGC104638",MYO1C,HGNC
PKMYT1,"MYT1,PPP1R126",MYT1,HGNC
TNIP1,"NAF1,KIAA0113,ABIN-1,VAN",NAF1,HGNC
NANOGP4,NANOGP2,NANOGP2,HGNC
NANOGP7,NANOGP3,NANOGP3,HGNC
NANOGP2,NANOGP4,NANOGP4,HGNC
NAPSA,"NAP1,NAPA,Kdap,KAP",NAPA,HGNC
NAPSB,"NAP1L,NAP2,NAPB,NAPSBP",NAPB,HGNC
RNF138,"STRIN,NARF",NARF,HGNC
EIF4G2,"DAP5,NAT1,p97",NAT1,HGNC
SLC38A1,"ATA1,NAT2,SAT1,SNAT1",NAT2,HGNC
ARTN,"NBN,EVN,ENOVIN",NBN,HGNC
NEK9,"Nek8,NERCC,DKFZp434D0935,MGC16714,NERCC1",NEK8,HGNC
NTN1,"NTN1L,NET1",NET1,HGNC
PRPF38B,"FLJ10330,NET1",NET1,HGNC
GTPBP4,"CRFG,NGB,FLJ10690,FLJ10686,NOG1",NGB,HGNC
GPI,"AMF,NLK",NLK,HGNC
GPNMB,"NMB,HGFIN",NMB,HGNC
RMRP,"RMRPR,RRP2,NME1",NME1,HGNC
MYO1C,"myr2,NMI,MyoIC",NMI,HGNC
LTB4R2,"BLTR2,BLT2,JULF2,NOP9",NOP9,HGNC
NANOS1,"NOS1,ZC2HC12A",NOS1,HGNC
NANOS2,"NOS2,ZC2HC12B",NOS2,HGNC
NANOS3,"NANOS1L,NOS3,ZC2HC12C",NOS3,HGNC
NPRL2,"NPR2L,NPR2",NPR2,HGNC
NPRL3,"CGTHBA,RMD11,NPR3,MARE,HS-40",NPR3,HGNC
NOL6,"bA311H10.1,Nrap,FLJ21959,MGC14896,MGC14921,MGC20838,UTP22",NRAP,HGNC
