name	nomenclature	concept_id	gene_claim_name	source_db_name	source_db_version
NPM1	Gene Symbol	hgnc:7910	NPM1	CarisMolecularIntelligence	5-Jun-23
NRG1	Gene Symbol	hgnc:7997	NRG1	CarisMolecularIntelligence	5-Jun-23
NCKIPSD	Gene Symbol	hgnc:15486	NCKIPSD	CarisMolecularIntelligence	5-Jun-23
NUMA1	Gene Symbol	hgnc:8059	NUMA1	CarisMolecularIntelligence	5-Jun-23
MPL	Gene Symbol	hgnc:7217	MPL	CarisMolecularIntelligence	5-Jun-23
NUP93	Gene Symbol	hgnc:28958	NUP93	CarisMolecularIntelligence	5-Jun-23
NCOA2	Gene Symbol	hgnc:7669	NCOA2	CarisMolecularIntelligence	5-Jun-23
NDRG1	Gene Symbol	hgnc:7679	NDRG1	CarisMolecularIntelligence	5-Jun-23
MSI2	Gene Symbol	hgnc:18585	MSI2	CarisMolecularIntelligence	5-Jun-23
NF1	Gene Symbol	hgnc:7765	NF1	CarisMolecularIntelligence	5-Jun-23
NKX2-1	Gene Symbol	hgnc:11825	NKX2-1	CarisMolecularIntelligence	5-Jun-23
NSD2	Gene Symbol	hgnc:12766	NSD2	CarisMolecularIntelligence	5-Jun-23
NFE2L2	Gene Symbol	hgnc:7782	NFE2L2	CarisMolecularIntelligence	5-Jun-23
PAX3	Gene Symbol	hgnc:8617	PAX3	CarisMolecularIntelligence	5-Jun-23
PAK3	Gene Symbol	hgnc:8592	PAK3	CarisMolecularIntelligence	5-Jun-23
MYB	Gene Symbol	hgnc:7545	MYB	CarisMolecularIntelligence	5-Jun-23
NTRK3	Gene Symbol	hgnc:8033	NTRK3	CarisMolecularIntelligence	5-Jun-23
MSH6	Gene Symbol	hgnc:7329	MSH6	CarisMolecularIntelligence	5-Jun-23
MSH2	Gene Symbol	hgnc:7325	MSH2	CarisMolecularIntelligence	5-Jun-23
MTCP1	Gene Symbol	hgnc:7423	MTCP1	CarisMolecularIntelligence	5-Jun-23
NF2	Gene Symbol	hgnc:7773	NF2	CarisMolecularIntelligence	5-Jun-23
MUC1	Gene Symbol	hgnc:7508	MUC1	CarisMolecularIntelligence	5-Jun-23
NOTCH1	Gene Symbol	hgnc:7881	NOTCH1	CarisMolecularIntelligence	5-Jun-23
NR4A3	Gene Symbol	hgnc:7982	NR4A3	CarisMolecularIntelligence	5-Jun-23
NCOA4	Gene Symbol	hgnc:7671	NCOA4	CarisMolecularIntelligence	5-Jun-23
MRE11	Gene Symbol	hgnc:7230	MRE11	CarisMolecularIntelligence	5-Jun-23
NTRK1	Gene Symbol	hgnc:8031	NTRK1	CarisMolecularIntelligence	5-Jun-23
NSD3	Gene Symbol	hgnc:12767	NSD3	CarisMolecularIntelligence	5-Jun-23
MYH11	Gene Symbol	hgnc:7569	MYH11	CarisMolecularIntelligence	5-Jun-23
NTRK2	Gene Symbol	hgnc:8032	NTRK2	CarisMolecularIntelligence	5-Jun-23
PATZ1	Gene Symbol	hgnc:13071	PATZ1	CarisMolecularIntelligence	5-Jun-23
MYH9	Gene Symbol	hgnc:7579	MYH9	CarisMolecularIntelligence	5-Jun-23
NFKB2	Gene Symbol	hgnc:7795	NFKB2	CarisMolecularIntelligence	5-Jun-23
MSN	Gene Symbol	hgnc:7373	MSN	CarisMolecularIntelligence	5-Jun-23
MYD88	Gene Symbol	hgnc:7562	MYD88	CarisMolecularIntelligence	5-Jun-23
NCOA1	Gene Symbol	hgnc:7668	NCOA1	CarisMolecularIntelligence	5-Jun-23
PAX5	Gene Symbol	hgnc:8619	PAX5	CarisMolecularIntelligence	5-Jun-23
MYC	Gene Symbol	hgnc:7553	MYC	CarisMolecularIntelligence	5-Jun-23
PPP2R1A	Gene Symbol	hgnc:9302	PPP2R1A	CarisMolecularIntelligence	5-Jun-23
RET	Gene Symbol	hgnc:9967	RET	CarisMolecularIntelligence	5-Jun-23
RBM15	Gene Symbol	hgnc:14959	RBM15	CarisMolecularIntelligence	5-Jun-23
PAX7	Gene Symbol	hgnc:8621	PAX7	CarisMolecularIntelligence	5-Jun-23
RPLP	Gene Symbol	NULL	NULL	ChEMBL	32
PBRM1	Gene Symbol	hgnc:30064	PBRM1	CarisMolecularIntelligence	5-Jun-23
PSIP1	Gene Symbol	hgnc:9527	PSIP1	CarisMolecularIntelligence	5-Jun-23
PTCH1	Gene Symbol	hgnc:9585	PTCH1	CarisMolecularIntelligence	5-Jun-23
PBX1	Gene Symbol	hgnc:8632	PBX1	CarisMolecularIntelligence	5-Jun-23
RAP1GDS1	Gene Symbol	hgnc:9859	RAP1GDS1	CarisMolecularIntelligence	5-Jun-23
PIK3CG	Gene Symbol	hgnc:8978	PIK3CG	CarisMolecularIntelligence	5-Jun-23
PMS1	Gene Symbol	hgnc:9121	PMS1	CarisMolecularIntelligence	5-Jun-23
PRDM16	Gene Symbol	hgnc:14000	PRDM16	CarisMolecularIntelligence	5-Jun-23
PIK3CA	Gene Symbol	hgnc:8975	PIK3CA	CarisMolecularIntelligence	5-Jun-23
PIK3R2	Gene Symbol	hgnc:8980	PIK3R2	CarisMolecularIntelligence	5-Jun-23
RHOH	Gene Symbol	hgnc:686	RHOH	CarisMolecularIntelligence	5-Jun-23
POT1	Gene Symbol	hgnc:17284	POT1	CarisMolecularIntelligence	5-Jun-23
PPARG	Gene Symbol	hgnc:9236	PPARG	CarisMolecularIntelligence	5-Jun-23
PDCD1	Gene Symbol	hgnc:8760	PDCD1	CarisMolecularIntelligence	5-Jun-23
POLE	Gene Symbol	hgnc:9177	POLE	CarisMolecularIntelligence	5-Jun-23
PCM1	Gene Symbol	hgnc:8727	PCM1	CarisMolecularIntelligence	5-Jun-23
PICALM	Gene Symbol	hgnc:15514	PICALM	CarisMolecularIntelligence	5-Jun-23
PMS2	Gene Symbol	hgnc:9122	PMS2	CarisMolecularIntelligence	5-Jun-23
REL	Gene Symbol	hgnc:9954	REL	CarisMolecularIntelligence	5-Jun-23
PHOX2B	Gene Symbol	hgnc:9143	PHOX2B	CarisMolecularIntelligence	5-Jun-23
RAF1	Gene Symbol	hgnc:9829	RAF1	CarisMolecularIntelligence	5-Jun-23
RANBP17	Gene Symbol	hgnc:14428	RANBP17	CarisMolecularIntelligence	5-Jun-23
PRKAR1A	Gene Symbol	hgnc:9388	PRKAR1A	CarisMolecularIntelligence	5-Jun-23
RECQL4	Gene Symbol	hgnc:9949	RECQL4	CarisMolecularIntelligence	5-Jun-23
PRKDC	Gene Symbol	hgnc:9413	PRKDC	CarisMolecularIntelligence	5-Jun-23
RABEP1	Gene Symbol	hgnc:17677	RABEP1	CarisMolecularIntelligence	5-Jun-23
PDGFB	Gene Symbol	hgnc:8800	PDGFB	CarisMolecularIntelligence	5-Jun-23
PDCD1LG2	Gene Symbol	hgnc:18731	PDCD1LG2	CarisMolecularIntelligence	5-Jun-23
PRDM1	Gene Symbol	hgnc:9346	PRDM1	CarisMolecularIntelligence	5-Jun-23
PML	Gene Symbol	hgnc:9113	PML	CarisMolecularIntelligence	5-Jun-23
RAD21	Gene Symbol	hgnc:9811	RAD21	CarisMolecularIntelligence	5-Jun-23
PTPN11	Gene Symbol	hgnc:9644	PTPN11	CarisMolecularIntelligence	5-Jun-23
PDGFRA	Gene Symbol	hgnc:8803	PDGFRA	CarisMolecularIntelligence	5-Jun-23
PRKCB	Gene Symbol	hgnc:9395	PRKCB	CarisMolecularIntelligence	5-Jun-23
PRRX1	Gene Symbol	hgnc:9142	PRRX1	CarisMolecularIntelligence	5-Jun-23
PLAG1	Gene Symbol	hgnc:9045	PLAG1	CarisMolecularIntelligence	5-Jun-23
PIK3R1	Gene Symbol	hgnc:8979	PIK3R1	CarisMolecularIntelligence	5-Jun-23
PTEN	Gene Symbol	hgnc:9588	PTEN	CarisMolecularIntelligence	5-Jun-23
PDE4DIP	Gene Symbol	hgnc:15580	PDE4DIP	CarisMolecularIntelligence	5-Jun-23
RB1	Gene Symbol	hgnc:9884	RB1	CarisMolecularIntelligence	5-Jun-23
PCSK7	Gene Symbol	hgnc:8748	PCSK7	CarisMolecularIntelligence	5-Jun-23
RALGDS	Gene Symbol	hgnc:9842	RALGDS	CarisMolecularIntelligence	5-Jun-23
PAX8	Gene Symbol	hgnc:8622	PAX8	CarisMolecularIntelligence	5-Jun-23
POU5F1	Gene Symbol	hgnc:9221	POU5F1	CarisMolecularIntelligence	5-Jun-23
HDGFL3	Gene Symbol	hgnc:24937	HDGFL3	HGNC	20230501
STAG2	Gene Symbol	hgnc:11355	STAG2	CarisMolecularIntelligence	5-Jun-23
RICTOR	Gene Symbol	hgnc:28611	RICTOR	CarisMolecularIntelligence	5-Jun-23
STK11	Gene Symbol	hgnc:11389	STK11	CarisMolecularIntelligence	5-Jun-23
SDHC	Gene Symbol	hgnc:10682	SDHC	CarisMolecularIntelligence	5-Jun-23
SMARCB1	Gene Symbol	hgnc:11103	SMARCB1	CarisMolecularIntelligence	5-Jun-23
RPTOR	Gene Symbol	hgnc:30287	RPTOR	CarisMolecularIntelligence	5-Jun-23
SBDS	Gene Symbol	hgnc:19440	SBDS	CarisMolecularIntelligence	5-Jun-23
RPL22	Gene Symbol	hgnc:10315	RPL22	CarisMolecularIntelligence	5-Jun-23
SUFU	Gene Symbol	hgnc:16466	SUFU	CarisMolecularIntelligence	5-Jun-23
SOCS1	Gene Symbol	hgnc:19383	SOCS1	CarisMolecularIntelligence	5-Jun-23
SH2B3	Gene Symbol	hgnc:29605	SH2B3	CarisMolecularIntelligence	5-Jun-23
SRSF3	Gene Symbol	hgnc:10785	SRSF3	CarisMolecularIntelligence	5-Jun-23
SDC4	Gene Symbol	hgnc:10661	SDC4	CarisMolecularIntelligence	5-Jun-23
STIL	Gene Symbol	hgnc:10879	STIL	CarisMolecularIntelligence	5-Jun-23
RNF43	Gene Symbol	hgnc:18505	RNF43	CarisMolecularIntelligence	5-Jun-23
SOX10	Gene Symbol	hgnc:11190	SOX10	CarisMolecularIntelligence	5-Jun-23
STAT3	Gene Symbol	hgnc:11364	STAT3	CarisMolecularIntelligence	5-Jun-23
RUNX1	Gene Symbol	hgnc:10471	RUNX1	CarisMolecularIntelligence	5-Jun-23
RMI2	Gene Symbol	hgnc:28349	RMI2	CarisMolecularIntelligence	5-Jun-23
SMO	Gene Symbol	hgnc:11119	SMO	CarisMolecularIntelligence	5-Jun-23
SMARCA4	Gene Symbol	hgnc:11100	SMARCA4	CarisMolecularIntelligence	5-Jun-23
SEPT6	Gene Symbol	hgnc:15848	SEPTIN6	CarisMolecularIntelligence	5-Jun-23
SNX29	Gene Symbol	hgnc:30542	SNX29	CarisMolecularIntelligence	5-Jun-23
SEPT5	Gene Symbol	hgnc:9164	SEPTIN5	CarisMolecularIntelligence	5-Jun-23
SRGAP3	Gene Symbol	hgnc:19744	SRGAP3	CarisMolecularIntelligence	5-Jun-23
SRC	Gene Symbol	hgnc:11283	SRC	CarisMolecularIntelligence	5-Jun-23
TAL2	Gene Symbol	hgnc:11557	TAL2	CarisMolecularIntelligence	5-Jun-23
SDHAF2	Gene Symbol	hgnc:26034	SDHAF2	CarisMolecularIntelligence	5-Jun-23
SSX1	Gene Symbol	hgnc:11335	SSX1	CarisMolecularIntelligence	5-Jun-23
SDHD	Gene Symbol	hgnc:10683	SDHD	CarisMolecularIntelligence	5-Jun-23
SH3GL1	Gene Symbol	hgnc:10830	SH3GL1	CarisMolecularIntelligence	5-Jun-23
SOX2	Gene Symbol	hgnc:11195	SOX2	CarisMolecularIntelligence	5-Jun-23
SDHB	Gene Symbol	hgnc:10681	SDHB	CarisMolecularIntelligence	5-Jun-23
SMARCE1	Gene Symbol	hgnc:11109	SMARCE1	CarisMolecularIntelligence	5-Jun-23
SET	Gene Symbol	hgnc:10760	SET	CarisMolecularIntelligence	5-Jun-23
SLC45A3	Gene Symbol	hgnc:8642	SLC45A3	CarisMolecularIntelligence	5-Jun-23
RUNX1T1	Gene Symbol	hgnc:1535	RUNX1T1	CarisMolecularIntelligence	5-Jun-23
RSPO3	Gene Symbol	hgnc:20866	RSPO3	CarisMolecularIntelligence	5-Jun-23
SRSF2	Gene Symbol	hgnc:10783	SRSF2	CarisMolecularIntelligence	5-Jun-23
ROS1	Gene Symbol	hgnc:10261	ROS1	CarisMolecularIntelligence	5-Jun-23
RNF213	Gene Symbol	hgnc:14539	RNF213	CarisMolecularIntelligence	5-Jun-23
SMAD2	Gene Symbol	hgnc:6768	SMAD2	CarisMolecularIntelligence	5-Jun-23
RSPO2	Gene Symbol	hgnc:28583	RSPO2	CarisMolecularIntelligence	5-Jun-23
SUZ12	Gene Symbol	hgnc:17101	SUZ12	CarisMolecularIntelligence	5-Jun-23
SETBP1	Gene Symbol	hgnc:15573	SETBP1	CarisMolecularIntelligence	5-Jun-23
RPN1	Gene Symbol	hgnc:10381	RPN1	CarisMolecularIntelligence	5-Jun-23
SMAD4	Gene Symbol	hgnc:6770	SMAD4	CarisMolecularIntelligence	5-Jun-23
ARID1A	Primary Gene Name	hgnc:11110	ARID1A	JAX-CKB	5-Jun-23
WT1	Gene Symbol	hgnc:12796	WT1	CarisMolecularIntelligence	5-Jun-23
WIF1	Gene Symbol	hgnc:18081	WIF1	CarisMolecularIntelligence	5-Jun-23
ZNF521	Gene Symbol	hgnc:24605	ZNF521	CarisMolecularIntelligence	5-Jun-23
TSC2	Gene Symbol	hgnc:12363	TSC2	CarisMolecularIntelligence	5-Jun-23
TCEA1	Gene Symbol	hgnc:11612	TCEA1	CarisMolecularIntelligence	5-Jun-23
TLX3	Gene Symbol	hgnc:13532	TLX3	CarisMolecularIntelligence	5-Jun-23
TRIP11	Gene Symbol	hgnc:12305	TRIP11	CarisMolecularIntelligence	5-Jun-23
ZNF703	Gene Symbol	hgnc:25883	ZNF703	CarisMolecularIntelligence	5-Jun-23
THADA	Gene Symbol	hgnc:19217	THADA	CarisMolecularIntelligence	5-Jun-23
TGFBR2	Gene Symbol	hgnc:11773	TGFBR2	CarisMolecularIntelligence	5-Jun-23
TET2	Gene Symbol	hgnc:25941	TET2	CarisMolecularIntelligence	5-Jun-23
TTL	Gene Symbol	hgnc:21586	TTL	CarisMolecularIntelligence	5-Jun-23
TLX1	Gene Symbol	hgnc:5056	TLX1	CarisMolecularIntelligence	5-Jun-23
TPM3	Gene Symbol	hgnc:12012	TPM3	CarisMolecularIntelligence	5-Jun-23
ZRSR2	Gene Symbol	hgnc:23019	ZRSR2	CarisMolecularIntelligence	5-Jun-23
TRAF7	Gene Symbol	hgnc:20456	TRAF7	CarisMolecularIntelligence	5-Jun-23
ZNF384	Gene Symbol	hgnc:11955	ZNF384	CarisMolecularIntelligence	5-Jun-23
TFE3	Gene Symbol	hgnc:11752	TFE3	CarisMolecularIntelligence	5-Jun-23
TPM4	Gene Symbol	hgnc:12013	TPM4	CarisMolecularIntelligence	5-Jun-23
WISP3	Gene Symbol	hgnc:12771	CCN6	CarisMolecularIntelligence	5-Jun-23
VEGFA	Gene Symbol	hgnc:12680	VEGFA	CarisMolecularIntelligence	5-Jun-23
TPR	Gene Symbol	hgnc:12017	TPR	CarisMolecularIntelligence	5-Jun-23
XPA	Gene Symbol	hgnc:12814	XPA	CarisMolecularIntelligence	5-Jun-23
ZNF331	Gene Symbol	hgnc:15489	ZNF331	CarisMolecularIntelligence	5-Jun-23
TCF3	Gene Symbol	hgnc:11633	TCF3	CarisMolecularIntelligence	5-Jun-23
TSC1	Gene Symbol	hgnc:12362	TSC1	CarisMolecularIntelligence	5-Jun-23
TERT	Gene Symbol	hgnc:11730	TERT	CarisMolecularIntelligence	5-Jun-23
USP6	Gene Symbol	hgnc:12629	USP6	CarisMolecularIntelligence	5-Jun-23
VHL	Gene Symbol	hgnc:12687	VHL	CarisMolecularIntelligence	5-Jun-23
WRN	Gene Symbol	hgnc:12791	WRN	CarisMolecularIntelligence	5-Jun-23
WWTR1	Gene Symbol	hgnc:24042	WWTR1	CarisMolecularIntelligence	5-Jun-23
TCL1A	Gene Symbol	hgnc:11648	TCL1A	CarisMolecularIntelligence	5-Jun-23
TMPRSS2	Gene Symbol	hgnc:11876	TMPRSS2	CarisMolecularIntelligence	5-Jun-23
XPO1	Gene Symbol	hgnc:12825	XPO1	CarisMolecularIntelligence	5-Jun-23
TFPT	Gene Symbol	hgnc:13630	TFPT	CarisMolecularIntelligence	5-Jun-23
TSHR	Gene Symbol	hgnc:12373	TSHR	CarisMolecularIntelligence	5-Jun-23
VTI1A	Gene Symbol	hgnc:17792	VTI1A	CarisMolecularIntelligence	5-Jun-23
TFG	Gene Symbol	hgnc:11758	TFG	CarisMolecularIntelligence	5-Jun-23
THRAP3	Gene Symbol	hgnc:22964	THRAP3	CarisMolecularIntelligence	5-Jun-23
YWHAE	Gene Symbol	hgnc:12851	YWHAE	CarisMolecularIntelligence	5-Jun-23
TET1	Gene Symbol	hgnc:29484	TET1	CarisMolecularIntelligence	5-Jun-23
TFRC	Gene Symbol	hgnc:11763	TFRC	CarisMolecularIntelligence	5-Jun-23
U2AF1	Gene Symbol	hgnc:12453	U2AF1	CarisMolecularIntelligence	5-Jun-23
TRIM27	Gene Symbol	hgnc:9975	TRIM27	CarisMolecularIntelligence	5-Jun-23
WAS	Gene Symbol	hgnc:12731	WAS	CarisMolecularIntelligence	5-Jun-23
ZBTB16	Gene Symbol	hgnc:12930	ZBTB16	CarisMolecularIntelligence	5-Jun-23
TRIM33	Gene Symbol	hgnc:16290	TRIM33	CarisMolecularIntelligence	5-Jun-23
HDGFL3	Gene Symbol	hgnc:24937	HDGFL3	NCBI	20230501
EZH2	Gene Name	hgnc:3527	EZH2	CGI	5-Jun-23
G6PD	Gene Name	hgnc:4057	G6PD	CGI	5-Jun-23
ERBB2	Gene Name	hgnc:3430	ERBB2	CGI	5-Jun-23
EPHA2	Gene Name	hgnc:3386	EPHA2	CGI	5-Jun-23
DDR2	Gene Name	hgnc:2731	DDR2	CGI	5-Jun-23
FGF4	Gene Name	hgnc:3682	FGF4	CGI	5-Jun-23
FANCC	Gene Name	hgnc:3584	FANCC	CGI	5-Jun-23
GNAQ	Gene Name	hgnc:4390	GNAQ	CGI	5-Jun-23
AR	Gene Name	hgnc:644	AR	CGI	5-Jun-23
CHEK2	Gene Name	hgnc:16627	CHEK2	CGI	5-Jun-23
CSF3R	Gene Name	hgnc:2439	CSF3R	CGI	5-Jun-23
TP53	Gene Name	hgnc:11998	TP53	CGI	5-Jun-23
ROS1	Gene Name	hgnc:10261	ROS1	CGI	5-Jun-23
ERCC1	Gene Name	hgnc:3433	ERCC1	CGI	5-Jun-23
ABL1	Gene Name	hgnc:76	ABL1	CGI	5-Jun-23
BRCA2	Gene Name	hgnc:1101	BRCA2	CGI	5-Jun-23
AKT1	Gene Name	hgnc:391	AKT1	CGI	5-Jun-23
ERBB4	Gene Name	hgnc:3432	ERBB4	CGI	5-Jun-23
DPYD	Gene Name	hgnc:3012	DPYD	CGI	5-Jun-23
ERCC6	Gene Name	hgnc:3438	ERCC6	CGI	5-Jun-23
CBL	Gene Name	hgnc:1541	CBL	CGI	5-Jun-23
ERCC2	Gene Name	hgnc:3434	ERCC2	CGI	5-Jun-23
NF1	Gene Name	hgnc:7765	NF1	CGI	5-Jun-23
CDKN2A	Gene Name	hgnc:1787	CDKN2A	CGI	5-Jun-23
ATM	Gene Name	hgnc:795	ATM	CGI	5-Jun-23
GNA11	Gene Name	hgnc:4379	GNA11	CGI	5-Jun-23
FGFR1	Gene Name	hgnc:3688	FGFR1	CGI	5-Jun-23
CSF1R	Gene Name	hgnc:2433	CSF1R	CGI	5-Jun-23
ESR1	Gene Name	hgnc:3467	ESR1	CGI	5-Jun-23
AKT3	Gene Name	hgnc:393	AKT3	CGI	5-Jun-23
DNMT3A	Gene Name	hgnc:2978	DNMT3A	CGI	5-Jun-23
ARAF	Gene Name	hgnc:646	ARAF	CGI	5-Jun-23
FANCA	Gene Name	hgnc:3582	FANCA	CGI	5-Jun-23
ALK	Gene Name	hgnc:427	ALK	CGI	5-Jun-23
CCND2	Gene Name	hgnc:1583	CCND2	CGI	5-Jun-23
AKT2	Gene Name	hgnc:392	AKT2	CGI	5-Jun-23
CD274	Gene Name	hgnc:17635	CD274	CGI	5-Jun-23
FGF3	Gene Name	hgnc:3681	FGF3	CGI	5-Jun-23
CDK6	Gene Name	hgnc:1777	CDK6	CGI	5-Jun-23
CTNNB1	Gene Name	hgnc:2514	CTNNB1	CGI	5-Jun-23
BCL2	Gene Name	hgnc:990	BCL2	CGI	5-Jun-23
CDK4	Gene Name	hgnc:1773	CDK4	CGI	5-Jun-23
FBXW7	Gene Name	hgnc:16712	FBXW7	CGI	5-Jun-23
BCOR	Gene Name	hgnc:20893	BCOR	CGI	5-Jun-23
CD69	Gene Name	hgnc:1694	CD69	CGI	5-Jun-23
ERBB3	Gene Name	hgnc:3431	ERBB3	CGI	5-Jun-23
NTRK1	Gene Name	hgnc:8031	NTRK1	CGI	5-Jun-23
FLT1	Gene Name	hgnc:3763	FLT1	CGI	5-Jun-23
CA9	Gene Name	hgnc:1383	CA9	CGI	5-Jun-23
PML	Gene Name	hgnc:9113	PML	CGI	5-Jun-23
IL7R	Gene Name	hgnc:6024	IL7R	CGI	5-Jun-23
RET	Gene Name	hgnc:9967	RET	CGI	5-Jun-23
MLL2	Gene Name	hgnc:7133	KMT2D	CGI	5-Jun-23
MAP2K1	Gene Name	hgnc:6840	MAP2K1	CGI	5-Jun-23
VHL	Gene Name	hgnc:12687	VHL	CGI	5-Jun-23
CCND1	Gene Name	hgnc:1582	CCND1	CGI	5-Jun-23
IGF1R	Gene Name	hgnc:5465	IGF1R	CGI	5-Jun-23
RB1	Gene Name	hgnc:9884	RB1	CGI	5-Jun-23
PRKCH	Gene Name	hgnc:9403	PRKCH	CGI	5-Jun-23
TOP 1.00	Gene Symbol	hgnc:11986	TOP 1.00	ChEMBL	32
MYD88	Gene Name	hgnc:7562	MYD88	CGI	5-Jun-23
MLL	Gene Name	hgnc:7132	KMT2A	CGI	5-Jun-23
TPMT	Gene Name	hgnc:12014	TPMT	CGI	5-Jun-23
HRAS	Gene Name	hgnc:5173	HRAS	CGI	5-Jun-23
PDGFB	Gene Name	hgnc:8800	PDGFB	CGI	5-Jun-23
NOTCH2	Gene Name	hgnc:7882	NOTCH2	CGI	5-Jun-23
NPM1	Gene Name	hgnc:7910	NPM1	CGI	5-Jun-23
UGT1A1	Gene Name	hgnc:12530	UGT1A1	CGI	5-Jun-23
NRG1	Gene Name	hgnc:7997	NRG1	CGI	5-Jun-23
IDH1	Gene Name	hgnc:5382	IDH1	CGI	5-Jun-23
SMO	Gene Name	hgnc:11119	SMO	CGI	5-Jun-23
KCNJ5	Gene Name	hgnc:6266	KCNJ5	CGI	5-Jun-23
TSC1	Gene Name	hgnc:12362	TSC1	CGI	5-Jun-23
NOTCH1	Gene Name	hgnc:7881	NOTCH1	CGI	5-Jun-23
SH2B3	Gene Name	hgnc:29605	SH2B3	CGI	5-Jun-23
LRP1B	Gene Name	hgnc:6693	LRP1B	CGI	5-Jun-23
PDGFRA	Gene Name	hgnc:8803	PDGFRA	CGI	5-Jun-23
IDH2	Gene Name	hgnc:5383	IDH2	CGI	5-Jun-23
