gene_symbol,alias_symbol,intersect_point,source
DLK1," Delta1,  pG2,  Pref-1,  ZOG, FA1",FA1,HGNC
FA2H," FLJ25287, FAAH",FAAH,HGNC
FABP5P1,FABP5,FABP5,HGNC
FASN," SDR27X1, FAS",FAS,HGNC
CTDP1,FCP1,FCP1,HGNC
LZTS1,FEZ1,FEZ1,HGNC
HPLH1,FHL1,FHL1,HGNC
FHIT," AP3Aase, FRA3B",FRA3B,HGNC
AFF2,FRAXE,FRAXE,HGNC
FZD9," CD349, FZD3",FZD3,HGNC
GAGE2D,GAGE8,GAGE8,HGNC
GAGE2E,GAGE8,GAGE8,HGNC
GALP,GAL,GAL,HGNC
GAL3ST3,GAL3ST2,GAL3ST2,HGNC
GALNTL6," GalNAc-T6L, GALNT17",GALNT17,HGNC
GALNT15," pp-GalNAc-T15, GALNT7",GALNT7,HGNC
MAP4K2," BL44, GCK",GCK,HGNC
SLC25A16," D10S105E,  HGT.1,  ML7, GDA",GDA,HGNC
GNAI2,GIP,GIP,HGNC
GALK2,GK2,GK2,HGNC
GRM7," GPRC1G,  mGlu7,  MGLUR7,  PPP1R87, GLUR7",GLUR7,HGNC
GYPB," CD235b,  PAS-3,  SS, GPB",GPB,HGNC
DPAGT1," ALG7,  CDG-Ij,  D11S366,  DGPT, GPT",GPT,HGNC
GPRIN1," KIAA1893, GRIN1",GRIN1,HGNC
LGALS12,GRIP1,GRIP1,HGNC
UCMA,GRP,GRP,HGNC
CYCSP5,HCP5,HCP5,HGNC
SOS1," GF1, HGF",HGF,HGNC
HOOK1,HK1,HK1,HGNC
HOOK2,HK2,HK2,HGNC
KIF2A,HK2,HK2,HGNC
HOOK3,HK3,HK3,HGNC
HFE," HFE1, HLA-H",HLA-H,HGNC
DLC1," ARHGAP7,  DLC-1,  p122-RhoGAP,  STARD12, HP",HP,HGNC
MT-HPR,HPR,HPR,HGNC
NRG1," GGF,  NDF, HRG",HRG,HGNC
DHX8," Dhr2,  Prp22,  PRPF22, HRH1",HRH1,HGNC
DHX15," DBP1,  Prp43,  PRPF43,  PrPp43p, HRH2",HRH2,HGNC
HSD17B7P2," bA291L22.1, HSD17B7",HSD17B7,HGNC
GNL1,HSR1,HSR1,HGNC
SEL1L," Hrd3,  SEL1L1, IBD2",IBD2,HGNC
SPPL2A," PSL2, IMP3",IMP3,HGNC
SPPL2B," KIAA1532,  PSL1, IMP4",IMP4,HGNC
SPATA17," CFAP305,  FAP305,  MOT17, IQCH",IQCH,HGNC
SP6," Epfn, KLF14",KLF14,HGNC
KLHL7," RP42,  SBBI26, KLHL6",KLHL6,HGNC
LAMA4,LAMA3,LAMA3,HGNC
SMIM29," MGC57858, LBH",LBH,HGNC
TOX4,LCP1,LCP1,HGNC
EIF2D,LGTN,LGTN,HGNC
L1RE3,LRE3,LRE3,HGNC
CD163," MM130,  SCARI1, M130",M130,HGNC
KLRG1," 2F1,  CLEC15A,  MAFA-L, MAFA",MAFA,HGNC
ERCC2," EM9,  MGC102762,  MGC126218,  MGC126219, MAG",MAG,HGNC
ALPK3," KIAA1330,  Midori, MAK",MAK,HGNC
PRG2," BMPG,  proMBP, MBP",MBP,HGNC
CELSR1," ADGRC1,  CDHF9,  FMI2,  HFMI2, ME2",ME2,HGNC
MBD4,MED1,MED1,HGNC
PRDX3," AOP-1,  SP-22, MER5",MER5,HGNC
MGAM,MGA,MGA,HGNC
MOGAT2," DGAT2L5,  FLJ22644, MGAT2",MGAT2,HGNC
CFAP73,MIA2,MIA2,HGNC
CASP14," caspase-14,  MGC119078,  MGC119079, MICE",MICE,HGNC
AMH," MIS, MIF",MIF,HGNC
TNPO1," IPO2,  MIP1,  TRN, MIP",MIP,HGNC
MIPEP,MIP,MIP,HGNC
MYL1," MLC-1,  MLC1/3,  MLC1F,  MLC3F, MLC1",MLC1,HGNC
LNX1," PDZRN2, MPDZ",MPDZ,HGNC
KIF20B," CT90,  KRMP1, MPP1",MPP1,HGNC
MRPS35," MDS023,  mS35, MRPS28",MRPS28,HGNC
RPS6KA5," RLPK, MSK1",MSK1,HGNC
STK4," KRS2,  YSK3, MST1",MST1,HGNC
MYT1," MYTI,  NZF2,  ZC2H2C1,  ZC2HC4A, MTF1",MTF1,HGNC
MYO1E," HuncM-IC,  MGC104638, MYO1C",MYO1C,HGNC
PKMYT1," PPP1R126, MYT1",MYT1,HGNC
TNIP1," ABIN-1,  KIAA0113,  VAN, NAF1",NAF1,HGNC
NANOGP4,NANOGP2,NANOGP2,HGNC
NANOGP7,NANOGP3,NANOGP3,HGNC
NANOGP2,NANOGP4,NANOGP4,HGNC
ARTN," ENOVIN,  EVN, NBN",NBN,HGNC
GPNMB," HGFIN, NMB",NMB,HGNC
NANOS1," ZC2HC12A, NOS1",NOS1,HGNC
NANOS2," ZC2HC12B, NOS2",NOS2,HGNC
NFE2L1," FLJ00380,  LCR-F1,  NRF-1, NRF1",NRF1,HGNC
NELL2,NRP2,NRP2,HGNC
MLF2,NTN4,NTN4,HGNC
SLC25A21," ODC, ODC1",ODC1,HGNC
SLC25A15," D13S327, ORC1",ORC1,HGNC
PAK6,PAK5,PAK5,HGNC
MYCBP2," FLJ10106,  KIAA0916,  PHR1, PAM",PAM,HGNC
RDH14," SDR7C4, PAN2",PAN2,HGNC
CSAD," CSD, PCAP",PCAP,HGNC
MBD1," CXXC3, PCM1",PCM1,HGNC
PDPK1,PDK1,PDK1,HGNC
PRKD2," DKFZP586E0820,  HSPC187, PKD2",PKD2,HGNC
PXMP2," MPV17L3, PMP22",PMP22,HGNC
PMS2CL,PMS2P13,PMS2P13,HGNC
PPY,PNP,PNP,HGNC
POLQ,POLH,POLH,HGNC
TENT4A," LAK-1,  TRF4,  TRF4-1, POLK",POLK,HGNC
POLK," DINP, POLQ",POLQ,HGNC
HCRT," OX, PPOX",PPOX,HGNC
TAP1," D6S114E,  RING4, PSF1",PSF1,HGNC
TAP2," D6S217E,  RING11, PSF2",PSF2,HGNC
GINS2," Pfs2, PSF2",PSF2,HGNC
PTPRU," FMI,  hPTP-J,  PCP-2,  PTP, PTPRO",PTPRO,HGNC
MB,PVALB,PVALB,HGNC
RAB43," ISY1,  RAB11B, RAB41",RAB41,HGNC
RNASE1,RAC1,RAC1,HGNC
NCOA3," ACTR,  AIB1,  bHLHe42,  CAGH16,  KAT13B,  p/CIP,  SRC-3,  SRC3,  TNRC16,  TRAM-1, RAC3",RAC3,HGNC
RNASE6," RNaseK6, RAD1",RAD1,HGNC
ERCC4," FANCQ, RAD1",RAD1,HGNC
RNASE7,RAE1,RAE1,HGNC
RNASE12,RAI1,RAI1,HGNC
RIN2,RASSF4,RASSF4,HGNC
SEMA3F-AS1,RBM5-AS1,RBM5-AS1,HGNC
ARID4A," RBP-1, RBP1",RBP1,HGNC
E2F1,RBP3,RBP3,HGNC
CNOT9," CAF40,  CT129,  RCD1+, RCD1",RCD1,HGNC
KCTD11," KCASH1, REN",REN,HGNC
RGPD1,RGP1,RGP1,HGNC
RGS18,RGS13,RGS13,HGNC
RHEBP1,RHEB,RHEB,HGNC
INSL6,RIF1,RIF1,HGNC
LRIF1," FLJ11269, RIF1",RIF1,HGNC
INSL3," MGC119818,  MGC119819, RLF",RLF,HGNC
RNASE10," RAH1, RNASE9",RNASE9,HGNC
RNASEH1P1,RNH1,RNH1,HGNC
MAPRE2," EB1,  EB2, RP1",RP1,HGNC
NUDT19,RP2,RP2,HGNC
SREBF2-AS1," 821D11.7, RP5",RP5,HGNC
RPL15," EC45,  eL15,  L15,  RPLY10,  RPYL10, RPL10",RPL10,HGNC
MRPS12," RPSM12,  uS12m, RPS12",RPS12,HGNC
RSC1A1,RS1,RS1,HGNC
RPS11," uS17, S11",S11,HGNC
PSMD7," MOV34,  P40,  Rpn8, S12",S12,HGNC
HTR1B," 5-HT1B,  5-HT1DB,  HTR1D2, S12",S12,HGNC
RPS12," eS12, S12",S12,HGNC
RPS13," uS15, S13",S13,HGNC
PSMD8," HIP6,  HYPF,  Nin1p,  p31,  Rpn12, S14",S14,HGNC
RPS7," eS7, S7",S7,HGNC
RPS8," eS8, S8",S8,HGNC
RPS9," uS4, S9",S9,HGNC
PSMD11," MGC3844,  p44.5,  Rpn6, S9",S9,HGNC
RNF7," CKBBP1,  RBX2,  ROC2, SAG",SAG,HGNC
SF3B3," KIAA0017,  RSE1,  SF3b130, SAP130",SAP130,HGNC
SLC38A2," ATA2,  KIAA1382,  SNAT2, SAT2",SAT2,HGNC
SYCP2,SCP2,SCP2,HGNC
TSEN2," MGC2776,  SEN2L, SEN2",SEN2,HGNC
HGF," F-TCF,  HGFB,  HPTA, SF",SF,HGNC
LYNX1,SLURP2,SLURP2,HGNC
SMOC2,SMAP2,SMAP2,HGNC
SPAAR,SPAR,SPAR,HGNC
SPATS1," FLJ25442,  SRSP1, SPATA8",SPATA8,HGNC
SPG32,SPG29,SPG29,HGNC
SGPP2," FLJ39004, SPP2",SPP2,HGNC
TACR1," NK1R,  NKIR, SPR",SPR,HGNC
SOX9,SRA1,SRA1,HGNC
SRMS," dJ697K14.1,  PTK70, SRM",SRM,HGNC
IL1RL1," DER4,  FIT-1,  IL33R,  ST2L,  ST2V,  T1, ST2",ST2,HGNC
LRP12," FLJ12929, ST7",ST7,HGNC
PMEPA1,STAG1,STAG1,HGNC
GUCY2C," GC-C,  GCC,  HSER, STAR",STAR,HGNC
SEC14L3,TAP2,TAP2,HGNC
TCEA1P2,TCEA1,TCEA1,HGNC
USP2-AS1," gLINC, THY1-AS1",THY1-AS1,HGNC
DDR2,TKT,TKT,HGNC
TMPRSS4," CAP2,  MT-SP2, TMPRSS3",TMPRSS3,HGNC
TNNI3," CMH7,  cTNI, TNNC1",TNNC1,HGNC
THPO," MPLLG, TPO",TPO,HGNC
TRAV1-1," TCRAV1S1,  TCRAV7S1, TRAV11",TRAV11,HGNC
LINC00598," lncFOXO1, TTL",TTL,HGNC
UGT1A1,UGT1A,UGT1A,HGNC
UGT2B4,UGT2B11,UGT2B11,HGNC
USP21,USP16,USP16,HGNC
USP25,USP21,USP21,HGNC
ECEL1," DINE, XCE",XCE,HGNC
ZNF737,ZNF102,ZNF102,HGNC
ZNF106," SH3BP3, ZNF474",ZNF474,HGNC
AANAT,"DSPS, SNAT",DSPS,NCBI Info
AOC1,"ABP, ABP1, DAO, DAO1, KAO, KDAO",DAO,NCBI Info
ASIC2,"ACCN, ACCN1, ASIC2a, BNaC1, BNC1, hBNaC1, MDEG",BNC1,NCBI Info
ACP2,LAP,LAP,NCBI Info
ACTBP8,ACTBP2,ACTBP2,NCBI Info
ACTG1P10,"ACTGP10, ACTL1, ACTP1",ACTP1,NCBI Info
ADAM8,"CD156, CD156a, MS2",MS2,NCBI Info
ADAM10,"AD10, AD18, CD156c, CDw156, HsT18717, kuz, MADM, RAK",AD10,NCBI Info
ADCY8,"AC8, ADCY3, HBAC1",ADCY3,NCBI Info
ADH7,ADH4,ADH4,NCBI Info
ADRA1D,"ADRA1, ADRA1A, ADRA1R, ALPHA1, DAR, dJ779E11.2",ADRA1A,NCBI Info
ADRA2A,"ADRA2, ADRA2R, ADRAR, ALPHA2AAR, FPLD8, ZNF32",ZNF32,NCBI Info
ADSL,"AMPS, ASASE, ASL",ASL,NCBI Info
AFD1,AFDN,AFDN,NCBI Info
AGTR2,"AT2, ATGR2, MRX88",MRX88,NCBI Info
AGXT,"AGT, AGT1, AGXT1, PH1, Ser-PyrAT, SPAT, SPT, TLH6",AGT,NCBI Info
AHSG,"A2HS, AHS, APMR1, FETUA, HSGA",APMR1,NCBI Info
AK4,"AK 4, AK3, AK3L1, AK3L2",AK3,NCBI Info
ABCD1,"ABC42, ALD, ALDP, AMN",AMN,NCBI Info
AKR1B1,"ADR, ALDR1, ALR2, AR",AR,NCBI Info
ALPP,"ALP, ALPI, IAP, PALP, PLAP, PLAP-1",ALPI,NCBI Info
AMH,"MIF, MIS",MIF,NCBI Info
ANG,"ALS9, HEL168, RAA1, RNASE4, RNASE5",RNASE4,NCBI Info
APEX1,"APE, APE1, APEN, APEX, APX, HAP1, REF1",HAP1,NCBI Info
APLP2,"APLP-2, APPH, APPL2, CDEBP",APPL2,NCBI Info
ARCN1,"COPD, SRMMD, SSMG",COPD,NCBI Info
AREG,"AR, AREGB, CRDGF, SDGF",AR,NCBI Info
PHOX2A,"ARIX, CFEOM2, FEOM2, NCAM2, PMX2A",NCAM2,NCBI Info
ART4,"ARTC4, CD297, DO, DO/ART4, DOK1",DOK1,NCBI Info
ATM,"AT1, ATA, ATC, ATD, ATDC, ATE, TEL1, TELO1",ATD,NCBI Info
ATP1A3,"AHC2, ATP1A1, CAPOS, DEE99, DYT12, RDP",ATP1A1,NCBI Info
ATP1A4,"ATP1A1, ATP1AL2",ATP1A1,NCBI Info
ATP2B4,"ATP2B2, MXRA1, PMCA4, PMCA4b, PMCA4x",ATP2B2,NCBI Info
ATRX,"JMS, MRX52, RAD54, RAD54L, XH2, XNP, ZNF-HX",RAD54L,NCBI Info
AZF1,"AZF, AZFA, SP3",SP3,NCBI Info
BCAT2,"BCAM, BCATM, BCT2, HVLI, PP18",BCAM,NCBI Info
BCL6,"BCL5, BCL6A, LAZ3, ZBTB27, ZNF51",BCL5,NCBI Info
HCN2,"BCNG-2, BCNG2, EIG17, FEB2, GEFSP11, HAC-1",FEB2,NCBI Info
BMP1,"OI13, PCOLC, PCP, PCP2, TLD",PCP2,NCBI Info
ZFP36L1,"Berg36, BRF1, cMG1, ERF-1, ERF1, RNF162B, TIS11B",BRF1,NCBI Info
ZFP36L2,"BRF2, ERF-2, ERF2, OOMD13, OZEMA13, RNF162C, TIS11D",BRF2,NCBI Info
KLF5,"BTEB2, CKLF, IKLF",CKLF,NCBI Info
BTF3P11,"BRF3L1, BTF3L1, HUMBTFB, OCIF, OPG, TNFRSF11B",TNFRSF11B,NCBI Info
TSPO,"BPBS, BZRP, DBI, IBP, MBR, mDRC, PBR, PBS, pk18, PKBS, PTBR, TSPO1",DBI,NCBI Info
C4B,"C4B1, C4B12, C4B2, C4B3, C4B5, C4B_2, C4BD, C4F, CH, CO4, CPAMD3",C4B_2,NCBI Info
CAPN5,"ADNIV, HTRA3, nCL-3, VRNI",HTRA3,NCBI Info
CACNA1A,"APCA, BI, CACNL1A4, CAV2.1, DEE42, EA2, EIEE42, FHM, HPCA, MHP, MHP1, SCA6",HPCA,NCBI Info
CACNA1B,"BIII, CACNL1A5, CACNN, Cav2.2, DYT23, NEDNEH",DYT23,NCBI Info
CACNA1C,"CACH2, CACN2, CACNA1C-IT2, CACNL1A1, CaV1.2, CCHL1A1, LQT8, NEDHLSS, TS, TS. LQT8",CACNA1C-IT2,NCBI Info
CACNB4,"CAB4, CACNLB4, EA5, EIG9, EJM, EJM4, EJM6",EJM4,NCBI Info
S100G,"CABP, CABP1, CABP9K, CALB3",CABP1,NCBI Info
CBL,"C-CBL, CBL2, FRA11B, NSLL, RNF55",FRA11B,NCBI Info
CCNA2,"CCN1, CCNA",CCN1,NCBI Info
CD1B,"CD1, CD1A, R1",CD1A,NCBI Info
CD1C,"BDCA1, CD1, CD1A, R7",CD1A,NCBI Info
CD1D,"CD1A, R3, R3G1",CD1A,NCBI Info
CD1E,"CD1A, R2",CD1A,NCBI Info
CD47,"IAP, MER6, OA3",OA3,NCBI Info
CDH15,"CDH14, CDH3, CDHM, MCAD, MRD3",CDH3,NCBI Info
CDH17,"CDH16, HPT-1, HPT1",CDH16,NCBI Info
CDH18,"CDH14, CDH14L, CDH24",CDH24,NCBI Info
CDSN,"HTSS, HTSS1, HYPT2, PSS, PSS1",PSS,NCBI Info
CEL,"BAL, BSDL, BSSL, CEase, CELL, FAP, FAPP, LIPA, MODY8","FAP, LIPA",NCBI Info
CENPCP1,"CENPC, CENPC1P1, CENPC2",CENPC,NCBI Info
CES1,"ACAT, CE-1, CEH, CES2, hCE-1, HMSE, HMSE1, PCE-1, REH, SES1, TGH",CES2,NCBI Info
CGB3,"CGB, CGB5, CGB7, CGB8, hCGB, LHB","CGB5, CGB7, CGB8, LHB",NCBI Info
CEACAMP1,"CEACAM22P, CGM8",CEACAM22P,NCBI Info
CHGA,"CGA, PHE5, PHES",CGA,NCBI Info
CHKB,"CHETK, CHKL, CK, CKB, CKEKB, EK, EKB, MDCMC",CKB,NCBI Info
CHRNE,"ACHRE, CMS1A1, CMS1D, CMS1E, CMS2A, CMS4A, CMS4B, CMS4C, FCCMS, FIM1, FIMG, FIMG1, MGI, SCCMS",FIM1,NCBI Info
CLU,"AAG4, APO-J, APOJ, CLI, CLU1, CLU2, KUB1, NA1/NA2, SGP-2, SGP2, SP-40, TRPM-2, TRPM2",TRPM2,NCBI Info
CLIC2,"CLCNL2, CLIC2b, MRXS32, XAP121",MRXS32,NCBI Info
ACKR2,"CCBP2, CCR10, CCR9, CMKBR9, D6, hD6","CCR10, CCR9",NCBI Info
CNGB1,"CNCG2, CNCG3L, CNCG4, CNG4, CNGB1B, GAR1, GARP, GARP2, RCNC2, RCNCb, RCNCbeta, RP45",GAR1,NCBI Info
CNTN1,"CMYP12, F3, GP135, MYPCN",F3,NCBI Info
COL6A1,"BTHLM1, BTHLM1A, OPLL, UCHMD1, UCHMD1A",OPLL,NCBI Info
CPOX,"COX, CPO, CPX, HARPO, HCP",CPO,NCBI Info
CRABP1,"CRABP, CRABP-I, CRABPI, RBP5",RBP5,NCBI Info
CRAT,"CAT, CAT1, NBIA8",CAT,NCBI Info
CSNK2A2,"CK2A2, CK2alpha', CSNK2A1",CSNK2A1,NCBI Info
CSRP1,"CRP, CRP1, CSRP, CYRP, D1S181E, HEL-141, HEL-S-286",CRP,NCBI Info
CSTB,"CPI-B, CST6, EPM1, EPM1A, PME, STFB, ULD",CST6,NCBI Info
CTAA1,"CAP, CTPP5",CTPP5,NCBI Info
CTSK,"CTS02, CTSO, CTSO1, CTSO2, PKND, PYCD",CTSO,NCBI Info
TEX28,"CXorf2, fTEX, MRX99, TEX28P1, TEX28P2","TEX28P1, TEX28P2",NCBI Info
CYP1A1,"AHH, AHRR, CP11, CYP1, CYPIA1, P1-450, P450-C, P450DX",AHRR,NCBI Info
CYP2A6,"CPA6, CYP2A, CYP2A3, CYPIIA6, P450C2A, P450PB",CPA6,NCBI Info
CYP2B6,"CPB6, CYP2B, CYP2B7, CYP2B7P, CYPIIB6, EFVM, IIB1, P450",CYP2B7P,NCBI Info
CYP2D7,"CYP2D, CYP2D6, CYP2D7AP, CYP2D7P, CYP2D7P1, CYP2D@, P450C2D, P450DB1, RNA40057",CYP2D6,NCBI Info
CYP2D6,"CPD6, CYP2D, CYP2D7AP, CYP2D7BP, CYP2D7P2, CYP2D8P2, CYP2DL1, CYPIID6, P450-DB1, P450C2D, P450DB1",CYP2D7BP,NCBI Info
CYP3A4,"CP33, CP34, CYP3A, CYP3A3, CYPIIIA3, CYPIIIA4, HLP, NF-25, P450C3, P450PCN1, VDDR3",HLP,NCBI Info
CYP11B1,"CPN1, CYP11B, FHI, P450C11",CPN1,NCBI Info
CYP11B2,"ALDOS, CPN2, CYP11B, CYP11BL, CYPXIB2, P-450C18, P450aldo, P450C18",CPN2,NCBI Info
CYP21A2,"CA21H, CAH1, CPS1, CYP21, CYP21B, P450c21B",CPS1,NCBI Info
CYP27B1,"CP2B, CYP1, CYP1alpha, CYP27B, P450c1, PDDR, VDD1, VDDR, VDDRI, VDR",VDR,NCBI Info
DAXX,"BING2, DAP6, EAP1, SMIM40",SMIM40,NCBI Info
AKR1C1,"2-ALPHA-HSD, 20-ALPHA-HSD, C9, DD1, DD1/DD2, DDH, DDH1, H-37, HAKRC, HBAB, MBAB",C9,NCBI Info
AKR1C2,"AKR1C-pseudo, BABP, DD, DD-2, DD/BABP, DD2, DDH2, HAKRD, HBAB, MCDR2, SRXY8, TDD",DDH2,NCBI Info
DDIT3,"AltDDIT3, C/EBPzeta, CEBPZ, CHOP, CHOP-10, CHOP10, GADD153",CEBPZ,NCBI Info
DDOST,"AGER1, CDG1R, GATD6, OKSWcl45, OST, OST48, WBP1",WBP1,NCBI Info
DHX8,"DDX8, Dhr2, HRH1, PRP22, PRPF22",HRH1,NCBI Info
DDX11,"CHL1, CHLR1, KRG2, WABS",CHL1,NCBI Info
DEFA6,"DEF6, HD-6",DEF6,NCBI Info
DFFB,"CAD, CPAN, DFF-40, DFF2, DFF40",CAD,NCBI Info
DHFR,"DHFR1, DHFRP1, DYR",DHFRP1,NCBI Info
DMBT1,"GP340, muclin, SAG, SALSA",SAG,NCBI Info
DXO,"DOM3L, DOM3Z, NG6, RAI1",RAI1,NCBI Info
DPAGT1,"ALG7, CDG-Ij, CDG1J, CMS13, CMSTA2, D11S366, DGPT, DPAGT, DPAGT2, G1PT, GPT, UAGT, UGAT",GPT,NCBI Info
DPEP1,"MBD1, MDP, RDP",MBD1,NCBI Info
DPYSL2,"CRMP-2, CRMP2, DHPRP2, DRP-2, DRP2, N2A3, ULIP-2, ULIP2",DRP2,NCBI Info
DSC2,"ARVD11, CDHF2, DG2, DGII/III, DSC3",DSC3,NCBI Info
DSC3,"CDHF3, DSC, DSC1, DSC2, DSC4, HT-CP","DSC1, DSC2",NCBI Info
DSCAM,"CHD2, CHD2-42, CHD2-52",CHD2,NCBI Info
RCAN1,"ADAPT78, CSP1, DSC1, DSCR1, MCIP1, RCN1","CSP1, DSC1, RCN1",NCBI Info
TSC22D3,"DIP, DSIPI, GILZ, TSC-22R",DIP,NCBI Info
DSPP,"DFNA39, DGI1, DMP3, DPP, DSP",DSP,NCBI Info
DVL1,"DRS2, DVL, DVL1L1, DVL1P1",DVL1P1,NCBI Info
E2F1,"E2F-1, RBAP1, RBBP3, RBP3",RBP3,NCBI Info
EDN1,"ARCND3, ET1, HDLCQ7, PPET1, QME",HDLCQ7,NCBI Info
EEF2,"EEF-2, EF-2, EF2, SCA26",SCA26,NCBI Info
EIF2D,"HCA56, LGTN",LGTN,NCBI Info
EFNA1,"B61, ECKLG, EFL1, EPLG1, GMAN, LERK-1, LERK1, TNFAIP4",EFL1,NCBI Info
EFNA5,"AF1, EFL5, EPLG7, GLC1M, LERK7, RAGS",GLC1M,NCBI Info
EGR1,"AT225, G0S30, KROX-24, NGFI-A, TIS8, ZIF-268, ZNF225",ZNF225,NCBI Info
EHHADH,"ECHD, FRTS3, L-PBE, LBFP, LBP, MFE1, PBFE",LBP,NCBI Info
EIF2S1,"EIF-2, EIF-2A, EIF-2alpha, EIF2, EIF2A",EIF2A,NCBI Info
EIF4G2,"AAG1, DAP5, NAT1, P97",NAT1,NCBI Info
ENO1,"ENO1-IT1, ENO1L1, HEL-S-17, MPB1, NNE, PPH",ENO1-IT1,NCBI Info
ENO3,"GSD13, MSE",MSE,NCBI Info
EPAS1,"bHLHe73, ECYT4, HIF2A, HLF, MOP2, PASD2",HLF,NCBI Info
ERCC4,"ERCC11, FANCQ, RAD1, XFEPS, XPF",RAD1,NCBI Info
ETF1,"D5S1995, ERF, ERF1, RF1, SUP45L1, TB3-1",ERF,NCBI Info
ETFA,"EMA, GA2, MADD",MADD,NCBI Info
ETFB,"FP585, MADD",MADD,NCBI Info
ETFDH,"ETFQO, MADD",MADD,NCBI Info
EXT3,EXT2,EXT2,NCBI Info
EYA1,"BOP, BOR, BOS1, OFC1, OTFCS",OFC1,NCBI Info
