ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,alias_symbol
ENSG00000005187,ACSM3,10522,6296,"SA, SAH"
ENSG00000005189,REXO5,24661,81691,NEF-SP
ENSG00000005194,CIAPIN1,28050,57019,CIAE2
ENSG00000005206,SPPL2B,30627,56928,"IMP4, KIAA1532, PSL1"
ENSG00000005238,ATOSB,25666,80256,"BA182N22.6, FAM214B, FLJ11560, KIAA1539"
ENSG00000005243,COPZ2,19356,51226,MGC23008
ENSG00000005249,PRKAR2B,9392,5577,PRKAR2
ENSG00000005302,MSL3,7370,10943,MSL3L1
ENSG00000005339,CREBBP,2348,1387,"CBP, KAT3A, RSTS, RTS"
ENSG00000005379,TSPOAP1,16831,9256,"BZRAP1, KIAA0612, PRAX-1, RIM-BP1, RIMBP1"
ENSG00000005381,MPO,7218,4353,
ENSG00000005421,PON1,9204,5444,"ESA, PON"
ENSG00000005436,GCFC2,1317,6936,"C2ORF3, DNABF, GCF, TCF9"
ENSG00000005448,WDR54,25770,84058,FLJ12953
ENSG00000005469,CROT,2366,54677,COT
ENSG00000005471,ABCB4,45,5244,"GBD1, MDR2, MDR3, PFIC-3, PGY3"
ENSG00000005483,KMT2E,18541,55904,"HDCMC04P, MLL5, SETD5B"
ENSG00000005486,RHBDD2,23082,57414,"NPD007, RHBDL7"
ENSG00000005513,SOX8,11203,30812,
ENSG00000005700,IBTK,17853,25998,"BTBD26, BTKI, DKFZP564B116"
ENSG00000005801,ZNF195,12986,7748,
ENSG00000005810,MYCBP2,23386,23077,"FLJ10106, KIAA0916, PAM, PHR1"
ENSG00000005812,FBXL3,13599,26224,"FBL3, FBL3A, FBXL3A"
ENSG00000005844,ITGAL,6148,3683,"CD11A, LFA-1, LFA1A"
ENSG00000005882,PDK2,8810,5164,PDHK2
ENSG00000005884,ITGA3,6139,3675,"CD49C, GAP-B3, MSK18, VCA-2, VLA3A"
ENSG00000005889,ZFX,12869,7543,ZNF926
ENSG00000005893,LAMP2,6501,3920,CD107B
ENSG00000005961,ITGA2B,6138,3674,"CD41, CD41B, GP2B, GPIIB, PPP1R93"
ENSG00000005981,ASB4,16009,51666,ASB-4
ENSG00000006007,GDE1,29644,51573,MIR16
ENSG00000006015,REX1BD,26098,55049,"C19ORF60, FLJ20850, FLJ30108, FLJ34606, FLJ37391"
ENSG00000006016,CRLF1,2364,9244,"CISS, CISS1, CLF, CLF-1"
ENSG00000006025,OSBPL7,16387,114881,"MGC71150, ORP7"
ENSG00000006042,TMEM98,24529,26022,DKFZP564K1964
ENSG00000006047,YBX2,17948,51087,"CONTRIN, CSDA3, MSY2"
ENSG00000006059,KRT33A,6450,3883,"HA-3I, KRT1-3, KRTHA3A"
ENSG00000006062,MAP3K14,6853,9020,"FTDCR1B, HS, HSNIK, NIK"
ENSG00000006071,ABCC8,59,6833,"ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, TNDM2"
ENSG00000006116,CACNG3,1407,10368,
ENSG00000006118,TMEM132A,31092,54972,"FLJ20539, GBP, HSPA5BP1"
ENSG00000006125,AP2B1,563,163,"ADTB2, CLAPB1"
ENSG00000006128,TAC1,11517,6863,"NKNA, NPK, TAC2"
ENSG00000006194,ZNF263,13056,10127,"FPM315, ZKSCAN12, ZSCAN44"
ENSG00000006210,CX3CL1,10647,6376,"ABCD-3, C3XKINE, CXC3, CXC3C, NTN, SCYD1"
ENSG00000006282,SPATA20,26125,64847,"FLJ21347, SSP411, TISP78"
ENSG00000006283,CACNA1G,1394,8913,"CAV3.1, NBR13"
ENSG00000006327,TNFRSF12A,18152,51330,"CD266, FN14, TWEAKR"
ENSG00000006377,DLX6,2919,1750,
ENSG00000006432,MAP3K9,6861,4293,"MEKK9, MLK1, PRKE1"
ENSG00000006451,RALA,9839,5898,RAL
ENSG00000006453,BAIAP2L1,21649,55971,IRTKS
ENSG00000006459,KDM7A,22224,80853,"JHDM1D, KIAA1718"
ENSG00000006468,ETV1,3490,2115,ER81
ENSG00000006530,AGK,21869,55750,"FLJ10842, MULK"
ENSG00000006534,ALDH3B1,410,221,ALDH7
ENSG00000006555,TTC22,26067,55001,FLJ20619
ENSG00000006576,PHTF2,13411,57157,DKFZP434D166
ENSG00000006606,CCL26,10625,10344,"EOTAXIN-3, IMAC, MIP-4A, MIP-4ALPHA, SCYA26, TSC-1"
ENSG00000006607,FARP2,16460,9855,"FIR, FRG, KIAA0793, PLEKHC3"
ENSG00000006611,USH1C,12597,10083,"AIE-75, DFNB18, HARMONIN, NY-CO-37, NY-CO-38, PDZ-73, PDZ73, PDZD7C"
ENSG00000006625,GGCT,21705,79017,"C7ORF24, CRF21, GCTG, GGC, MGC3077"
ENSG00000006634,DBF4,17364,10926,"ASK, CHIF, DBF4A, ZDBF1"
ENSG00000006638,TBXA2R,11608,6915,
ENSG00000006652,IFRD1,5456,3475,"PC4, TIS7"
ENSG00000006659,LGALS14,30054,56891,"CLC2, PPL13"
ENSG00000006695,COX10,2260,1352,
ENSG00000006704,GTF2IRD1,4661,9569,"BEN, CREAM1, GTF3, MUSTRD1, RBAP2, WBSCR11, WBSCR12"
ENSG00000006712,PAF1,25459,54623,"F23149_1, FLJ11123, PD2"
ENSG00000006715,VPS41,12713,27072,HVSP41
ENSG00000006740,ARHGAP44,29096,9912,"KIAA0672, RICH-2, RICH2"
ENSG00000006744,ELAC2,14198,60528,"FLJ10530, HPC2"
ENSG00000006747,SCIN,21695,85477,KIAA1905
ENSG00000006756,ARSD,717,414,ASD
ENSG00000006757,PNPLA4,24887,8228,"DXS1283E, GS2, IPLA2ETA"
ENSG00000006788,MYH13,7571,8735,MYHC-EO
ENSG00000006831,ADIPOR2,24041,79602,"ACDCR2, PAQR2"
ENSG00000006837,CDKL3,15483,51265,NKIAMRE
ENSG00000007001,UPP2,23061,151531,"UDRPASE2, UP2, UPASE2"
ENSG00000007038,PRSS21,9485,10942,"ESP-1, TEST1"
ENSG00000007047,MARK4,13538,57787,"FLJ90097, KIAA1860, MARKL1, NBLA00650, PAR-1D"
ENSG00000007062,PROM1,9454,8842,"AC133, CD133, CORD12, MCDR2, PROML1, RP41, STGD4"
ENSG00000007080,CCDC124,25171,115098,"LSO2, OXS1"
ENSG00000007129,CEACAM21,28834,90273,"FLJ13540, R29124_1"
ENSG00000007168,PAFAH1B1,8574,5048,"LIS1, MDCR, MDS, NUDF, PAFAH"
ENSG00000007171,NOS2,7873,4843,"HEP-NOS, INOS, NOS, NOS2A"
ENSG00000007174,DNAH9,2953,1770,"DNAH17L, DNAHC9, DNAL1, DYH9, HL-20, HL20, KIAA0357"
ENSG00000007202,BLTP2,28960,9703,"BCOX, BCOX1, CT101, DKFZP686M0843, FMP27, HOB, KIAA0100, MGC111488"
ENSG00000007216,SLC13A2,10917,9058,NADC-1
ENSG00000007237,GAS7,4169,8522,"KIAA0394, MGC1348"
ENSG00000007255,TRAPPC6A,23069,79090,"HSPC289, MGC2650, TRS33"
ENSG00000007264,MATK,6906,4145,"CHK, CTK, DKFZP434N1212, HHYLTK, HYL, HYLTK, LSK, MGC1708, MGC2101"
ENSG00000007306,CEACAM7,1819,1087,"CEA, CGM2"
ENSG00000007312,CD79B,1699,974,"B29, IG-BETA, IGB, IGBETA"
ENSG00000007314,SCN4A,10591,6329,"HYKPP, HYPP, NAV1.4, SKM1"
ENSG00000007341,ST7L,18441,54879,"FAM4B, FLJ20284, ST7R, STLR"
ENSG00000007350,TKTL1,11835,8277,"TKR, TKT2"
ENSG00000007372,PAX6,8620,5080,"AN, AN1, AN2, D11S812E, WAGR"
ENSG00000007376,RPUSD1,14173,113000,"C16ORF40, MGC19600, RLUCL"
ENSG00000007384,RHBDF1,20561,64285,"C16ORF8, DIST1, EGFR-RS, FLJ2235, IRHOM1"
ENSG00000007392,LUC7L,6723,55692,"HLUC7B1, LUC7, LUC7B1"
ENSG00000007402,CACNA2D2,1400,9254,"ALPHA2DELTA-2, KIAA0558"
ENSG00000007516,BAIAP3,948,8938,"BAP3, KIAA0734"
ENSG00000007520,TSR3,14175,115939,"C16ORF42, MGC24381"
ENSG00000007541,PIGQ,14135,9091,"GPI1, HGPI1"
ENSG00000007545,CRAMP1,14122,57585,"CRAMP1L, KIAA1426"
ENSG00000007866,TEAD3,11716,7005,"ETFR-1, TEAD5, TEF-5"
ENSG00000007908,SELE,10718,6401,"CD62E, ELAM, ELAM1, ESEL"
ENSG00000007923,DNAJC11,25570,55735,FLJ10737
ENSG00000007933,FMO3,3771,2328,FMOII
ENSG00000007944,MYLIP,21155,29116,"IDOL, MIR"
ENSG00000007952,NOX1,7889,27035,"GP91-2, MOX1, NOH-1, NOH-1L, NOH1"
ENSG00000007968,E2F2,3114,1870,E2F-2
ENSG00000008018,PSMB1,9537,5689,"HC5, PMSB1"
ENSG00000008056,SYN1,11494,6853,MRX50
ENSG00000008083,JARID2,6196,3720,JMJ
ENSG00000008086,CDKL5,11411,6792,"CFAP247, EIEE2, STK9"
ENSG00000008118,CAMK1G,14585,57172,"CLICKIII, DJ272L16.1, VWS1"
ENSG00000008128,CDK11A,1730,728642,"CDC2L2, CDC2L3, CDK11-P110, CDK11-P46, CDK11-P58, P58GTA, PITSLRE"
ENSG00000008130,NADK,29831,65220,"FLJ13052, NADK1"
ENSG00000008196,TFAP2B,11743,7021,"AP-2BETA, AP2-B"
ENSG00000008197,TFAP2D,15581,83741,"AP-2DELTA, TFAP2BL1"
ENSG00000008226,DLEC1,2899,9940,"CFAP81, DLC1, FAP81"
ENSG00000008256,CYTH3,9504,9265,"ARNO3, CYTOHESIN-3, GRP1, PSCD3"
ENSG00000008277,ADAM22,201,53616,MDC2
ENSG00000008282,SYPL1,11507,6856,SYPL
ENSG00000008283,CYB561,2571,1534,"CGCYTB, CYB561A1, FRRS2"
ENSG00000008294,SPAG9,14524,9043,"CT89, FLJ13450, FLJ14006, FLJ26141, FLJ34602, HLC4, HSS, JIP-4, JIP4, JLP, KIAA0516, MGC117291, MGC14967, MGC74461, PHET, PIG6, SYD1"
ENSG00000008300,CELSR3,3230,1951,"ADGRC3, CDHF11, EGFL1, FMI1, HFMI1, MEGF2"
ENSG00000008311,AASS,17366,10157,"LKRSDH, LORSDH"
ENSG00000008323,PLEKHG6,25562,55200,"ARHGEF46, FLJ10665, MYOGEF"
ENSG00000008324,SS18L2,15593,51188,KIAA-ISO
ENSG00000008382,MPND,25934,84954,FLJ14981
ENSG00000008394,MGST1,7061,4257,"GST12, MGST-I, PMAN"
ENSG00000008405,CRY1,2384,1407,PHLL1
ENSG00000008438,PGLYRP1,8904,8993,"PGLYRP, PGRP, PGRP-S, PGRPS, TAG7, TNFSF3L"
ENSG00000008441,NFIX,7788,4784,NF1A
ENSG00000008513,ST3GAL1,10862,6482,"SIAT4A, SIATFL, ST3GALA.1, ST3O"
ENSG00000008516,MMP25,14246,64386,"MMP20, MMPL1, MT6-MMP"
ENSG00000008517,IL32,16830,9235,"NK4, TAIF, TAIFB, TAIFD"
ENSG00000008710,PKD1,9008,5310,"PBP, PC-1, TRPP1"
ENSG00000008735,MAPK8IP2,6883,23542,"IB2, JIP2, PRKM8IPL"
ENSG00000008838,MED24,22963,9862,"CRSP100, CRSP4, DRIP100, KIAA0130, MED5, THRAP4, TRAP100"
ENSG00000008853,RHOBTB2,18756,23221,"DBC2, KIAA0717"
ENSG00000008869,HEATR5B,29273,54497,"DKFZP686P15184, KIAA1414, P200, P200A"
ENSG00000008952,SEC62,11846,7095,"DTRP1, HTP1, TLOC1"
ENSG00000008988,RPS20,10405,6224,"S20, US10"
ENSG00000009307,CSDE1,29905,7812,"D1S155E, UNR"
ENSG00000009335,UBE3C,16803,9690,"KIAA0010, KIAA10"
ENSG00000009413,REV3L,9968,5980,"POLZ, REV3"
ENSG00000009694,TENM1,8117,10178,"ODZ1, ODZ3, TEN-M1, TEN1, TNM"
ENSG00000009709,PAX7,8621,5081,HUP1
ENSG00000009724,MASP2,6902,10747,"MAP-2, MAP19, MASP1P1, SMAP"
ENSG00000009765,IYD,21071,389434,"C6ORF71, DEHAL1, DJ422F24.1"
ENSG00000009780,FAM76A,28530,199870,MGC34648
ENSG00000009790,TRAF3IP3,30766,80342,T3JAM
ENSG00000009830,POMT2,19743,29954,LGMD2N
ENSG00000009844,VTA1,20954,51534,"C6ORF55, HSPC228, MY012"
ENSG00000009950,MLXIPL,12744,51085,"BHLHD14, CHREBP, MIO, MONDOB, WBSCR14, WS-BHLH"
ENSG00000009954,BAZ1B,961,9031,"WBSCR10, WBSCR9, WSTF"
ENSG00000010017,RANBP9,13727,10048,RANBPM
ENSG00000010030,ETV7,18160,51513,"TEL-2, TEL2"
ENSG00000010072,SPRTN,25356,83932,"C1ORF124, DKFZP547N043, DVC1, SPARTAN"
ENSG00000010165,METTL13,24248,51603,"CGI-01, DFNM1, EEF1AKNMT, FEAT, KIAA0859"
ENSG00000010219,DYRK4,3095,8798,
ENSG00000010244,ZNF207,12998,7756,BUGZ
ENSG00000010256,UQCRC1,12585,7384,"D3S3191, QCR1, UQCR1"
ENSG00000010270,STARD3NL,19169,83930,"MENTHO, MGC3251"
ENSG00000010278,CD9,1709,928,"BA2, MIC3, MRP-1, P24, TSPAN29"
ENSG00000010282,HHATL,13242,57467,"C3ORF3, GUP1, KIAA1173, MBOAT3, MSTP002, OACT3"
ENSG00000010292,NCAPD2,24305,9918,"CAP-D2, CNAP1, HCAP-D2, KIAA0159"
ENSG00000010295,IFFO1,24970,25900,"HOM-TES-103, IFFO"
ENSG00000010310,GIPR,4271,2696,
ENSG00000010318,PHF7,18458,51533,"HSPC226, NYD-SP6"
ENSG00000010319,SEMA3G,30400,56920,"FLJ00014, SEM2"
ENSG00000010322,NISCH,18006,11188,"I-1, IRAS, KIAA0975"
ENSG00000010327,STAB1,18628,23166,"CLEVER-1, FEEL-1, FELE-1, FEX1, KIAA0246, SCARH2, STAB-1"
ENSG00000010361,FUZ,26219,80199,"CPLANE3, FLJ22688, FY"
ENSG00000010379,SLC6A13,11046,6540,GAT2
ENSG00000010404,IDS,5389,3423,"ID2S, SIDS"
ENSG00000010438,PRSS3,9486,5646,"PRSS4, TRY3, TRY4"
ENSG00000010539,ZNF200,12993,7752,
ENSG00000010610,CD4,1678,920,"LEU-3, T4"
ENSG00000010626,LRRC23,19138,10233,"B7, LRPB7"
ENSG00000010671,BTK,1133,695,"AGMX1, ATK, IMD1, PSCTK1, XLA"
ENSG00000010704,HFE,4886,3077,"HFE1, HLA-H"
ENSG00000010803,SCMH1,19003,22955,SCML3
ENSG00000010810,FYN,4037,2534,"MGC45350, SLK, SYN"
ENSG00000010818,HIVEP2,4921,3097,"HIV-EP2, MBP-2, MIBP1, SCHNURRI-2, ZAS2, ZNF40B"
ENSG00000010932,FMO1,3769,2326,
ENSG00000011007,ELOA,11620,6924,"ELOA1, SIII, TCEB3, TCEB3A"
ENSG00000011009,LYPLA2,6738,11313,APT-2
ENSG00000011021,CLCN6,2024,1185,"CLC-6, KIAA0046"
ENSG00000011028,MRC2,16875,9902,"CD280, CLEC13E, ENDO180, KIAA0709"
ENSG00000011052,NME1-NME2,33531,654364,"NM23-LV, NMELV"
ENSG00000011083,SLC6A7,11054,6534,PROT
ENSG00000011105,TSPAN9,21640,10867,NET-5
ENSG00000011114,BTBD7,18269,55727,"FLJ10648, FUP1"
ENSG00000011132,APBA3,580,9546,"MINT3, X11L2"
ENSG00000011143,MKS1,7121,54903,"BBS13, FLJ20345, MKS, POC12"
ENSG00000011198,ABHD5,21396,51099,"CGI-58, NCIE2"
ENSG00000011201,ANOS1,6211,3730,"ADMLX, KAL, KAL1, KALIG-1, WFDC19"
ENSG00000011243,AKAP8L,29857,26993,"HAP95, NAKAP95"
ENSG00000011258,MBTD1,19866,54799,"FLJ20055, SA49P01"
ENSG00000011260,UTP18,24274,51096,"CGI-48, WDR50"
ENSG00000011275,RNF216,21698,54476,"TRIAD3, UBCE7IP1, ZIN"
ENSG00000011295,TTC19,26006,54902,"FLJ20343, MGC19520"
ENSG00000011304,PTBP1,9583,5725,"HNRNP-I, HNRPI, PPTB, PTB, PTB-1, PTB2, PTB3, PTB4"
ENSG00000011332,DPF1,20225,8193,"BAF45B, NEUD4, NEURO-D4, SMARCG1"
ENSG00000011347,SYT7,11514,9066,"IPCA-7, MGC150517, PCANAP7, SYT-VII"
ENSG00000011376,LARS2,17095,23395,"KIAA0028, LEURS, MGC26121, MTLEURS"
ENSG00000011405,PIK3C2A,8971,5286,PI3K-C2ALPHA
ENSG00000011422,PLAUR,9053,5329,"CD87, UPAR, URKR"
ENSG00000011426,ANLN,14082,54443,"ANILLIN, SCRA, SCRAPS"
ENSG00000011451,WIZ,30917,58525,ZNF803
ENSG00000011454,RABGAP1,17155,23637,"GAPCENA, TBC1D11"
ENSG00000011465,DCN,2705,1634,"DSPG2, SLRR1B"
ENSG00000011478,QPCTL,25952,54814,FLJ20084
ENSG00000011485,PPP5C,9322,5536,"PP5, PPP5"
ENSG00000011523,CEP68,29076,23177,KIAA0582
ENSG00000011566,MAP4K3,6865,8491,"GLK, MAPKKKK3, RAB8IPL1"
ENSG00000011590,ZBTB32,16763,27033,"FAXF, FAZF, MYNN, ROG, TZFP, ZNF538"
ENSG00000011600,TYROBP,12449,7305,"DAP12, KARAP, PLO-SL, PLOSL"
ENSG00000011638,LDAF1,30136,57146,"PROMETHIN, TMEM159"
ENSG00000011677,GABRA3,4077,2556,
ENSG00000012048,BRCA1,1100,672,"BRCC1, FANCS, PPP1R53, RNF53"
ENSG00000012061,ERCC1,3433,2067,RAD10
ENSG00000012124,CD22,1643,933,"SIGLEC-2, SIGLEC2"
ENSG00000012171,SEMA3B,10724,7869,"LUCA-1, SEMA, SEMA5, SEMAA, SEMAV"
ENSG00000012174,MBTPS2,15455,51360,"KFSD, S2P"
ENSG00000012211,PRICKLE3,6645,4007,LMO6
ENSG00000012223,LTF,6720,4057,HLF2
ENSG00000012232,EXTL3,3518,2137,"BOTV, REGR"
ENSG00000012504,NR1H4,7967,9971,"FXR, HRR-1, HRR1, RIP14"
ENSG00000012660,ELOVL5,21308,60481,"DJ483K16.1, HELO1, SCA38"
ENSG00000012779,ALOX5,435,240,5-LOX
ENSG00000012817,KDM5D,11115,8284,"HY, HYA, JARID1D, KIAA0234, SMCY"
ENSG00000012822,CALCOCO1,29306,57658,"CALPHOGLIN, COCOA, KIAA1536"
ENSG00000012963,UBR7,20344,55148,C14ORF130
ENSG00000012983,MAP4K5,6867,11183,"GCKR, KHS, KHS1"
ENSG00000013016,EHD3,3244,30845,PAST3
ENSG00000013275,PSMC4,9551,5704,"MGC13687, MGC23214, MGC8570, MIP224, RPT3, S6, TBP-7, TBP7"
ENSG00000013288,MAN2B2,29623,23324,"EPMAN, KIAA0935"
ENSG00000013293,SLC7A14,29326,57709,"KIAA1613, PPP1R142"
ENSG00000013297,CLDN11,8514,5010,"OSP, OTM"
ENSG00000013306,SLC25A39,24279,51629,"CGI-69, FLJ22407"
ENSG00000013364,MVP,7531,9961,"LRP, VAULT1"
ENSG00000013374,NUB1,17623,51667,"BS4, NUB1L, NYREN18"
ENSG00000013375,PGM3,8907,5238,"AGM1, DKFZP434B187, PAGM"
ENSG00000013392,RWDD2A,21385,112611,"DJ747H23.2, MGC13523, RWDD2"
ENSG00000013441,CLK1,2068,1195,
ENSG00000013503,POLR3B,30348,55703,"C128, FLJ10388, RPC2"
ENSG00000013523,ANGEL1,19961,23357,"CCR4E, KIAA0759"
ENSG00000013561,RNF14,10058,9604,"ARA54, HFB30, TRIAD2"
ENSG00000013563,DNASE1L1,2957,1774,"DNAS1L1, DNASEX, DNL1L, XIB"
ENSG00000013573,DDX11,2736,1663,"CHL1, CHLR1, KRG-2, WABS"
ENSG00000013583,HEBP1,17176,50865,"HBP, HEBP"
ENSG00000013588,GPRC5A,9836,9052,"PEIG-1, RAI3, RAIG1, TIG1"
ENSG00000013619,MAMLD1,2568,10046,"CG1, CXORF6, F18"
ENSG00000013725,CD6,1691,923,TP120
ENSG00000013810,TACC3,11524,10460,"ERIC-1, ERIC1, MASKIN, TACC4"
ENSG00000014123,UFL1,23039,23376,"KIAA0776, MAXER, NLBP, RCAD"
ENSG00000014138,POLA2,30073,23649,FLJ21662
ENSG00000014164,ZC3H3,28972,23144,"KIAA0150, ZC3HDC3"
ENSG00000014216,CAPN1,1476,823,"CANP, CANPL1, MUCANP, MUCL"
ENSG00000014257,ACP3,125,55,"ACP-3, ACPP, PAP, TM-PAP"
ENSG00000014641,MDH1,6970,4190,
ENSG00000014824,SLC30A9,1329,10463,"C4ORF1, GAC63, HUEL, ZNT9"
ENSG00000014914,MTMR11,24307,10903,CRA
ENSG00000014919,COX15,2263,1355,CEMCOX2
ENSG00000015133,CCDC88C,19967,440193,"DAPLE, HKRP2, KIAA1509, SCA40"
ENSG00000015153,YAF2,17363,10138,
