,alias_symbol,num_gene_records
769, VPS55,2
770, VRP,2
674, TASP,2
771, VWS1,2
772, WAGR,2
773, WBSCR20B,2
774, WWP4,2
775, XAP4,2
776, YDR084C,2
777, YMR292W,2
672, TAO1,2
778, ZAC,2
707, TPC,2
779, ZAP,2
670, TAK1,2
780, ZC2HC5,2
781, ZFP27,2
669, TAFII105,2
667, SYT14L,2
767, VPP2,2
676, TBP1,2
677, TCEB1L,2
685, TDE2,2
753, ULG5,2
754, UNG2,2
756, UP2,2
688, TER,2
758, UT2,2
687, TEL2,2
686, TDGF2,2
759, V1S5P,2
760, VATB,2
684, TCRGV,2
678, TCRAV4S1,2
683, TCRGC2,2
682, TCRGC1,2
762, VMA2,2
681, TCRG,2
680, TCRBV2S1,2
679, TCRBV21S1,2
763, VMA4,2
764, VMA5,2
765, VMA6,2
0, ACC1,2
867,ATP6G,2
835,AN,2
1039,H2A.B.1,2
1047,HC3,2
1046,HC2,2
1043,HA-2,2
1042,HA-1,2
1041,H3.1,2
1040,H3,2
1038,H2A.1,2
989,DK1,2
1037,GSTAP2,2
1036,GPRK7,2
1035,GNT1,2
1032,GCS,2
1031,GCN5,2
1030,GCL,2
1048,HC5,2
1049,HC8,2
1050,HCCA2,2
1051,HCNP,2
1053,HGL,2
1054,HK1,2
1056,HK4,2
1057,HL,2
1058,HNRNP-G,2
1059,HOP,2
1064,HRG4,2
1065,HRMT1L3,2
1066,HRS,2
1067,HSDJ0798C17,2
1068,HSST2,2
1069,IAP,2
1070,IFN-ALPHAI,2
1029,GC1,2
1028,GBP,2
1027,GAL7,2
1006,ER,2
991,DPK,2
992,DTR,2
993,DUP,2
994,DUSP24,2
995,E1,2
996,E4,2
997,EAP1,2
998,EB1,2
999,EEF1AL,2
1001,EIF2,2
1002,EMAP-2,2
1003,EMC19,2
1004,EMT,2
1005,EOS,2
1007,ERIS,2
1026,G17,2
1008,ES31,2
1010,ETK,2
1012,FAST,2
1013,FBL2,2
1014,FBL4,2
1015,FBL6,2
1017,FBS,2
1018,FE,2
1019,FETA,2
1021,FIR,2
1022,FLJ10052,2
1023,FLJ20375,2
1024,FP,2
1025,FRP,2
1072,IL-21,2
1074,INT4,2
1075,J1,2
1131,SAS,2
1116,PCL,2
1117,PLA2L,2
1118,PNR,2
1119,POP2,2
1120,POTE2BETA,2
1121,PP5,2
1122,PPP1R6,2
1123,PR,2
1124,PRKAR2,2
1126,RAB1,2
1127,RAGE,2
1128,RIP,2
1129,RNF35,2
1130,RNU1-8,2
1132,SBBI31,2
1114,P58,2
1133,SCA31,2
1134,SDH,2
1135,SIII,2
1136,SKIP,2
1138,SYM1,2
1139,TCRAV17S1,2
1140,TCRAV25S1,2
1141,TCRAV31S1,2
1142,TCRBV13S1,2
1143,TCRBV14S1,2
1144,TCRBV15S1,2
1145,TCRGV5P,2
1146,TGT,2
1147,UBC7,2
1115,PABP3,2
1113,P56,2
1076,J2,2
1092,MTTF1,2
1077,JDP1,2
1078,K12,2
1079,L6,2
1080,LAP,2
1081,LOR,2
1082,LSH,2
1083,M130,2
1084,MAT1,2
1085,MCSP,2
1086,MCT3,2
1087,MIFR,2
1088,MOX1,2
1089,MPP6,2
1090,MSS4,2
1094,NBC3,2
1112,P55,2
1095,NF1HHS,2
1096,NP,2
1097,OCT1,2
1098,OCT2,2
1099,ODC,2
1100,OFD1P2,2
1101,OI4,2
1102,OR11-11A,2
1105,P17,2
1106,P23,2
1107,P24,2
1109,P28,2
1110,P42,2
1111,P52,2
990,DOC-1,2
988,DIP,2
836,ANG2,2
882,BAT1,2
888,BCD541,2
887,BCD1,2
886,BCAP,2
885,BBP,2
884,BB2,2
883,BB1,2
881,BART,2
987,DIFF6,2
880,BAF190,2
879,BA548K23.1,2
878,B9,2
877,B7-H5,2
876,B3GN-T1,2
875,B37,2
889,BDP,2
890,BETA-4,2
891,BETA2,2
892,BFNC,2
893,BOP,2
894,BOR,2
895,BRCC1,2
896,BRCC2,2
897,BRWD2,2
899,BTF4,2
900,BUB1A,2
901,C11ORF4,2
902,C11ORF48,2
903,C12ORF2,2
904,C17,2
905,C17ORF1,2
906,C18ORF2,2
874,B29,2
873,B18,2
872,B17,2
852,ARK,2
837,ANK,2
839,AP3AASE,2
840,AP47B,2
841,APC1,2
842,APC2,2
843,APC4,2
844,APC7,2
845,APE,2
846,APH2,2
847,APRIL,2
848,APRO5,2
849,APS,2
850,ARA,2
851,ARD1,2
854,ARP11,2
871,B12,2
855,ARP2,2
856,ARP3,2
857,ARP8,2
858,ASAP,2
859,ASC-1,2
860,ASF,2
861,ASH1,2
862,ASH2,2
863,ASM,2
865,AST,2
866,ATP6C,2
624, SL1,2
869,AZ1,2
870,B1,2
907,C1QTNF15,2
908,C4BP,2
909,C5A,2
968,CPN1,2
952,CKB1,2
953,CKS1,2
954,CLDN21,2
955,CLIM1,2
957,CLM,2
958,CLMF,2
960,CLPSMCR,2
961,CMT2,2
962,CNK,2
963,COD1,2
964,COL6A4,2
965,COM1,2
966,COX11P,2
967,CPI17-LIKE,2
971,CRA,2
950,CIB,2
972,CRABP-II,2
973,CRP2,2
974,CRT2,2
975,CS-2,2
976,CSE,2
977,CST,2
978,CT78,2
979,CT90,2
981,D3F15S2,2
982,DAGK,2
983,DAP4,2
984,DBP,2
985,DELTA,2
986,DFNB6,2
951,CIR,2
949,CHK,2
912,CAF-1,2
929,CBL-3,2
913,CAF1,2
914,CAK,2
915,CAL,2
916,CANP,2
918,CAP2,2
919,CAP3,2
921,CARDINAL,2
922,CARF,2
923,CART1,2
924,CAS,2
925,CASP,2
926,CAT1,2
927,CAV,2
928,CBBM,2
930,CBP,2
948,CHD5,2
931,CCBP2,2
932,CCP1,2
934,CD16,2
935,CD25,2
936,CD32,2
937,CD3G,2
938,CD85,2
939,CDC2,2
940,CDC25,2
941,CDH14,2
942,CDH7,2
943,CEA,2
945,CELIAC1,2
947,CGI-141,2
625, SLAP,2
574, RPS17L1,2
623, SKD2,2
185, IBP1,2
187, ICLN,2
188, IDD,2
189, IF,2
190, IGER,2
191, IGNT,2
192, IGSF13,2
193, IL-25,2
194, IL-27,2
195, IL1RA,2
196, IL27,2
197, IMP1,2
198, IMP2,2
199, INOS,2
200, INT6,2
201, IPOB,2
202, IRAP,2
203, ISO1,2
204, ISWI,2
205, KGA,2
206, KIAA0172,2
207, KIAA0229,2
208, KIAA0266,2
209, KIAA0705,2
210, KIAA1426,2
211, KIP2,2
212, KLIP1,2
213, KOX31,2
214, KS,2
215, KS1,2
186, ICIS,2
184, IAP,2
218, LACS2,2
183, HTR3,2
147, GUCY2B,2
148, GUP1,2
149, H1,2
150, H2,2
151, H2A/Q,2
152, H4,2
153, H5,2
155, HCA2,2
156, HCAP,2
157, HCC-1,2
158, HCC-2,2
159, HCC-4,2
160, HCCR-2,2
161, HCG1,2
162, HCP,2
163, HCR,2
164, HE2,2
166, HEN1,2
167, HEPIS,2
168, HGF,2
170, HI,2
172, HK,2
173, HLAL,2
175, HLP2,2
176, HNPCC,2
177, HPS,2
178, HPS2,2
179, HREP,2
181, HSPCA,2
217, L30,2
219, LAGE2A,2
289, MLP1,2
254, MBP-1,2
256, MCD,2
257, MCDR2,2
258, MCH2,2
259, MCS,2
260, MCT1,2
261, MCT7,2
262, MDR1,2
263, MDSP,2
265, MEF,2
266, MEGT1,2
267, METTL2,2
268, MGC5228,2
269, MIA1,2
270, MIC1,2
271, MIC10,2
272, MIF2,2
273, MINERVA,2
274, MINK,2
275, MINT,2
276, MIO,2
277, MIP,2
278, MIP-2A,2
281, MIZ,2
282, MK,2
283, MK3,2
284, ML-1,2
285, MLCK,2
286, MLL2,2
287, MLL4,2
255, MCAF,2
253, MBP,2
220, LAK,2
252, MAST,2
221, LAMP,2
222, LAP,2
224, LAS1,2
225, LCA,2
226, LE,2
227, LFA-1,2
228, LGL1,2
229, LGS,2
230, LIM1,2
231, LIN-10,2
232, LIP1,2
233, LIP2,2
234, LMNL1,2
235, LNP,2
236, LPAP,2
237, LRF,2
239, LRP9,2
240, M-ABC1,2
241, M-ABC2,2
242, MAC-1,2
243, MAD1,2
244, MAD2,2
245, MADA,2
246, MADM,2
247, MAGE1,2
248, MAK3,2
249, MART1,2
250, MART2,2
251, MASA,2
146, GRINL1A,2
145, GPD,2
144, GP110,2
38, CO4,2
40, COQ8,2
42, CRD,2
43, CRN,2
44, CRYG5,2
45, CSB,2
46, CSL,2
47, CSN1,2
48, CT1,2
49, CTLA1,2
50, CTR1,2
51, CV2,2
52, CYP11B,2
53, CYP2A,2
54, CYP2C,2
55, CYPD,2
56, DA2B,2
57, DAP,2
58, DCR2,2
59, DEC1,2
60, DEFB4,2
61, DFNA3,2
62, DGK,2
63, DIA1,2
64, DIVA,2
65, DJ760C5.1,2
66, DKFZP547P234,2
67, DMT1,2
68, DNF15S2,2
69, DNM1DN11@,2
39, COD5,2
37, CNIL,2
143, GOT1,2
36, CMPD2,2
2, ACT,2
3, AGPAT9,2
4, AIP1,2
5, AR,2
6, ARIP1,2
9, ARP5,2
11, AT1,2
12, ATPM,2
13, AUTL1,2
14, B3GNT1,2
15, BAP1,2
16, C1,2
17, CA125,2
18, CAF1,2
20, CDK11-P110,2
21, CDK11-P46,2
22, CDK11-P58,2
23, CDR,2
25, CEP2,2
26, CFAG,2
27, CGRP,2
28, CHED,2
29, CHS1,2
30, CKR-1,2
31, CLA1,2
32, CLA20,2
33, CLAMP,2
34, CLAN,2
35, CMG1,2
70, DNM1DN14@,2
71, DNM1DN3@,2
73, DNM1DN8@,2
74, DOC1,2
111, FCGR3,2
112, FDH,2
113, FIG,2
114, FLIP,2
115, FLJ43692,2
116, FOP,2
117, FRA,2
118, FRAG1,2
119, FRG,2
120, FRITZ,2
122, FSSV,2
123, FUS1,2
124, FY,2
125, G10,2
126, G18,2
128, GALNT15,2
129, GARP,2
130, GAS,2
131, GBP,2
132, GCAP,2
133, GCD10,2
134, GCP2,2
135, GDA,2
136, GEMIN1,2
137, GID2,2
138, GIG1,2
139, GLP1,2
141, GLYT1,2
142, GLYT2,2
110, FCGR2,2
109, FCGR1,2
108, FCG3,2
90, EIF4A,2
76, DP3,2
77, DRP1,2
78, DRS1,2
79, DSK2,2
80, E2,2
81, E3,2
82, EBN,2
83, EBN1,2
84, EDG1,2
85, EDG2,2
86, EDHB17,2
87, EEG1,2
88, EIF1A,2
91, EIF4F,2
107, FCG2,2
93, ERV1,2
94, ESA,2
95, ESA1,2
96, ESO1,2
97, ETL1,2
98, EVR1,2
99, FACD,2
101, FANCD,2
102, FBL5,2
103, FBL7,2
104, FBS1,2
105, FBX30,2
106, FCG1,2
288, MLP,2
290, MN,2
622, SIP1,2
510, PRL3,2
512, PROX,2
513, PRP,2
514, PRP4,2
515, PRR,2
516, PRR2,2
517, PRX2,2
518, PS2,2
519, PSA,2
520, PSEUDO-ICE,2
521, PSF,2
522, PSF1,2
523, PSF2,2
524, PSK-1,2
525, PSM,2
527, PTB,2
528, PTC,2
529, PTEN2,2
530, PTH2,2
532, PTX1,2
533, PUM,2
534, PWCR,2
535, PXMP1,2
536, PXR1,2
537, QP-C,2
538, RAD26L,2
541, RCD1,2
542, RCK,2
545, RDC1,2
546, REF1,2
511, PRO1,2
508, PRK1,2
548, RF1,2
506, PRG2,2
473, PFM,2
474, PGDS,2
475, PH2A/F,2
476, PHKD,2
477, PHR1,2
478, PIG1,2
479, PIG6,2
480, PIR-B,2
481, PIRB,2
482, PIT-1,2
483, PIT1,2
485, PLB,2
486, PLCE,2
487, PLIP,2
489, PMI,2
490, PMR1,2
491, PN-I,2
492, PN1,2
493, PNUTL3,2
494, POD1,2
496, POP1,2
497, POP3,2
498, PORC,2
499, POST,2
500, PP17,2
501, PP2CALPHA,2
502, PPD,2
504, PRAF1,2
505, PRG1,2
547, REGL,2
549, RH,2
291, MNAB,2
588, S7,2
590, SAC3,2
591, SAP,2
592, SAP1,2
594, SAP2,2
595, SAPL,2
596, SARA,2
597, SAST,2
598, SCAR1,2
599, SCCA1,2
600, SCKL4,2
601, SCL,2
602, SCP1,2
603, SD,2
604, SDR1,2
605, SEMA,2
606, SEMG,2
607, SEN1,2
609, SEP2,2
610, SEPT2,2
611, SERS,2
612, SES1,2
613, SES2,2
614, SF,2
615, SGT2,2
616, SHMT,2
617, SIGLECP2,2
618, SIL,2
619, SIN,2
621, SIP-1,2
589, S8,2
587, S6,2
550, RIF,2
586, S4,2
552, RIG1,2
553, RIM,2
554, RING2,2
555, RING5,2
556, RINZF,2
557, RIP,2
558, RIP-1,2
559, RIP1,2
560, RIP2,2
561, RIP5,2
562, RIS1,2
563, RMD1,2
564, RNU12P,2
565, ROC1,2
566, RP1,2
567, RP11,2
568, RP3,2
569, RP42,2
570, RP58,2
571, RP66,2
573, RPML3,2
1, ACC2,2
575, RS,2
577, RSC8,2
578, RTP,2
579, RTS,2
580, RU2,2
584, S2,2
585, S3,2
472, PERRS,2
471, PEPP2,2
470, PEN,2
329, NAT5,2
331, NBR,2
332, NBS1,2
333, ND1,2
334, NDR1,2
335, NEP,2
336, NET,2
338, NEUROPSIN,2
339, NF-E1,2
340, NG2,2
341, NIK,2
343, NIP1,2
344, NIRF,2
345, NKH,2
346, NKIR,2
347, NKR,2
348, NL2,2
349, NLG1,2
350, NOC4,2
351, NOR1,2
352, NOS,2
353, NOV,2
354, NPL3,2
355, NR1,2
356, NRF2,2
358, NRXN4,2
359, NS,2
360, NSCL2,2
361, NSE2,2
362, NY-REN-2,2
330, NBP,2
328, NAT3,2
469, PDIR,2
326, NAC1,2
293, MOP3,2
294, MOX2,2
295, MP1,2
296, MPS1,2
297, MRCL3,2
298, MRG1,2
299, MRG2,2
300, MRK,2
301, MRP,2
302, MRP-L15,2
303, MRP1,2
304, MRP2,2
305, MRP6,2
306, MRP7,2
307, MRP8,2
308, MS4A4,2
310, MSH,2
311, MSK16,2
313, MST,2
314, MT1K,2
315, MTB,2
316, MTF,2
317, MTR1,2
318, MTS1,2
320, MU2,2
321, MUM1,2
322, MUM2,2
324, NABC1,2
325, NAC,2
363, OAT6,2
364, OAZ,2
365, OCC-1,2
366, OCC1,2
425, P600,2
427, P63,2
428, P65,2
429, P67,2
430, P68,2
435, P8MTCP1,2
436, P90,2
438, PA,2
439, PAAT,2
440, PABPL1,2
441, PAC1,2
442, PAC2,2
443, PACT,2
444, PAFAH,2
445, PAL,2
446, PAM-1,2
448, PAP1,2
449, PAP2,2
450, PAPA,2
451, PAR-1,2
454, PARC,2
455, PARS,2
456, PAT1,2
457, PBF,2
459, PC-1,2
462, PC4,2
464, PCL1,2
465, PCN,2
468, PDIP1,2
424, P60,2
423, P6,2
421, P57,2
380, OTX3,2
367, OCP2,2
368, OCT3,2
369, ODC1L,2
370, ODZ3,2
371, OLF1,2
372, OLF4P,2
373, OPG,2
374, OR7E68P,2
375, ORF1,2
376, ORF26,2
377, ORP1,2
378, OSR1,2
379, OST,2
381, OX2R,2
420, P56,2
382, P0,2
385, P11,2
387, P13,2
391, P17,2
393, P180,2
398, P220,2
399, P24,2
402, P3,2
404, P32,2
407, P36,2
408, P37,2
410, P39,2
417, P52,2
1148,UPA,2
