HGNC ID	Approved symbol	Chromosome	NCBI Gene ID	Ensembl gene ID	OMIM ID(supplied by OMIM)	UniProt ID(supplied by UniProt)
HGNC:10143	SNORD20	2q37.1	6082	ENSG00000207280	604012	
HGNC:10144	SNORD21	1p22.1	6083	ENSG00000206680	603635	
HGNC:10145	SNORD22	11q13	9304	ENSG00000277194	603223	
HGNC:10146	SNORD24	9q34.2	26820	ENSG00000206611		
HGNC:10147	SNORD25	11q13	9303	ENSG00000275043	603224	
HGNC:10148	SNORD26	11q12.3	9302	ENSG00000276788	603225	
HGNC:10149	SNORD27	11q12.3	9301	ENSG00000275996	603226	
HGNC:1015	BCRP2	22q11.21	400892	ENSG00000169668		
HGNC:10150	SNORD28	11q12.3	9300	ENSG00000274544	603227	
HGNC:10151	SNORD29	11q12.3	9297		603228	
HGNC:10152	RNU2-2P	11q12.3	26855	ENSG00000222328		
HGNC:10153	RNU2-3P	15q26.2	26854	ENSG00000222076		
HGNC:10154	RNU2-4P	17q21.31	26853	ENSG00000277084		
HGNC:10155	RNU2-5P	9q21.11	26852	ENSG00000222465		
HGNC:10156	RNU3	17p12-p11				
HGNC:10157	SNORD30	11q12.3	9299	ENSG00000277846	603229	
HGNC:10158	SNORD31	11q12.3	9298		603230	
HGNC:10159	SNORD32A	19q13.33	26819	ENSG00000201675		
HGNC:1016	BCRP3	22q11.23	644165	ENSG00000284128		
HGNC:10160	SNORD33	19q13.33	26818	ENSG00000199631		
HGNC:10161	SNORD34	19q13.33	26817	ENSG00000202503		
HGNC:10162	SNORD35A	19q13.33	26816	ENSG00000200259		
HGNC:10163	SNORD36A	9q34.2	26815	ENSG00000199744		
HGNC:10164	SNORD36B	9q34.2	26814	ENSG00000200831		
HGNC:10165	SNORD36C	9q34.2	26813	ENSG00000252542		
HGNC:10166	SNORD37	19p13.3	26812	ENSG00000206775		
HGNC:10167	SNORD39	1p34.1				
HGNC:10168	SNORD3B-1	17p11.2	26851	ENSG00000265185		
HGNC:10169	RNU3A2	17p11.2				
HGNC:1017	BCRP4	22q11.22	616	ENSG00000215456		
HGNC:10170	RNU3A3	17p11.2				
HGNC:10171	RNU3B1	17p11.2				
HGNC:10172	RNU3B2	17p11.2				
HGNC:10173	RNU3B3	17p11.2				
HGNC:10174	RNU3B4	17p11.2				
HGNC:10175	SNORD3P1	15q21.3	6068	ENSG00000200318		
HGNC:10176	SNORD3P2	8p21.3				
HGNC:10177	SNORD3P3	14q31.3	26843			
HGNC:10178	SNORD3P4	3q27.3	26842			
HGNC:10179	SNORD41	19p13.13	26810	ENSG00000209702		
HGNC:1018	BCRP5	22q11.21	648980	ENSG00000235062		
HGNC:10180	SNORD42A	17q11.2	26809	ENSG00000238649		
HGNC:10181	SNORD42B	17q11.2	26808	ENSG00000238423		
HGNC:10182	SNORD43	22q13.1	26807	ENSG00000263764	611068	
HGNC:10183	SNORD44	1q25.1	26806			
HGNC:10184	SNORD45A	1p31.1	26805	ENSG00000207241		
HGNC:10185	SNORD45B	1p31.1	26804	ENSG00000201487		
HGNC:10186	SNORD46	1p34.1	94161	ENSG00000200913		
HGNC:10187	SNORD47	1q25.1	26802			
HGNC:10188	SNORD48	6p21.33	26801	ENSG00000201823		
HGNC:10189	SNORD49A	17p11.2	26800	ENSG00000277370		
HGNC:1019	BCRL6	22q11.23				
HGNC:10190	RNU4A	reserved				
HGNC:10191	RNU4-1B	12q24.31				
HGNC:10192	RNU4-1	12q24.31	26835	ENSG00000200795	620822	
HGNC:10193	RNU4-2	12q24.31	26834	ENSG00000202538	620823	
HGNC:10194	RNU4-7P	6q25.1	6069	ENSG00000201628		
HGNC:10195	RNU4-8P	2q11.2	6070	ENSG00000201806		
HGNC:10196	RNU4-3P	18q12.2	26841			
HGNC:10197	RNU4-4P	3q26.31	26840	ENSG00000201458		
HGNC:10198	RNU4-5P	10q25.1	26839	ENSG00000272160		
HGNC:10199	RNU4-6P	Xp22.22	26838	ENSG00000222736		
HGNC:102	CNNM1	10q24.2	26507	ENSG00000119946	607802	Q9NRU3
HGNC:1020	BCS1L	2q35	617	ENSG00000074582	603647	Q9Y276
HGNC:10200	SNORD50A	6q14.3	26799		613117	
HGNC:10201	SNORD51	2q33.3	26798	ENSG00000207047		
HGNC:10202	SNORD52	6p21.33	26797	ENSG00000201754		
HGNC:10203	SNORD53	2p23.2	26796	ENSG00000265145		
HGNC:10204	SNORD54	8q12.1	26795	ENSG00000238650		
HGNC:10205	SNORD55	1p34.1	26811	ENSG00000264294		
HGNC:10206	SNORD56	20p13	26793	ENSG00000229686		
HGNC:10207	SNORD57	20p13	26792	ENSG00000226572		
HGNC:10208	SNORD58A	18q21.1	26791	ENSG00000206602		
HGNC:10209	SNORD58B	18q21.1	26790	ENSG00000271982		
HGNC:1021	BCUR1					
HGNC:10210	SNORD59A	12q13.3	26789	ENSG00000207031		
HGNC:10211	RNU5A-1	15q22.31	26831	ENSG00000199568	180691	
HGNC:10212	RNU5B-1	15q22	26832	ENSG00000200156		
HGNC:10213	RNU5C	15q22				
HGNC:10214	RNU5D-1	1p34.1	26830	ENSG00000200169	620361	
HGNC:10215	RNU5E-1	1p36.22	26829	ENSG00000199347	620362	
HGNC:10216	RNU5F-1	1p34.1	26828	ENSG00000199377	620363	
HGNC:10217	SNORD60	16p13.3	26788	ENSG00000206630		
HGNC:10218	SNORD61	Xq26.3	26787	ENSG00000206979		
HGNC:10219	SNORD62A	9q34.13	26786	ENSG00000235284		
HGNC:1022	BCYRN1	2p21	618	ENSG00000236824	606089	
HGNC:10220	SNORD63	5q31.2	26785	ENSG00000206989		
HGNC:10221	SNORA64	16p13.3	26784	ENSG00000207405		
HGNC:10222	SNORA65	9q33.3	26783	ENSG00000201302		
HGNC:10223	SNORA66	1p22.1	26782	ENSG00000207523		
HGNC:10224	SNORA67	17p13.1	26781	ENSG00000277985		
HGNC:10225	SNORA68	19p13.11	26780	ENSG00000207166		
HGNC:10226	SNORA69	Xq24	26779	ENSG00000206622		
HGNC:10227	RNU6-1	15q23	26827	ENSG00000206625	180692	
HGNC:10228	RNU6-6P	10p13	26826	ENSG00000272055		
HGNC:10229	RNU6-50P	Xp11.3	26825	ENSG00000199226		
HGNC:1023	BCYRN1P1	Xq27.1	619			
HGNC:10230	RNU6V	1p13	6071	ENSG00000206832		
HGNC:10231	SNORA70	Xq28	26778	ENSG00000207165		
HGNC:10232	SNORA71A	20q11.23	26777	ENSG00000225091		
HGNC:10233	SNORA71B	20q11.23	26776	ENSG00000235408		
HGNC:10234	SNORA72	8q22.2	26775	ENSG00000207067		
HGNC:10235	SNORD73A	4q31.3	8944	ENSG00000208797	603568	
HGNC:10236	RNU7-68P	Xq24	6072			
HGNC:10237	RNU7-86P	Xq24	6073			
HGNC:10238	RNU7P3	16p12.1				
HGNC:10239	RNU7-55P	8p23.1	6075	ENSG00000239078		
HGNC:1024	BCYRN1P2	1q41 not on reference assembly	620			
HGNC:10240	SNORD82	2q37.1	25826	ENSG00000202400	611133	
HGNC:10241	PHAX	5q23.2	51808	ENSG00000164902	604924	Q9H814
HGNC:10242	RNY1	7q36.1	6084	ENSG00000201098	601821	
HGNC:10243	RNY3	7q36.1	6085	ENSG00000202354	601822	
HGNC:10244	RNY4	7q36.1	6086	ENSG00000252316	601823	
HGNC:10245	RNY4P1	9q21.13	6087			
HGNC:10246	RNY4P2	17q21.31	6088			
HGNC:10247	RNY4P3	16q12.1	6089	ENSG00000202124		
HGNC:10248	RNY5	7q36.1	6090		601824	
HGNC:10249	ROBO1	3p12.3	6091	ENSG00000169855	602430	Q9Y6N7
HGNC:1025	BDB					
HGNC:10250	ROBO2	3p12.3	6092	ENSG00000185008	602431	Q9HCK4
HGNC:10251	ROCK1	18q11.1	6093	ENSG00000067900	601702	Q13464
HGNC:10252	ROCK2	2p25.1	9475	ENSG00000134318	604002	O75116
HGNC:10253	PTBP3	9q32	9991	ENSG00000119314	607527	O95758
HGNC:10254	ROM1	11q12.3	6094	ENSG00000149489	180721	Q03395
HGNC:10255	RONU	reserved				
HGNC:10256	ROR1	1p31.3	4919	ENSG00000185483	602336	Q01973
HGNC:10257	ROR2	9q22.31	4920	ENSG00000169071	602337	Q01974
HGNC:10258	RORA	15q22.2	6095	ENSG00000069667	600825	P35398
HGNC:10259	RORB	9q21.13	6096	ENSG00000198963	601972	Q92753
HGNC:1026	BDB1	9q22				
HGNC:10260	RORC	1q21.3	6097	ENSG00000143365	602943	P51449
HGNC:10261	ROS1	6q22.1	6098	ENSG00000047936	165020	P08922
HGNC:10262	RP	mitochondria				
HGNC:10263	RP1	8q11.23-q12.1	6101	ENSG00000104237	603937	P56715
HGNC:10264	RP10	7q31.3				
HGNC:10265	RP11	19q13.4				
HGNC:10266	RP12					
HGNC:10267	RP13	17p13.3				
HGNC:10268	RP14					
HGNC:10269	RP15	Xp22.13-p22.1				
HGNC:1027	BDH1	3q29	622	ENSG00000161267	603063	Q02338
HGNC:10270	RP16					
HGNC:10271	RP17	17q22				
HGNC:10272	RP18	1q13-q23				
HGNC:10273	RP19					
HGNC:10274	RP2	Xp11.3	6102	ENSG00000102218	300757	O75695
HGNC:10275	RP20					
HGNC:10276	RP22	16p12.3-p12.1				
HGNC:10277	RP23	Xp22				
HGNC:10278	RP24	Xq26-q27				
HGNC:10279	RP25	6q14-q21				
HGNC:1028	BDK	reserved				
HGNC:10280	RP26	2q31-q33				
HGNC:10281	RP28	2p15-p11				
HGNC:10282	RP29	4q32-q34				
HGNC:10283	RP3					
HGNC:10284	RP4					
HGNC:10285	RP5					
HGNC:10286	RP6	Xp21.3-p21.2				
HGNC:10287	RP7					
HGNC:10288	RP9	7p14.3	6100	ENSG00000164610	607331	Q8TA86
HGNC:10289	RPA1	17p13.3	6117	ENSG00000132383	179835	P27694
HGNC:1029	BDKRB1	14q32.2	623	ENSG00000100739	600337	P46663
HGNC:10290	RPA2	1p35.3	6118	ENSG00000117748	179836	P15927
HGNC:10291	RPA3	7p21.3	6119	ENSG00000106399	179837	P35244
HGNC:10292	RPD3L1					
HGNC:10293	RPE	2q34	6120	ENSG00000197713	180480	Q96AT9
HGNC:10294	RPE65	1p31.3	6121	ENSG00000116745	180069	Q16518
HGNC:10295	RPGR	Xp11.4	6103	ENSG00000156313	312610	Q92834
HGNC:10296	RPH3AL	17p13.3	9501	ENSG00000181031	604881	Q9UNE2
HGNC:10297	RPIA	2p11.2	22934	ENSG00000153574	180430	P49247
HGNC:10298	RPL10	Xq28	6134	ENSG00000147403	312173	P27635
HGNC:10299	RPL10A	6p21.31	4736	ENSG00000198755	615660	P62906
HGNC:103	CNNM2	10q24.32	54805	ENSG00000148842	607803	Q9H8M5
HGNC:1030	BDKRB2	14q32.2	624	ENSG00000168398	113503	P30411
HGNC:10300	RPL10P1	21q21.3	100288252	ENSG00000217026		
HGNC:10301	RPL11	1p36.11	6135	ENSG00000142676	604175	P62913
HGNC:10302	RPL12	9q33.3	6136	ENSG00000197958	180475	P30050
HGNC:10303	RPL13	16q24.3	6137	ENSG00000167526	113703	P26373
HGNC:10304	RPL13A	19q13.33	23521	ENSG00000142541	619225	P40429
HGNC:10305	RPL14	3p22.1	9045	ENSG00000188846	617414	P50914
HGNC:10306	RPL15	3p24.2	6138	ENSG00000174748	604174	P61313
HGNC:10307	RPL17	18q21.1	6139	ENSG00000265681	603661	P18621
HGNC:10308	RPL17L1	reserved				
HGNC:10309	RPL17P					
HGNC:1031	BDM	X				
HGNC:10310	RPL18	19q13.33	6141	ENSG00000063177	604179	Q07020
HGNC:10311	RPL18A	19p13.11	6142	ENSG00000105640	604178	Q02543
HGNC:10312	RPL19	17q12	6143	ENSG00000108298	180466	P84098
HGNC:10313	RPL21	13q12.2	6144	ENSG00000122026	603636	P46778
HGNC:10314	RPL21P1	12q24.31	6145	ENSG00000214760	603416	
HGNC:10315	RPL22	1p36.31	6146	ENSG00000116251	180474	P35268
HGNC:10316	RPL23	17q12	9349	ENSG00000125691	603662	P62829
HGNC:10317	RPL23A	17q11.2	6147	ENSG00000198242	602326	P62750
HGNC:10318	RPL23AP1	6p22.1	6148	ENSG00000239257		
HGNC:10319	RPL23AP2	19p13.12	401904	ENSG00000225067		
HGNC:1032	BDMR	2q37				
HGNC:10320	RPL23AP3	21q22.12	8489	ENSG00000214914		
HGNC:10321	RPL23AP4	21q22.3	54029	ENSG00000212932		
HGNC:10322	MRPL23	11p15.5	6150	ENSG00000214026	600789	Q16540
HGNC:10323	RPL23P1					
HGNC:10324	RPL23P2	21q21.3	54028	ENSG00000176054		
HGNC:10325	RPL24	3q12.3	6152	ENSG00000114391	604180	P83731
HGNC:10326	RPL25P1	17q				
HGNC:10327	RPL26	17p13.1	6154	ENSG00000161970	603704	P61254
HGNC:10328	RPL27	17q21.31	6155	ENSG00000131469	607526	P61353
HGNC:10329	RPL27A	11p15.4	6157	ENSG00000166441	603637	P46776
HGNC:1033	BDNF	11p14.1	627	ENSG00000176697	113505	P23560
HGNC:10330	RPL28	19q13.42	6158	ENSG00000108107	603638	P46779
HGNC:10331	RPL29	3p21.2	6159	ENSG00000162244	601832	P47914
HGNC:10332	RPL3	22q13.1	6122	ENSG00000100316	604163	P39023
HGNC:10333	RPL30	8q22.2	6156	ENSG00000156482	180467	P62888
HGNC:10334	RPL31	2q11.2	6160	ENSG00000071082	617415	P62899
HGNC:10335	RPL31P1	21q22.3	54027	ENSG00000214326		
HGNC:10336	RPL32	3p25.2	6161	ENSG00000144713		P62910
HGNC:10337	RPL32P4	8q21.3	100131339	ENSG00000243761		
HGNC:10338	RPL32P5	22q11.1	23754	ENSG00000236325		
HGNC:10339	RPL32P1	6p21.32	6163	ENSG00000224796		
HGNC:1034	BECN1	17q21.31	8678	ENSG00000126581	604378	Q14457
HGNC:10340	RPL34	4q25	6164	ENSG00000109475	616862	P49207
HGNC:10341	RPL34P1	1q24.2	26514	ENSG00000237049		
HGNC:10342	RPL34P2	11p13	26513			
HGNC:10343	RPL34P3	21q22.12	54026	ENSG00000223671		
HGNC:10344	RPL35	9q33.3	11224	ENSG00000136942	618315	P42766
HGNC:10345	RPL35A	3q29	6165	ENSG00000182899	180468	P18077
HGNC:10346	RPL36AL	14q21.3	6166	ENSG00000165502	180469	Q969Q0
HGNC:10347	RPL37	5p13.1	6167	ENSG00000145592	604181	P61927
HGNC:10348	RPL37A	2q35	6168	ENSG00000197756	613314	P61513
HGNC:10349	RPL38	17q25.1	6169	ENSG00000172809	604182	P63173
HGNC:1035	BEVI	6				
HGNC:10350	RPL39	Xq24	6170	ENSG00000198918	300899	P62891
HGNC:10351	RPL3L	16p13.3	6123	ENSG00000140986	617416	Q92901
HGNC:10352	RPL3P1	21q22.12	8488	ENSG00000228149		
HGNC:10353	RPL4	15q22.31	6124	ENSG00000174444	180479	P36578
HGNC:10354	RPL41	12q13	6171	ENSG00000229117	613315	P62945
HGNC:10355	RPL41P5	12q22	6172	ENSG00000256393		
HGNC:10356	RPL41P1	20p11.22	22971	ENSG00000227063		
HGNC:10357	RPL41P2	15q11-q13	22970	ENSG00000256338		
HGNC:10358	RPL41P3	22q13.1	22969			
HGNC:10359	RPL36A	Xq22.1	6173	ENSG00000241343	300902	P83881
HGNC:1036	BEX1	Xq22.1	55859	ENSG00000133169	300690	Q9HBH7
HGNC:10360	RPL5	1p22.1	6125	ENSG00000122406	603634	P46777
HGNC:10361	RPL5P1	15q11.2	647436	ENSG00000241061		
HGNC:10362	RPL6	12q24.13	6128	ENSG00000089009	603703	Q02878
HGNC:10363	RPL7	8q21.11	6129	ENSG00000147604	604166	P18124
HGNC:10364	RPL7A	9q34.2	6130	ENSG00000148303	185640	P62424
HGNC:10365	RPL7AL1	reserved				
HGNC:10366	RPL7AP1					
HGNC:10367	RPL7P1	5q32	6174	ENSG00000214485		
HGNC:10368	RPL8	8q24.3	6132	ENSG00000161016	604177	P62917
HGNC:10369	RPL9	4p14	6133	ENSG00000163682	603686	P32969
HGNC:1037	CFB	6p21.33	629	ENSG00000243649	138470	P00751
HGNC:10370	RPL9P1	Xpter-p21				
HGNC:10371	RPLP0	12q24.23	6175	ENSG00000089157	180510	P05388
HGNC:10372	RPLP1	15q23	6176	ENSG00000137818	180520	P05386
HGNC:10373	RPLP1L1					
HGNC:10374	RPLP1L2					
HGNC:10375	RPLP1L3					
HGNC:10376	RPLP1L4					
HGNC:10377	RPLP2	11p15.5	6181	ENSG00000177600	180530	P05387
HGNC:10378	MRPL12	17q25.3	6182	ENSG00000262814	602375	P52815
HGNC:10379	MRPL3	3q22.1	11222	ENSG00000114686	607118	P09001
HGNC:1038	BFD					
HGNC:10380	MRPS12	19q13.2	6183	ENSG00000128626	603021	O15235
HGNC:10381	RPN1	3q21.3	6184	ENSG00000163902	180470	P04843
HGNC:10382	RPN2	20q11.23	6185	ENSG00000118705	180490	P04844
HGNC:10383	RPS10	6p21.31	6204	ENSG00000124614	603632	P46783
HGNC:10384	RPS11	19q13.3	6205	ENSG00000142534	180471	P62280
HGNC:10385	RPS12	6q23.2	6206	ENSG00000112306	603660	P25398
HGNC:10386	RPS13	11p15.1	6207	ENSG00000110700	180476	P62277
HGNC:10387	RPS14	5q33.1	6208	ENSG00000164587	130620	P62263
HGNC:10388	RPS15	19p13.3	6209	ENSG00000115268	180535	P62841
HGNC:10389	RPS15A	16p12.3	6210	ENSG00000134419	603674	P62244
HGNC:1039	BFLS	Xq26-q27				
HGNC:10396	RPS16	19q13.2	6217	ENSG00000105193	603675	P62249
HGNC:10397	RPS17	15q25.2	6218	ENSG00000182774	180472	P08708
HGNC:10398	RPS17P2	5q23.1	6219	ENSG00000197575		
HGNC:10399	RPS17P3	17q11.2	646013			
HGNC:104	CNNM3	2q11.2	26505	ENSG00000168763	607804	Q8NE01
